"SYMBOL","OPEN","HIGH","LOW","PREV. CLOSE","LTP","CHNG","%CHNG","VOLUME(shares)","VALUE ","52W H","52W L","365 D % CHNG19-Jun-2020","30 D % CHNG21-May-2021"
"NIFTY 200","8,197.45","8,338.20","8,185.85","8,286.70","8,329.45","42.75","0.52",1797689356,"455,993,289,606.13","8,437.30","5,316.80","56.09","3.41"
"GMRINFRA","28.20","32.15","27.70","28.20","30.70","2.50","8.87",125390404,"3,805,598,761.40","32.15","19.25","30.56","6.82"
"BANDHANBNK","322.05","343.20","319.90","316.65","340.50","23.85","7.53",25771864,"8,645,171,778.80","430.70","251.40","8.96","5.67"
"BHEL","62.90","68.25","61.05","64.25","68.10","3.85","5.99",87907722,"5,755,318,559.34","79.55","26.75","98.00","-11.01"
"UNIONBANK","36.70","40.75","36.55","37.80","39.80","2.00","5.29",83537904,"3,279,698,111.04","45.25","23.10","23.13","1.07"
"ADANIPORTS","692.00","744.65","685.10","694.35","730.00","35.65","5.13",51759617,"37,480,691,458.21","901.00","298.00","99.01","-9.73"
"ADANITRANS","1,178.15","1,302.15","1,178.15","1,240.15","1,302.15","62.00","5.00",850411,"1,036,327,852.82","1,644.95","216.50","-","-"
"ATGL","1,195.55","1,321.35","1,195.55","1,258.45","1,321.35","62.90","5.00",1402284,"1,755,154,745.76","1,679.00","135.10","-","-"
"ADANIGREEN","1,014.20","1,120.90","1,014.20","1,067.55","1,120.90","53.35","5.00",2046583,"2,152,657,396.89","1,390.00","305.60","-","-"
"COROMANDEL","860.00","922.00","853.20","877.30","920.00","42.70","4.87",875253,"790,292,191.29","922.00","682.00","21.85","5.12"
"BANKINDIA","74.50","82.00","73.10","75.25","78.75","3.50","4.65",14843808,"1,165,387,366.08","101.40","38.20","46.26","-4.02"
"PEL","2,190.00","2,336.00","2,185.00","2,236.50","2,335.00","98.50","4.40",1648626,"3,750,277,938.54","2,336.00","1,015.05","92.30","29.37"
"MFSL","975.00","1,025.60","963.45","978.20","1,019.60","41.40","4.23",1331678,"1,332,703,392.06","1,050.00","487.40","94.16","8.36"
"NMDC","175.00","185.70","173.80","178.20","185.60","7.40","4.15",14565370,"2,636,914,584.80","213.20","75.60","116.13","1.14"
"GUJGASLTD","644.00","687.00","632.00","658.05","685.00","26.95","4.10",3415214,"2,271,185,614.28","687.00","281.00","124.94","28.53"
"NTPC","113.25","118.45","113.05","113.55","118.05","4.50","3.96",34597018,"4,029,514,686.46","121.00","78.10","22.10","0.62"
"PRESTIGE","283.00","292.70","278.85","282.05","292.70","10.65","3.78",709086,"204,904,581.42","325.00","167.00","34.12","5.30"
"PNB","39.50","41.90","39.20","40.30","41.80","1.50","3.72",116450769,"4,734,888,267.54","46.35","26.30","16.81","5.91"
"UBL","1,371.15","1,455.00","1,371.15","1,366.75","1,417.00","50.25","3.68",3708423,"5,278,606,382.43","1,455.00","897.00","33.99","6.82"
"IRCTC","2,000.00","2,093.75","1,981.15","2,011.70","2,078.00","66.30","3.30",1693260,"3,488,589,712.80","2,184.00","1,290.05","41.28","8.04"
"DIXON","4,425.10","4,644.90","4,351.10","4,427.15","4,569.80","142.65","3.22",585887,"2,678,962,448.63","21,499.00","3,345.15","-22.16","12.23"
"CANBK","145.00","152.95","143.80","147.40","152.00","4.60","3.12",17723430,"2,639,727,664.20","174.60","82.25","37.31","-3.57"
"ADANIENT","1,490.00","1,582.00","1,444.85","1,487.50","1,531.00","43.50","2.92",21101083,"32,365,052,116.23","1,717.20","145.20","874.13","13.11"
"AUBANK","1,017.95","1,061.70","1,004.75","1,027.65","1,057.50","29.85","2.90",1021068,"1,064,912,659.92","1,354.40","465.05","111.39","4.81"
"AJANTPHARM","1,941.00","2,010.00","1,922.80","1,947.90","2,004.35","56.45","2.90",49166,"97,094,000.12","2,049.00","1,331.00","34.20","0.66"
"PFIZER","5,378.00","5,569.00","5,370.00","5,403.25","5,549.30","146.05","2.70",157634,"869,838,599.06","5,900.00","3,955.00","35.11","3.25"
"DLF","288.15","304.20","287.15","294.85","302.70","7.85","2.66",8469243,"2,521,124,256.24","332.70","134.50","82.23","9.85"
"SYNGENE","572.00","588.00","569.00","573.15","588.00","14.85","2.59",1050518,"607,483,043.86","644.55","368.00","51.63","0.43"
"BANKBARODA","78.30","82.80","77.40","80.20","82.25","2.05","2.56",59884792,"4,830,307,322.72","99.85","39.50","70.46","-0.74"
"HINDPETRO","295.00","303.30","293.05","295.75","303.30","7.55","2.55",9770654,"2,925,822,340.30","312.00","162.90","32.24","7.04"
"RBLBANK","202.00","212.90","201.10","206.75","211.90","5.15","2.49",8986635,"1,870,927,540.65","274.30","156.10","22.41","-0.46"
"BEL","142.00","150.00","142.00","146.20","149.80","3.60","2.46",7733156,"1,135,149,969.24","160.00","71.65","82.64","-7.23"
"APLLTD","951.05","1,003.55","951.05","976.05","1,000.00","23.95","2.45",296588,"293,043,773.40","1,145.00","864.30","3.12","2.05"
"SAIL","120.90","127.35","120.15","124.00","127.00","3.00","2.42",57519229,"7,163,444,779.66","151.30","28.70","311.28","1.64"
"GODREJPROP","1,360.00","1,422.00","1,352.00","1,387.10","1,418.35","31.25","2.25",542572,"759,611,651.44","1,572.25","807.00","55.19","6.27"
"TITAN","1,699.00","1,747.55","1,690.75","1,711.30","1,742.00","30.70","1.79",925811,"1,595,403,805.75","1,748.95","935.00","75.37","11.24"
"FEDERALBNK","82.70","85.60","81.90","83.85","85.35","1.50","1.79",14830152,"1,248,253,893.84","92.50","45.35","64.57","-1.53"
"BIOCON","395.50","406.20","393.20","398.95","406.00","7.05","1.77",1549277,"622,886,817.85","487.75","363.25","4.64","4.30"
"TORNTPOWER","449.75","468.50","446.10","455.35","463.15","7.80","1.71",1676409,"772,606,615.83","508.70","293.00","41.88","1.05"
"CADILAHC","620.00","631.00","613.30","620.40","630.90","10.50","1.69",3526369,"2,204,968,008.32","673.70","347.05","71.36","1.18"
"LAURUSLABS","586.00","607.00","577.15","593.55","603.05","9.50","1.60",2236679,"1,331,763,410.18","1,550.00","252.00","11.05","21.49"
"SBIN","406.35","421.00","400.50","412.90","419.10","6.20","1.50",33128978,"13,632,905,736.78","441.95","171.10","123.79","2.92"
"IDFCFIRSTB","56.50","58.70","56.15","57.60","58.45","0.85","1.48",32222683,"1,858,926,582.27","69.30","24.10","122.82","0.61"
"TATAPOWER","118.20","124.00","117.95","121.45","123.20","1.75","1.44",44593802,"5,416,363,190.92","132.70","41.10","181.13","15.78"
"FORTIS","228.95","237.30","227.55","232.00","235.30","3.30","1.42",1920622,"449,579,197.76","244.15","120.35","89.54","1.98"
"PIDILITIND","2,116.00","2,156.10","2,096.00","2,125.55","2,155.65","30.10","1.42",281990,"603,421,941.30","2,160.00","1,306.95","51.95","7.46"
