Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,16950.000000,16960.000000,16723.449219,16825.599609,16542.722656,12105
2020-06-02,16910.000000,17000.000000,16751.150391,16883.699219,16599.845703,10071
2020-06-03,16825.000000,16978.000000,16676.300781,16717.300781,16436.246094,16446
2020-06-04,16650.000000,16808.000000,16551.050781,16683.150391,16402.669922,22626
2020-06-05,16753.000000,17399.000000,16650.650391,17163.550781,16874.994141,16188
2020-06-08,17400.000000,17799.000000,16501.000000,16605.099609,16325.929688,70429
2020-06-09,16390.000000,16495.000000,16000.000000,16314.549805,16040.265625,31499
2020-06-10,16350.000000,16480.000000,16120.049805,16325.349609,16050.884766,10387
2020-06-11,16300.000000,16500.000000,15911.000000,16035.500000,15765.908203,19232
2020-06-12,15845.000000,16200.000000,15570.000000,16083.599609,15813.198242,16194
2020-06-15,16100.000000,16270.000000,15950.000000,16093.099609,15822.538086,13198
2020-06-16,16275.000000,16275.000000,15900.000000,16010.500000,15741.327148,8679
2020-06-17,15989.299805,16230.000000,15862.200195,16088.700195,15818.212891,7858
2020-06-18,16200.000000,16200.000000,15800.000000,15850.799805,15584.312500,16241
2020-06-19,15868.000000,15995.000000,15611.099609,15658.450195,15395.196289,17960
2020-06-22,15658.450195,15800.000000,15594.000000,15755.250000,15490.369141,15786
2020-06-23,16000.000000,16000.000000,15696.000000,15732.650391,15468.149414,12767
2020-06-24,15740.000000,15898.799805,15650.000000,15687.000000,15423.266602,12949
2020-06-25,15687.000000,16500.000000,15528.750000,16326.500000,16052.015625,48808
2020-06-26,16326.500000,16394.900391,15900.000000,15956.349609,15688.087891,23091
2020-06-29,15835.000000,15973.950195,15651.200195,15727.000000,15462.593750,8757
2020-06-30,15898.000000,15898.000000,15705.000000,15736.500000,15471.933594,7398
2020-07-01,15799.849609,15890.500000,15732.099609,15755.950195,15491.057617,4858
2020-07-02,15750.000000,15928.950195,15749.950195,15798.700195,15533.088867,7440
2020-07-03,15790.000000,15884.000000,15593.000000,15657.450195,15394.213867,9165
2020-07-06,15780.000000,15850.000000,15670.000000,15723.400391,15459.054688,11795
2020-07-07,15723.400391,15900.000000,15672.049805,15811.700195,15545.871094,9519
2020-07-08,15790.000000,15790.000000,15610.000000,15634.500000,15371.649414,8802
2020-07-09,15690.000000,15732.650391,15531.150391,15548.700195,15287.291992,10453
2020-07-10,15561.000000,15650.000000,15500.000000,15512.599609,15251.797852,7374
2020-07-13,15512.000000,15650.000000,15450.000000,15493.000000,15232.528320,8464
2020-07-14,15452.000000,15560.000000,15201.000000,15248.349609,14991.990234,12806
2020-07-15,15339.000000,15420.000000,15175.000000,15212.250000,14956.498047,10240
2020-07-16,15250.000000,15599.000000,15177.549805,15536.549805,15275.345703,9717
2020-07-17,15546.000000,15743.549805,15225.000000,15262.750000,15006.149414,14329
2020-07-20,15398.799805,15398.799805,15201.250000,15231.799805,14975.718750,11764
2020-07-21,15260.000000,15366.700195,15000.000000,15014.799805,14762.367188,15044
2020-07-22,15051.000000,15199.000000,14900.000000,14937.450195,14686.318359,13732
2020-07-23,14975.000000,15622.500000,14975.000000,15528.849609,15267.775391,29168
2020-07-24,15498.000000,15524.299805,15100.000000,15136.650391,14882.169922,11824
2020-07-27,15224.299805,15224.299805,14933.000000,14947.799805,14696.493164,11891
2020-07-28,14975.000000,15172.000000,14871.799805,14895.150391,14644.729492,13601
2020-07-29,14950.000000,15032.700195,14840.000000,14853.599609,14603.877930,11859
2020-07-30,14965.000000,15025.000000,14811.000000,14905.799805,14655.200195,17781
2020-07-31,14905.000000,15661.650391,14905.000000,15536.349609,15275.148438,46382
2020-08-03,15600.000000,16265.000000,15500.000000,16009.099609,15739.951172,41738
2020-08-04,16212.549805,16449.949219,16000.000000,16376.450195,16101.125977,21760
2020-08-05,16414.449219,16786.000000,16100.000000,16247.200195,15974.047852,20826
2020-08-06,16265.000000,16400.000000,16055.549805,16154.500000,15882.906250,12023
2020-08-07,16248.549805,16298.700195,16079.049805,16199.000000,15926.658203,15324
2020-08-10,17198.000000,17350.000000,16900.000000,16973.300781,16687.941406,52747
2020-08-11,17005.000000,17200.000000,16500.000000,16618.650391,16339.252930,19111
2020-08-12,16618.650391,16799.949219,16256.549805,16683.050781,16402.572266,13801
2020-08-13,16800.000000,16872.500000,16600.000000,16672.849609,16392.541016,9794
2020-08-14,16674.000000,16750.000000,16257.450195,16468.900391,16192.021484,9765
2020-08-17,16570.000000,16830.000000,16475.000000,16675.050781,16394.707031,10045
2020-08-18,16800.000000,16825.000000,16560.000000,16590.800781,16311.873047,10920
2020-08-19,16800.000000,17060.000000,16600.000000,16866.500000,16582.935547,32226
2020-08-20,16901.900391,17099.000000,16850.000000,16867.900391,16584.312500,13122
2020-08-21,16930.000000,17064.000000,16774.300781,16840.250000,16557.128906,10502
2020-08-24,17000.000000,17049.000000,16851.000000,16974.449219,16689.070313,8949
2020-08-25,17100.000000,17100.000000,16895.000000,16898.650391,16614.544922,10095
2020-08-26,16902.000000,17200.000000,16800.099609,16944.000000,16659.134766,13488
2020-08-27,17250.000000,17332.000000,17006.000000,17065.099609,16778.197266,18991
2020-08-28,17132.000000,17194.800781,16780.000000,16816.050781,16673.050781,11894
2020-08-31,16820.000000,16934.150391,16000.000000,16377.099609,16377.099609,13024
2020-09-01,16375.000000,16500.000000,16116.049805,16402.750000,16402.750000,7899
2020-09-02,16400.000000,16460.000000,16205.000000,16390.000000,16390.000000,6368
2020-09-03,16499.000000,16650.000000,16280.750000,16444.500000,16444.500000,8111
