Date,Open,High,Low,Close,Adj Close,Volume
2020-06-17,131.099060,136.224747,129.620499,131.936920,131.936920,1542670
2020-06-18,129.719070,133.957611,129.620499,131.789063,131.789063,1697837
2020-06-19,133.859039,134.943314,130.113358,131.197632,131.197632,2100469
2020-06-22,133.464767,133.514053,130.606216,131.246918,131.246918,2176882
2020-06-23,132.035492,137.111877,129.817642,134.943314,134.943314,3261602
2020-06-24,137.456879,137.703308,126.269096,128.388367,128.388367,3586162
2020-06-25,128.634796,130.852631,127.156235,128.043365,128.043365,2128411
2020-06-26,130.113358,131.000488,126.761948,127.451942,127.451942,1881457
2020-06-29,127.156235,129.078369,123.213402,125.579102,125.579102,2053995
2020-06-30,128.399994,130.199997,124.449997,125.300003,125.300003,1019565
2020-07-01,125.500000,126.250000,123.050003,123.800003,123.800003,878487
2020-07-02,125.099998,125.099998,122.300003,122.750000,122.750000,1070191
2020-07-03,123.000000,123.750000,120.000000,120.599998,120.599998,1252737
2020-07-06,122.000000,128.500000,120.150002,127.500000,127.500000,3681812
2020-07-07,127.500000,130.750000,125.500000,126.449997,126.449997,2866898
2020-07-08,126.650002,127.699997,121.250000,121.750000,121.750000,2472814
2020-07-09,122.750000,124.949997,122.250000,123.800003,123.800003,1709045
2020-07-10,124.500000,124.800003,120.599998,121.150002,121.150002,1919785
2020-07-13,122.199997,122.500000,119.300003,120.199997,120.199997,1405096
2020-07-14,120.500000,120.500000,117.250000,118.449997,118.449997,937623
2020-07-15,119.000000,119.900002,115.000000,115.599998,115.599998,753985
2020-07-16,115.699997,115.699997,112.500000,112.949997,112.949997,1225388
2020-07-17,113.099998,116.849998,113.000000,115.150002,115.150002,1320283
2020-07-20,116.000000,117.000000,112.849998,113.400002,113.400002,1006512
2020-07-21,113.949997,114.849998,111.800003,112.400002,112.400002,1527953
2020-07-22,113.199997,123.199997,112.099998,120.300003,120.300003,5595124
2020-07-23,119.550003,127.500000,119.050003,126.449997,126.449997,4435615
2020-07-24,125.550003,129.300003,123.699997,128.050003,128.050003,2582507
2020-07-27,128.800003,130.250000,122.849998,125.000000,125.000000,1174775
2020-07-28,125.000000,127.500000,121.650002,122.650002,122.650002,1426328
2020-07-29,123.150002,127.699997,122.300003,125.349998,125.349998,1361408
2020-07-30,126.400002,127.000000,122.250000,123.000000,123.000000,513984
2020-07-31,121.750000,125.250000,121.550003,124.699997,124.699997,883162
2020-08-03,124.150002,124.449997,120.599998,121.199997,121.199997,716388
2020-08-04,121.500000,123.300003,120.699997,122.050003,122.050003,777117
2020-08-05,125.000000,125.699997,123.000000,123.400002,123.400002,678477
2020-08-06,124.349998,125.000000,121.949997,123.800003,123.800003,532551
2020-08-07,124.000000,124.849998,120.000000,120.949997,120.949997,2038128
2020-08-10,121.000000,122.849998,118.750000,118.949997,118.949997,1103193
2020-08-11,119.599998,120.050003,117.699997,118.000000,118.000000,1118433
2020-08-12,117.000000,120.900002,117.000000,118.599998,118.599998,1367566
2020-08-13,120.400002,132.800003,119.599998,129.850006,129.850006,7822476
2020-08-14,130.500000,132.750000,126.150002,129.250000,129.250000,3077703
2020-08-17,130.949997,134.699997,126.250000,133.100006,133.100006,2264485
2020-08-18,134.399994,137.250000,132.000000,136.350006,136.350006,3381442
2020-08-19,137.699997,141.500000,135.399994,140.000000,140.000000,3325448
2020-08-20,138.000000,144.949997,137.600006,142.899994,142.899994,2760592
2020-08-21,143.000000,154.899994,143.000000,146.449997,146.449997,6088477
2020-08-24,153.100006,153.399994,145.199997,149.500000,149.500000,2331772
2020-08-25,148.050003,152.899994,146.899994,151.100006,151.100006,2752961
2020-08-26,151.000000,152.100006,148.199997,149.050003,149.050003,2163999
2020-08-27,149.100006,152.149994,145.399994,146.250000,146.250000,2714171
2020-08-28,146.750000,150.000000,143.100006,143.649994,143.649994,1458076
2020-08-31,145.100006,149.449997,136.000000,139.899994,139.899994,3717514
2020-09-01,137.100006,141.699997,131.600006,134.350006,134.350006,1233648
2020-09-02,135.649994,148.899994,133.649994,145.250000,145.250000,1291283
2020-09-03,146.350006,148.350006,139.000000,139.300003,139.300003,2487745
2020-09-04,138.000000,144.649994,135.000000,136.800003,136.800003,2457098
2020-09-07,137.300003,139.800003,135.300003,137.250000,137.250000,1944007
2020-09-08,137.949997,139.050003,134.449997,137.800003,137.800003,1040440
2020-09-09,135.000000,136.800003,128.600006,129.949997,129.949997,2403160
2020-09-10,131.949997,135.000000,130.250000,132.250000,132.250000,1155708
2020-09-11,132.449997,134.199997,130.350006,131.550003,131.550003,1114795
2020-09-14,133.500000,141.399994,133.500000,136.000000,136.000000,3958169
2020-09-15,137.199997,137.899994,132.850006,134.149994,134.149994,3549025
2020-09-16,135.600006,139.750000,134.750000,137.649994,137.649994,1575414
2020-09-17,136.449997,137.399994,133.399994,135.350006,135.350006,1058511
2020-09-18,136.000000,136.699997,132.500000,133.149994,133.149994,1343955
2020-09-21,134.050003,134.350006,123.349998,126.599998,126.599998,1442459
2020-09-22,125.000000,133.850006,120.500000,129.949997,129.949997,2225643
2020-09-23,132.000000,134.000000,127.099998,131.649994,131.649994,1459630
2020-09-24,126.750000,131.449997,126.750000,130.050003,130.050003,1181172
2020-09-25,130.350006,132.000000,126.550003,128.199997,128.199997,1980983
2020-09-28,130.000000,133.250000,129.350006,131.050003,131.050003,1112026
2020-09-29,132.000000,133.649994,129.149994,132.550003,132.550003,1245632
2020-09-30,133.750000,136.850006,132.050003,133.600006,133.600006,1549199
2020-10-01,135.000000,135.500000,131.699997,132.600006,132.600006,663617
2020-10-05,133.399994,134.850006,129.949997,132.199997,132.199997,946912
2020-10-06,133.699997,136.449997,131.300003,132.350006,132.350006,2599446
2020-10-07,133.000000,134.500000,131.550003,131.949997,131.949997,1174789
2020-10-08,133.149994,133.300003,127.750000,128.899994,128.899994,1234763
2020-10-09,129.000000,130.699997,128.050003,128.699997,128.699997,1305554
2020-10-12,129.550003,132.449997,126.500000,127.599998,127.599998,1975485
