Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,630.000000,655.700012,630.000000,652.400024,648.719360,2905199
2020-06-02,656.799988,678.500000,656.650024,665.150024,661.397400,2959113
2020-06-03,677.500000,677.500000,646.200012,650.599976,646.929443,1696631
2020-06-04,652.450012,666.000000,651.049988,660.549988,656.823303,1786284
2020-06-05,665.049988,673.349976,658.500000,670.799988,667.015503,1232201
2020-06-08,682.900024,685.750000,657.299988,662.750000,659.010925,897741
2020-06-09,662.750000,668.000000,652.099976,656.799988,653.094482,1372187
2020-06-10,656.049988,666.000000,652.500000,662.500000,658.762329,441436
2020-06-11,662.500000,665.900024,639.049988,640.900024,637.284241,631887
2020-06-12,601.099976,661.000000,601.099976,656.700012,652.995056,804320
2020-06-15,649.000000,661.500000,637.700012,645.000000,641.361084,698411
2020-06-16,652.000000,672.000000,652.000000,666.900024,663.137512,1886933
2020-06-17,669.349976,689.349976,660.799988,672.849976,669.053894,2339332
2020-06-18,673.000000,683.000000,665.150024,679.400024,675.567017,875072
2020-06-19,679.400024,685.400024,669.750000,673.500000,669.700256,856637
2020-06-22,675.000000,681.900024,658.799988,666.599976,662.839172,847387
2020-06-23,674.900024,674.900024,658.000000,661.599976,657.867371,905750
2020-06-24,665.000000,675.000000,652.000000,655.599976,651.901245,1259716
2020-06-25,656.000000,657.900024,635.000000,640.250000,636.637878,1257209
2020-06-26,642.900024,651.549988,640.849976,647.849976,644.194946,838124
2020-06-29,647.950012,650.000000,635.799988,641.299988,637.681946,791140
2020-06-30,643.099976,655.900024,643.099976,650.400024,646.730652,1107993
2020-07-01,650.400024,665.950012,648.900024,660.599976,656.873047,1091795
2020-07-02,659.049988,688.000000,656.250000,683.650024,679.793030,1424234
2020-07-03,689.750000,702.500000,686.150024,690.599976,686.703796,2882466
2020-07-06,690.599976,715.599976,682.500000,712.099976,708.082458,1504696
2020-07-07,715.000000,718.950012,700.000000,707.650024,703.657654,1146228
2020-07-08,707.000000,714.000000,693.000000,698.349976,694.410034,755956
2020-07-09,697.000000,703.900024,692.549988,698.049988,694.111755,355122
2020-07-10,693.000000,699.700012,690.250000,696.549988,692.620239,485936
2020-07-13,697.000000,712.400024,694.099976,698.200012,694.260925,792988
2020-07-14,700.750000,705.000000,686.500000,695.900024,691.973938,1058592
2020-07-15,697.150024,704.000000,676.950012,680.599976,676.760193,1088457
2020-07-16,680.000000,686.450012,663.950012,683.700012,679.842712,749477
2020-07-17,675.000000,702.950012,675.000000,697.549988,693.614563,926708
2020-07-20,705.000000,713.599976,700.000000,703.750000,699.779602,855163
2020-07-21,707.000000,722.500000,699.000000,704.250000,700.276794,1726236
2020-07-22,704.250000,717.000000,687.150024,698.299988,694.360352,1473085
2020-07-23,697.950012,714.849976,695.500000,712.650024,708.629456,585156
2020-07-24,712.500000,717.000000,703.799988,708.099976,704.105042,861753
2020-07-27,706.900024,707.250000,678.000000,684.750000,680.886780,918250
2020-07-28,686.900024,696.200012,680.299988,692.799988,688.891357,576313
2020-07-29,696.000000,701.900024,675.099976,678.500000,674.672058,871699
2020-07-30,682.500000,703.700012,679.150024,698.750000,694.807800,1188165
2020-07-31,703.750000,713.650024,695.250000,709.200012,705.198853,1195579
2020-08-03,713.000000,733.500000,707.000000,711.599976,707.585327,2366230
2020-08-04,717.000000,730.950012,702.299988,711.750000,707.734497,1575188
2020-08-05,716.400024,724.000000,711.000000,716.200012,712.159363,504214
2020-08-06,720.500000,724.349976,711.000000,721.849976,717.777466,647781
2020-08-07,723.000000,727.250000,713.500000,718.150024,714.098389,688803
2020-08-10,722.000000,753.000000,711.000000,749.700012,745.470398,2129942
2020-08-11,755.200012,755.200012,737.250000,742.700012,738.509888,771862
2020-08-12,739.599976,752.500000,733.599976,743.500000,739.305359,748478
2020-08-13,743.450012,757.500000,738.849976,744.000000,739.802551,727322
2020-08-14,747.099976,767.950012,735.349976,742.750000,738.559570,1771468
2020-08-17,749.000000,757.450012,742.299988,754.000000,749.746094,547936
2020-08-18,757.049988,769.400024,757.000000,766.650024,762.324768,807940
2020-08-19,769.950012,769.950012,732.000000,737.000000,732.842041,2575153
2020-08-20,736.000000,745.500000,717.049988,742.349976,738.161804,1574213
2020-08-21,746.500000,751.400024,735.349976,740.599976,736.421692,753674
2020-08-24,743.000000,752.950012,740.000000,744.250000,740.051147,591793
2020-08-25,748.599976,749.200012,738.200012,741.450012,737.266907,456784
2020-08-26,742.200012,752.000000,733.000000,743.500000,739.305359,551669
2020-08-27,745.000000,748.000000,737.250000,741.799988,737.614929,389573
2020-08-28,742.000000,752.900024,731.799988,734.950012,730.803589,702793
2020-08-31,735.000000,743.799988,714.000000,727.950012,723.843079,1310892
2020-09-01,727.599976,738.200012,721.000000,734.750000,730.604736,948880
2020-09-02,734.750000,747.700012,728.000000,745.200012,740.995789,514686
2020-09-03,750.000000,758.000000,740.000000,743.450012,739.255676,598449
2020-09-04,742.000000,754.799988,730.950012,741.200012,737.018311,939581
2020-09-07,739.950012,747.150024,726.700012,736.250000,732.096252,720657
2020-09-08,742.049988,742.049988,715.150024,717.900024,713.849792,842003
2020-09-09,705.000000,745.599976,705.000000,740.750000,736.570862,1219017
2020-09-10,743.000000,747.500000,728.299988,741.500000,737.316650,474121
2020-09-11,745.549988,752.099976,738.150024,746.900024,742.686218,554943
2020-09-14,752.000000,783.000000,749.549988,761.500000,757.203796,2348580
2020-09-15,769.450012,784.950012,762.000000,782.700012,778.284180,941040
2020-09-16,780.400024,793.599976,771.299988,776.900024,772.516968,1295018
2020-09-17,770.000000,780.650024,762.349976,775.200012,770.826538,661195
2020-09-18,780.950012,786.450012,756.599976,762.599976,758.297546,988158
2020-09-21,757.900024,757.900024,719.000000,725.400024,721.307495,815995
2020-09-22,716.000000,725.700012,696.599976,710.450012,706.441833,823509
2020-09-23,719.000000,734.500000,714.000000,726.599976,722.500671,966037
2020-09-24,718.849976,726.950012,707.200012,710.799988,706.789856,811312
2020-09-25,712.849976,737.450012,707.299988,726.200012,722.102966,983734
2020-09-28,737.000000,749.950012,731.099976,746.900024,742.686218,774576
2020-09-29,748.000000,762.000000,744.349976,755.700012,751.436523,773098
2020-09-30,754.500000,765.900024,750.500000,764.150024,759.838867,404578
2020-10-01,768.799988,777.150024,750.200012,756.099976,751.834229,805779
2020-10-05,758.000000,760.000000,736.400024,751.549988,747.309937,675115
2020-10-06,751.000000,754.200012,739.000000,741.000000,736.819458,609121
2020-10-07,742.549988,748.500000,733.799988,740.000000,735.825073,471525
2020-10-08,747.200012,747.200012,732.150024,735.400024,731.251099,606313
2020-10-09,739.950012,742.549988,729.150024,740.849976,736.670288,543394
2020-10-12,745.000000,747.700012,721.950012,723.450012,719.368469,520286
2020-10-13,724.000000,739.000000,720.049988,731.450012,727.323364,1147140
2020-10-14,729.750000,742.950012,725.099976,729.549988,725.434021,777929
2020-10-15,728.000000,742.000000,715.349976,719.900024,715.838501,738833
2020-10-16,726.000000,728.500000,710.150024,722.700012,718.622742,1004393
2020-10-19,725.900024,734.549988,716.200012,732.099976,727.969666,550253
2020-10-20,732.099976,743.599976,728.549988,733.700012,729.560669,742891
2020-10-21,737.000000,741.000000,725.049988,734.950012,730.803589,433527
2020-10-22,730.000000,752.700012,729.000000,748.150024,743.929138,1455171
2020-10-23,754.750000,763.700012,744.150024,761.000000,756.706604,1559470
2020-10-26,764.849976,772.900024,753.349976,760.299988,756.010559,1232620
2020-10-27,756.450012,801.450012,742.049988,786.750000,782.311340,1421079
2020-10-28,785.000000,790.400024,740.000000,745.799988,741.592346,2228941
2020-10-29,743.900024,748.000000,731.099976,743.049988,738.857849,771046
2020-10-30,743.500000,771.349976,743.500000,766.049988,761.728088,2088394
2020-11-02,770.000000,777.049988,761.200012,775.349976,770.975647,924675
2020-11-03,775.500000,789.049988,775.349976,782.799988,778.383606,1368112
2020-11-04,779.950012,792.500000,754.450012,789.750000,785.294434,754231
2020-11-05,792.500000,805.000000,787.000000,801.150024,796.630127,731149
2020-11-06,801.099976,811.400024,797.049988,808.700012,804.137512,744401
2020-11-09,812.000000,816.000000,799.049988,814.000000,809.407593,464639
2020-11-10,815.049988,836.000000,814.849976,832.500000,827.803223,1312983
2020-11-11,833.599976,837.700012,813.799988,826.000000,821.339905,723998
2020-11-12,827.000000,839.950012,820.000000,834.950012,830.239441,539242
2020-11-13,839.000000,847.700012,812.000000,817.650024,813.037048,1082347
2020-11-14,null,null,null,null,null,null
2020-11-17,825.950012,836.400024,821.099976,832.900024,828.200989,535893
2020-11-18,834.200012,844.200012,826.799988,834.549988,829.841675,641587
2020-11-19,833.000000,849.849976,826.000000,838.349976,833.620178,721654
2020-11-20,836.000000,863.549988,836.000000,858.049988,853.209106,1836039
2020-11-23,869.650024,879.000000,863.000000,874.400024,869.466858,1058661
2020-11-24,876.900024,895.000000,872.099976,891.250000,886.221802,847138
2020-11-25,891.250000,899.000000,868.000000,874.200012,869.268005,910838
2020-11-26,874.000000,900.000000,862.049988,893.099976,888.061340,1351408
2020-11-27,894.299988,964.799988,885.950012,946.799988,941.458374,4207080
2020-12-01,946.799988,946.799988,915.000000,922.150024,916.947449,989384
2020-12-02,928.299988,934.900024,909.049988,915.750000,910.583557,814057
2020-12-03,917.900024,930.900024,910.150024,916.000000,910.832153,708588
2020-12-04,916.000000,931.799988,908.400024,911.599976,906.456970,881338
2020-12-07,917.849976,925.000000,912.049988,918.900024,913.715820,595066
2020-12-08,924.000000,939.750000,913.000000,918.549988,913.367737,1101169
2020-12-09,924.200012,934.900024,913.500000,928.299988,923.062744,663466
2020-12-10,930.799988,945.000000,923.000000,941.500000,936.188293,919539
2020-12-11,944.950012,953.450012,923.200012,933.700012,928.432312,1052336
2020-12-14,935.000000,939.750000,925.000000,935.599976,930.321533,745919
2020-12-15,931.349976,946.900024,928.250000,943.750000,938.425598,400885
2020-12-16,942.000000,963.250000,941.250000,958.099976,952.694580,877871
2020-12-17,957.400024,961.900024,930.099976,938.250000,932.956604,647333
2020-12-18,940.200012,960.000000,937.299988,955.700012,950.308167,1201969
