Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,1036.849976,1043.949951,1022.950012,1029.199951,1028.163330,44974
2020-01-02,1033.000000,1072.750000,1026.349976,1058.750000,1057.683594,208020
2020-01-03,1055.800049,1078.900024,1039.050049,1070.800049,1069.721558,159352
2020-01-06,1063.900024,1066.900024,1035.000000,1049.900024,1048.842529,126626
2020-01-07,1065.000000,1132.000000,1064.050049,1114.750000,1113.627197,280475
2020-01-08,1105.000000,1144.349976,1102.400024,1109.550049,1108.432495,291651
2020-01-09,1124.000000,1139.900024,1108.199951,1129.400024,1128.262451,171827
2020-01-10,1137.699951,1155.000000,1109.000000,1114.500000,1113.377441,147819
2020-01-13,1120.000000,1130.000000,1110.000000,1123.599976,1122.468262,95819
2020-01-14,1128.900024,1137.699951,1118.000000,1123.150024,1122.018799,73580
2020-01-15,1127.900024,1129.699951,1110.000000,1118.000000,1116.873901,43836
2020-01-16,1122.199951,1173.000000,1109.900024,1158.000000,1156.833618,197705
2020-01-17,1173.550049,1185.000000,1140.250000,1144.349976,1143.197388,127959
2020-01-20,1149.000000,1153.800049,1126.150024,1129.900024,1128.761963,47989
2020-01-21,1121.699951,1144.000000,1116.550049,1134.550049,1133.407349,75686
2020-01-22,1136.300049,1147.900024,1122.000000,1130.250000,1129.111572,50147
2020-01-23,1126.000000,1147.650024,1125.099976,1140.400024,1139.251465,62110
2020-01-24,1140.000000,1215.000000,1131.099976,1198.900024,1197.692505,275371
2020-01-27,1190.000000,1235.000000,1177.000000,1187.849976,1186.653564,256156
2020-01-28,1193.849976,1210.000000,1160.000000,1169.300049,1168.122314,99153
2020-01-29,1180.000000,1203.800049,1170.150024,1188.750000,1187.552734,163235
2020-01-30,1191.949951,1196.699951,1140.150024,1149.500000,1148.342285,88218
2020-01-31,1155.949951,1157.849976,1124.000000,1132.250000,1131.109619,58867
2020-02-03,1118.699951,1141.900024,1090.000000,1118.150024,1117.023804,73395
2020-02-04,1128.500000,1153.000000,1124.050049,1143.900024,1142.747925,63160
2020-02-05,1149.000000,1181.349976,1140.000000,1147.900024,1146.743896,95462
2020-02-06,1156.800049,1158.349976,1140.000000,1146.900024,1145.744873,42583
2020-02-07,1148.000000,1154.400024,1127.000000,1132.199951,1131.059570,50067
2020-02-10,1138.849976,1229.900024,1136.199951,1187.099976,1185.904297,672592
2020-02-11,1204.000000,1209.900024,1172.599976,1178.900024,1177.712646,191873
2020-02-12,1180.050049,1188.050049,1160.000000,1167.099976,1165.924438,75695
2020-02-13,1172.000000,1184.800049,1158.849976,1163.300049,1162.128418,56606
2020-02-14,1200.000000,1218.900024,1145.550049,1155.599976,1154.436035,140415
2020-02-17,1155.599976,1167.900024,1125.000000,1128.550049,1127.413330,59099
2020-02-18,1130.000000,1135.000000,1106.400024,1120.099976,1118.971802,41761
2020-02-19,1130.000000,1147.000000,1116.199951,1122.250000,1121.119629,60121
2020-02-20,1122.250000,1129.500000,1090.000000,1093.699951,1092.598389,63089
2020-02-24,1082.000000,1108.000000,1082.000000,1092.250000,1091.149902,50294
2020-02-25,1098.000000,1104.900024,1065.000000,1076.550049,1075.465698,26901
2020-02-26,1068.550049,1109.800049,1055.099976,1099.449951,1098.342529,70895
2020-02-27,1103.000000,1109.699951,1080.000000,1098.599976,1097.493408,37532
2020-02-28,1063.599976,1078.000000,1052.949951,1069.449951,1068.372803,45702
2020-03-02,1083.900024,1108.000000,1053.000000,1092.250000,1091.149902,65206
2020-03-03,1108.099976,1130.000000,1085.000000,1102.449951,1101.339600,45630
2020-03-04,1103.900024,1107.949951,1070.000000,1096.000000,1094.896118,95812
2020-03-05,1093.000000,1115.000000,1085.000000,1089.750000,1088.652344,30552
2020-03-06,1054.000000,1142.000000,1044.000000,1119.599976,1118.472290,69377
2020-03-09,1117.000000,1117.000000,1060.000000,1084.750000,1083.657471,80429
2020-03-11,1081.000000,1093.650024,1070.000000,1081.099976,1080.011108,44475
2020-03-12,1050.349976,1050.349976,985.000000,1000.000000,998.992798,99008
2020-03-13,900.000000,1034.949951,800.000000,1004.049988,1003.038696,84166
2020-03-16,976.000000,976.000000,940.000000,950.349976,949.392761,64930
2020-03-17,941.000000,1009.000000,864.000000,885.950012,885.057678,62179
2020-03-18,904.000000,904.950012,760.099976,774.450012,773.669983,77250
