Date,Open,High,Low,Close,Adj Close,Volume
2020-06-18,357.700012,363.600006,355.750000,360.350006,360.350006,1479580
2020-06-19,363.899994,379.799988,361.549988,375.799988,375.799988,3234162
2020-06-22,379.899994,385.700012,367.049988,373.149994,373.149994,3190009
2020-06-23,373.149994,377.799988,367.000000,368.950012,368.950012,1894701
2020-06-24,368.950012,374.600006,353.700012,356.649994,356.649994,1634500
2020-06-25,351.950012,365.000000,348.149994,357.450012,357.450012,1726134
2020-06-26,363.200012,363.200012,350.450012,352.500000,352.500000,1246334
2020-06-29,350.000000,353.600006,309.250000,316.500000,316.500000,9808466
2020-06-30,315.000000,322.549988,306.600006,319.350006,319.350006,9498212
2020-07-01,322.000000,341.700012,321.000000,337.350006,337.350006,6851171
2020-07-02,337.000000,342.100006,331.549988,334.399994,334.399994,1795803
2020-07-03,340.950012,361.399994,338.049988,358.799988,358.799988,8521914
2020-07-06,360.100006,370.000000,353.750000,368.350006,368.350006,4786362
2020-07-07,368.950012,378.000000,362.399994,375.350006,375.350006,3343597
2020-07-08,375.000000,378.700012,360.250000,362.500000,362.500000,1854363
2020-07-09,364.149994,371.899994,363.200012,369.750000,369.750000,2555821
2020-07-10,368.950012,374.450012,353.149994,354.500000,354.500000,2925733
2020-07-13,359.000000,377.899994,358.299988,369.049988,369.049988,8621251
2020-07-14,366.899994,375.000000,363.000000,366.799988,366.799988,4831790
2020-07-15,371.950012,376.799988,363.799988,366.549988,366.549988,3224171
2020-07-16,369.649994,383.799988,362.950012,379.299988,379.299988,5333436
2020-07-17,381.000000,386.000000,375.250000,377.450012,377.450012,2685499
2020-07-20,382.799988,387.149994,376.850006,382.700012,382.700012,3833797
2020-07-21,383.500000,386.750000,379.649994,384.350006,384.350006,2329570
2020-07-22,386.000000,389.000000,379.250000,387.200012,387.200012,3337571
2020-07-23,388.000000,397.600006,386.000000,389.450012,389.450012,3381800
2020-07-24,389.000000,389.000000,377.200012,384.100006,384.100006,2205238
2020-07-27,384.000000,388.649994,379.250000,382.799988,382.799988,1628936
2020-07-28,383.500000,394.500000,379.450012,393.250000,393.250000,2260156
2020-07-29,395.000000,398.000000,382.799988,385.950012,385.950012,1995708
2020-07-30,389.250000,393.899994,383.299988,385.250000,385.250000,1868410
2020-07-31,385.299988,389.600006,380.149994,381.950012,381.950012,2639052
2020-08-03,380.200012,391.799988,376.000000,386.250000,386.250000,2520665
2020-08-04,389.299988,395.000000,383.000000,392.299988,392.299988,2092928
2020-08-05,398.100006,413.899994,393.399994,401.049988,401.049988,3786407
