Date,Open,High,Low,Close,Adj Close,Volume
2020-06-17,3357.850098,3435.000000,3355.050049,3401.449951,3262.694092,1100079
2020-06-18,3415.000000,3457.000000,3381.550049,3404.250000,3265.380127,898020
2020-06-19,3417.899902,3450.000000,3382.000000,3438.550049,3298.280762,782686
2020-06-22,3450.000000,3475.000000,3416.000000,3421.199951,3281.638428,735172
2020-06-23,3429.949951,3504.899902,3426.300049,3467.050049,3325.618164,765543
2020-06-24,3487.000000,3504.899902,3440.000000,3446.399902,3305.810547,573264
2020-06-25,3424.899902,3474.399902,3420.000000,3450.399902,3309.647217,546396
2020-06-26,3457.300049,3499.899902,3444.300049,3456.399902,3315.402588,448349
2020-06-29,3452.800049,3544.850098,3445.800049,3519.250000,3375.688721,940186
2020-06-30,3542.000000,3615.000000,3540.000000,3603.800049,3456.790039,1236535
2020-07-01,3605.000000,3611.000000,3536.000000,3545.949951,3401.299561,586225
2020-07-02,3553.000000,3567.649902,3512.050049,3535.100098,3390.892334,422319
2020-07-03,3549.500000,3579.949951,3515.000000,3538.350098,3394.009766,323231
2020-07-06,3560.000000,3646.000000,3541.000000,3624.449951,3476.597412,538052
2020-07-07,3636.000000,3685.449951,3580.000000,3678.449951,3528.394531,664348
2020-07-08,3675.550049,3712.500000,3630.000000,3685.000000,3534.677246,531417
2020-07-09,3690.000000,3699.000000,3650.000000,3673.600098,3523.742188,397351
2020-07-10,3669.600098,3753.600098,3655.350098,3726.649902,3574.628174,706116
2020-07-13,3760.000000,3835.000000,3750.250000,3796.800049,3641.916504,1108644
2020-07-14,3795.550049,3795.949951,3729.000000,3735.250000,3582.877441,399210
2020-07-15,3742.000000,3778.300049,3711.699951,3723.250000,3571.366943,506573
2020-07-16,3729.000000,3880.250000,3689.550049,3854.750000,3697.502441,987220
2020-07-17,3900.000000,3938.000000,3766.800049,3785.000000,3630.597900,4502972
2020-07-20,3859.000000,3993.000000,3807.199951,3982.649902,3820.185059,3784970
2020-07-21,3999.000000,4010.000000,3875.000000,3880.399902,3722.106201,1880670
