Date,Open,High,Low,Close,Adj Close,Volume
2020-06-18,366.000000,369.000000,362.250000,365.649994,365.649994,2282304
2020-06-19,368.700012,369.700012,360.250000,362.049988,362.049988,5007225
2020-06-22,365.950012,368.500000,356.549988,360.649994,360.649994,5181010
2020-06-23,362.000000,368.850006,361.000000,367.049988,367.049988,2420026
2020-06-24,368.200012,373.299988,361.549988,362.799988,362.799988,3090543
2020-06-25,362.799988,367.200012,360.000000,363.350006,363.350006,1701404
2020-06-26,364.899994,372.700012,363.049988,363.850006,363.850006,4312396
2020-06-29,365.200012,370.950012,364.100006,366.700012,366.700012,2246116
2020-06-30,367.750000,369.600006,351.850006,353.100006,353.100006,2533137
2020-07-01,351.500000,353.850006,347.049988,348.700012,348.700012,2538282
2020-07-02,350.000000,366.899994,350.000000,363.149994,363.149994,5430089
2020-07-03,380.000000,380.000000,362.500000,366.350006,366.350006,8834293
2020-07-06,374.000000,374.000000,360.100006,362.899994,362.899994,3390540
2020-07-07,361.500000,370.450012,361.250000,361.850006,361.850006,4953116
2020-07-08,362.200012,366.350006,357.700012,359.700012,359.700012,2606844
2020-07-09,361.100006,362.950012,355.299988,356.049988,356.049988,2714916
2020-07-10,357.350006,360.549988,354.500000,356.399994,356.399994,2477367
2020-07-13,357.899994,360.149994,356.000000,358.100006,358.100006,1869088
2020-07-14,357.950012,362.000000,352.750000,353.799988,353.799988,2594161
2020-07-15,357.049988,358.149994,353.350006,354.549988,354.549988,2721855
2020-07-16,356.200012,362.649994,352.100006,360.899994,360.899994,4026034
2020-07-17,362.399994,378.600006,362.200012,377.399994,377.399994,9209347
2020-07-20,381.000000,384.500000,372.549988,374.299988,374.299988,5951006
2020-07-21,376.000000,377.600006,363.250000,364.850006,364.850006,3512053
2020-07-22,366.250000,373.600006,361.500000,366.649994,366.649994,3469954
2020-07-23,367.100006,371.850006,365.299988,369.950012,369.950012,2370928
2020-07-24,370.000000,374.899994,361.500000,363.100006,363.100006,4897801
2020-07-27,363.750000,364.250000,350.500000,356.600006,356.600006,2844884
2020-07-28,356.000000,362.000000,354.100006,357.049988,357.049988,2929086
2020-07-29,357.600006,362.399994,356.000000,360.750000,360.750000,1863944
2020-07-30,361.500000,368.500000,361.299988,365.649994,365.649994,3384012
2020-07-31,367.450012,396.450012,367.299988,388.399994,388.399994,15280658
2020-08-03,396.000000,400.700012,387.049988,394.649994,394.649994,12197364
2020-08-04,398.000000,405.549988,390.450012,403.700012,403.700012,9406014
2020-08-05,409.000000,411.500000,392.450012,396.049988,396.049988,19562695
2020-08-06,396.000000,401.799988,384.200012,388.850006,388.850006,9631157
2020-08-07,390.299988,395.299988,387.549988,390.899994,390.899994,4604328
2020-08-10,393.200012,409.799988,392.149994,405.149994,405.149994,7942356
2020-08-11,407.100006,408.600006,393.000000,394.750000,394.750000,3349422
2020-08-12,395.500000,395.500000,381.250000,385.200012,385.200012,3992299
2020-08-13,393.500000,394.549988,385.250000,386.399994,386.399994,5405124
2020-08-14,390.000000,400.350006,386.049988,395.450012,395.450012,7430150
2020-08-17,399.149994,402.549988,390.850006,397.500000,397.500000,4306535
2020-08-18,398.000000,401.000000,395.100006,397.000000,397.000000,2023214
2020-08-19,398.899994,406.000000,394.600006,395.799988,395.799988,4960697
2020-08-20,397.000000,400.799988,395.049988,398.450012,398.450012,2402955
2020-08-21,400.299988,404.000000,396.350006,400.649994,400.649994,3722166
2020-08-24,403.100006,403.850006,392.600006,395.100006,395.100006,3077164
2020-08-25,397.000000,398.500000,387.049988,388.200012,388.200012,2248906
2020-08-26,390.000000,391.149994,385.100006,388.649994,388.649994,2189843
2020-08-27,389.000000,396.000000,388.000000,389.100006,389.100006,2673962
2020-08-28,390.000000,393.750000,387.549988,388.850006,388.850006,2434360
2020-08-31,391.899994,392.549988,368.250000,371.250000,371.250000,3023943
2020-09-01,373.100006,379.899994,366.500000,378.100006,378.100006,3299058
2020-09-02,380.100006,384.399994,372.700012,382.000000,382.000000,3414195
2020-09-03,383.000000,389.350006,379.850006,387.049988,387.049988,2425484
2020-09-04,381.049988,390.500000,374.299988,377.149994,377.149994,3463442
2020-09-07,382.899994,382.899994,366.850006,370.399994,370.399994,3177372
2020-09-08,371.000000,374.200012,362.299988,364.600006,364.600006,2082466
2020-09-09,363.000000,371.799988,360.000000,370.600006,370.600006,3591938
2020-09-10,373.399994,374.950012,360.399994,363.750000,363.750000,5232298
2020-09-11,365.000000,372.649994,358.000000,370.000000,370.000000,4408064
2020-09-14,371.799988,373.200012,365.500000,368.549988,368.549988,2843408
2020-09-15,370.649994,378.500000,367.250000,375.049988,375.049988,4154630
2020-09-16,377.149994,390.000000,375.100006,388.399994,388.399994,5051643
2020-09-17,389.000000,396.600006,384.399994,393.700012,393.700012,6323179
2020-09-18,395.049988,423.000000,395.049988,409.700012,409.700012,19640795
2020-09-21,412.899994,416.950012,390.549988,396.100006,396.100006,8893943
2020-09-22,397.899994,398.500000,381.250000,393.100006,393.100006,4930219
2020-09-23,395.000000,396.000000,379.299988,383.899994,383.899994,3731153
2020-09-24,381.750000,383.799988,374.149994,376.299988,376.299988,3631774
2020-09-25,379.000000,389.100006,375.500000,385.500000,385.500000,3902777
2020-09-28,389.100006,392.549988,381.350006,390.600006,390.600006,3623382
2020-09-29,388.100006,394.799988,385.350006,387.799988,387.799988,3887755
2020-09-30,388.049988,406.500000,386.000000,395.049988,395.049988,7586585
2020-10-01,398.649994,402.200012,390.750000,398.250000,398.250000,4531706
2020-10-05,401.000000,417.399994,395.799988,414.049988,414.049988,6566663
2020-10-06,417.549988,423.450012,412.399994,415.350006,415.350006,6757564
2020-10-07,416.750000,420.350006,405.299988,412.850006,412.850006,4546765
2020-10-08,415.000000,438.700012,414.200012,436.100006,436.100006,11799509
2020-10-09,436.000000,447.899994,435.000000,438.000000,438.000000,9872511
2020-10-12,438.000000,443.149994,430.750000,441.500000,441.500000,5232786
2020-10-13,438.500000,446.299988,427.200012,430.100006,430.100006,5013052
2020-10-14,428.500000,433.600006,422.350006,430.549988,430.549988,3974124
2020-10-15,430.600006,433.000000,414.799988,415.899994,415.899994,3827989
2020-10-16,413.600006,432.200012,411.299988,430.399994,430.399994,6972334
2020-10-19,435.899994,435.899994,419.799988,422.700012,422.700012,3621398
2020-10-20,420.000000,430.950012,417.350006,428.200012,428.200012,4544341
2020-10-21,428.200012,432.450012,418.100006,426.350006,426.350006,3562424
2020-10-22,425.000000,427.149994,415.600006,425.649994,425.649994,2951106
2020-10-23,428.000000,434.649994,423.049988,424.299988,424.299988,4441772
2020-10-26,425.500000,430.000000,414.500000,418.850006,418.850006,2709889
2020-10-27,420.000000,424.700012,416.149994,423.500000,423.500000,2410795
2020-10-28,425.000000,427.799988,416.899994,418.500000,418.500000,2577221
2020-10-29,417.000000,420.000000,407.500000,411.149994,411.149994,2429582
2020-10-30,413.100006,419.000000,408.399994,417.700012,417.700012,2527504
2020-11-02,418.000000,423.450012,404.000000,410.649994,410.649994,2958688
2020-11-03,420.000000,464.000000,416.000000,437.649994,437.649994,30218448
2020-11-04,436.950012,444.399994,432.600006,439.299988,439.299988,6349693
2020-11-05,446.000000,449.799988,437.250000,442.899994,442.899994,5283605
2020-11-06,442.899994,444.350006,430.399994,432.299988,432.299988,4204221
2020-11-09,436.100006,438.899994,429.000000,437.600006,437.600006,4111210
2020-11-10,440.000000,440.000000,406.250000,409.399994,409.399994,7148283
2020-11-11,414.899994,419.000000,411.100006,416.450012,416.450012,5861723
2020-11-12,418.399994,435.399994,413.850006,426.049988,426.049988,9036176
2020-11-13,427.950012,432.750000,424.100006,425.600006,425.600006,5443702
2020-11-14,null,null,null,null,null,null
2020-11-17,432.000000,433.950012,426.000000,429.850006,429.850006,3849920
2020-11-18,429.799988,435.799988,425.649994,428.899994,428.899994,3341326
2020-11-19,430.549988,438.850006,427.100006,430.700012,430.700012,3614608
2020-11-20,434.000000,434.399994,423.700012,425.799988,425.799988,2797173
2020-11-23,429.649994,437.850006,425.100006,432.850006,432.850006,3744377
2020-11-24,432.000000,434.200012,425.500000,429.100006,429.100006,3001559
2020-11-25,431.500000,432.350006,419.549988,421.500000,421.500000,2533722
2020-11-26,422.000000,426.799988,418.100006,422.299988,422.299988,2587875
2020-11-27,439.000000,459.000000,432.200012,450.100006,450.100006,19534886
2020-12-01,459.100006,459.399994,442.299988,453.649994,453.649994,6867503
2020-12-02,453.000000,455.850006,445.100006,450.799988,450.799988,2976254
2020-12-03,450.799988,463.799988,450.799988,462.950012,462.950012,4514941
2020-12-04,464.000000,475.799988,458.049988,471.049988,471.049988,7398943
2020-12-07,471.899994,480.950012,466.850006,472.000000,472.000000,5147587
2020-12-08,472.000000,475.700012,463.000000,465.049988,465.049988,3064923
2020-12-09,468.500000,474.399994,463.399994,467.950012,467.950012,3655392
2020-12-10,468.600006,475.450012,464.000000,469.549988,469.549988,2907247
2020-12-11,470.950012,472.950012,461.000000,466.649994,466.649994,1634404
2020-12-14,469.000000,473.700012,466.549988,469.850006,469.850006,2084100
2020-12-15,473.000000,475.450012,465.000000,466.850006,466.850006,2936032
2020-12-16,471.000000,472.850006,465.899994,469.000000,469.000000,2630386
2020-12-17,469.000000,481.000000,468.100006,475.049988,475.049988,4533593
2020-12-18,475.399994,479.450012,470.000000,476.600006,476.600006,2439589
2020-12-21,476.600006,485.750000,428.950012,452.799988,452.799988,7647410
2020-12-22,455.000000,470.850006,438.799988,469.049988,469.049988,4489020
2020-12-23,467.250000,479.250000,465.049988,475.000000,475.000000,3377709
2020-12-24,477.799988,491.700012,470.000000,489.500000,489.500000,5254900
2020-12-28,496.450012,499.250000,484.000000,487.700012,487.700012,6453108
2020-12-29,488.000000,490.500000,477.100006,479.350006,479.350006,3004757
2020-12-30,482.899994,482.899994,475.799988,479.350006,479.350006,1839434
2020-12-31,480.000000,487.000000,474.450012,476.750000,476.750000,3322247
2021-01-01,477.750000,482.850006,476.750000,478.399994,478.399994,1774666
2021-01-04,494.000000,494.000000,479.100006,486.399994,486.399994,6212355
2021-01-05,484.000000,489.500000,480.250000,485.850006,485.850006,2211146
2021-01-06,486.000000,487.700012,475.350006,481.600006,481.600006,1926225
2021-01-07,484.500000,485.950012,478.549988,482.200012,482.200012,2064672
2021-01-08,485.000000,489.399994,483.500000,485.149994,485.149994,2216314
2021-01-11,487.000000,495.950012,482.750000,493.700012,493.700012,5043283
2021-01-12,496.000000,497.250000,489.450012,490.350006,490.350006,2534905
2021-01-13,493.000000,494.500000,481.649994,487.049988,487.049988,2727835
2021-01-14,487.000000,504.899994,483.000000,503.450012,503.450012,4909904
2021-01-15,506.000000,509.200012,485.250000,487.799988,487.799988,6378475
2021-01-18,485.000000,487.799988,467.350006,472.899994,472.899994,3221146
2021-01-19,474.100006,487.000000,474.100006,485.200012,485.200012,2112198
2021-01-20,483.500000,488.799988,482.100006,486.200012,486.200012,1394499
2021-01-21,487.399994,489.799988,466.500000,469.500000,469.500000,2522121
2021-01-22,470.049988,473.100006,455.299988,460.500000,460.500000,3760715
2021-01-25,465.350006,473.649994,455.500000,467.399994,467.399994,3542288
2021-01-27,467.850006,472.649994,459.100006,462.049988,462.049988,2807794
2021-01-28,457.000000,466.600006,452.250000,462.299988,462.299988,2584839
2021-01-29,462.299988,464.750000,450.000000,451.500000,451.500000,2561802
2021-02-01,454.000000,458.000000,442.049988,455.799988,455.799988,3425170
2021-02-02,459.399994,470.899994,453.700012,467.200012,467.200012,3939023
2021-02-03,471.450012,482.799988,468.399994,476.899994,476.899994,6399214
2021-02-04,482.000000,482.399994,475.250000,479.200012,479.200012,3872030
2021-02-05,482.500000,488.950012,471.850006,475.250000,475.250000,8272131
2021-02-08,478.000000,479.899994,472.649994,473.450012,473.450012,3717127
2021-02-09,475.000000,477.750000,466.100006,467.799988,467.799988,3261845
2021-02-10,470.000000,471.250000,459.799988,469.500000,469.500000,3481108
2021-02-11,468.000000,472.350006,464.049988,470.850006,470.850006,2204483
2021-02-12,471.450012,479.000000,466.600006,468.049988,468.049988,3029750
2021-02-15,466.899994,472.250000,463.649994,466.950012,466.950012,1809852
2021-02-16,466.000000,474.450012,463.350006,468.899994,468.899994,3392787
2021-02-17,470.000000,471.500000,460.700012,463.700012,463.700012,2556360
2021-02-18,465.000000,471.399994,462.700012,467.649994,467.649994,2556001
2021-02-19,466.299988,466.299988,447.049988,452.399994,452.399994,3283243
2021-02-22,450.000000,451.000000,431.250000,434.450012,434.450012,2515498
2021-02-23,438.799988,438.799988,421.000000,430.500000,430.500000,3853845
2021-02-24,430.500000,437.350006,427.649994,433.450012,433.450012,1688256
2021-02-25,441.000000,444.399994,436.149994,438.049988,438.049988,3141003
2021-02-26,434.200012,443.799988,430.100006,435.200012,435.200012,3239469
2021-03-01,437.000000,438.399994,430.399994,435.299988,435.299988,2015942
2021-03-02,437.350006,442.500000,434.899994,441.200012,441.200012,1306991
2021-03-03,441.500000,447.549988,439.200012,445.600006,445.600006,1871926
2021-03-04,442.000000,453.500000,440.799988,449.049988,449.049988,2657329
2021-03-05,450.950012,452.000000,440.250000,442.250000,442.250000,1925235
2021-03-08,443.000000,451.500000,442.000000,446.200012,446.200012,1596275
2021-03-09,453.000000,453.200012,441.549988,443.549988,443.549988,1955646
