Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,124.199997,127.000000,122.699997,125.099998,116.521088,1510462
2020-06-09,127.800003,128.000000,124.500000,126.000000,117.359375,1274790
2020-06-10,126.000000,127.949997,125.400002,126.599998,117.918236,751612
2020-06-11,127.300003,127.500000,123.099998,124.099998,115.589668,665069
2020-06-12,121.000000,123.500000,120.099998,121.900002,113.540543,559012
2020-06-15,117.449997,122.800003,116.300003,118.300003,110.187416,1106797
2020-06-16,120.000000,120.800003,116.300003,117.199997,109.162849,947419
2020-06-17,118.849998,121.449997,117.000000,117.949997,109.861412,1100735
2020-06-18,118.650002,120.300003,118.000000,118.599998,110.466843,837735
2020-06-19,119.800003,120.500000,118.250000,118.900002,110.746269,2847903
2020-06-22,119.750000,126.449997,119.500000,126.050003,117.405952,2140893
2020-06-23,126.699997,130.800003,125.500000,127.050003,118.337372,2806115
2020-06-24,128.750000,128.750000,125.550003,126.449997,117.778519,1518085
2020-06-25,125.050003,129.500000,124.650002,129.050003,120.200226,1557637
2020-06-26,129.000000,131.399994,127.400002,128.300003,122.345810,2381617
2020-06-29,128.750000,128.750000,122.150002,122.949997,117.244087,891359
2020-06-30,123.750000,126.800003,123.400002,125.699997,119.866463,1277993
2020-07-01,126.650002,126.650002,123.000000,123.300003,117.577843,540881
2020-07-02,124.150002,124.449997,123.349998,123.849998,118.102318,583379
2020-07-03,124.000000,125.699997,120.500000,121.150002,115.527626,1520877
2020-07-06,122.000000,125.250000,122.000000,124.349998,118.579117,1310013
2020-07-07,125.000000,126.449997,123.449997,125.650002,119.818787,871335
2020-07-08,126.000000,126.949997,124.050003,125.050003,119.246628,1427791
2020-07-09,125.250000,125.800003,121.599998,121.949997,116.290497,857675
2020-07-10,125.050003,126.800003,122.000000,122.650002,116.958015,2750668
2020-07-13,123.400002,124.000000,121.699997,121.949997,116.290497,678772
2020-07-14,121.750000,123.750000,120.750000,122.599998,116.910332,1472415
2020-07-15,123.400002,123.449997,120.250000,120.599998,115.003143,1626174
2020-07-16,121.250000,121.750000,118.599998,119.949997,114.383308,503145
2020-07-17,120.000000,120.949997,117.500000,117.900002,112.428452,1507076
2020-07-20,117.900002,119.099998,117.099998,117.300003,111.856300,832281
2020-07-21,119.000000,119.000000,116.500000,117.300003,111.856300,1535985
2020-07-22,117.449997,117.500000,114.500000,115.150002,109.806076,1547015
2020-07-23,115.699997,117.300003,115.500000,115.949997,110.568939,1008059
2020-07-24,116.000000,117.000000,114.300003,114.699997,109.376953,1271034
2020-07-27,115.300003,115.400002,111.500000,111.900002,106.706902,1462951
2020-07-28,112.900002,114.300003,109.800003,112.949997,107.708168,2184948
2020-07-29,114.800003,118.900002,114.500000,115.949997,110.568939,2644114
2020-07-30,116.949997,117.300003,114.949997,115.699997,110.330551,604748
2020-07-31,116.199997,116.199997,113.099998,113.449997,108.184959,1357016
2020-08-03,113.500000,115.000000,113.099998,113.449997,108.184959,600483
2020-08-04,114.250000,117.000000,114.000000,114.900002,109.567680,1332650
2020-08-05,115.599998,117.500000,114.750000,116.650002,111.236465,2016491
2020-08-06,117.900002,119.300003,116.750000,118.949997,113.429718,1626648
2020-08-07,119.849998,122.699997,119.500000,121.449997,115.813698,1615286
2020-08-10,122.650002,123.250000,121.599998,122.050003,116.385864,1201672
2020-08-11,122.500000,123.000000,120.550003,121.099998,115.479942,763709
2020-08-12,121.000000,121.900002,119.800003,120.349998,114.764748,856143
2020-08-13,120.750000,122.099998,120.699997,121.750000,116.099777,644016
2020-08-14,122.000000,123.199997,121.250000,122.050003,116.385864,892043
2020-08-17,122.949997,122.949997,120.550003,122.050003,116.385864,566906
2020-08-18,122.050003,123.250000,121.500000,122.849998,117.148727,930654
2020-08-19,123.000000,125.900002,122.400002,123.199997,117.482483,2893799
2020-08-20,123.000000,124.599998,122.599998,123.050003,117.339447,694236
2020-08-21,123.550003,124.500000,123.000000,123.199997,117.482483,597543
2020-08-24,124.150002,125.699997,123.349998,124.550003,118.769836,1160707
2020-08-25,125.500000,125.500000,122.599998,122.900002,117.196411,1023378
2020-08-26,123.250000,124.449997,121.750000,122.699997,117.005684,765451
2020-08-27,122.250000,124.000000,122.250000,122.599998,116.910332,545676
2020-08-28,123.000000,123.400002,122.199997,122.400002,116.719612,554660
2020-08-31,123.000000,124.000000,119.400002,119.900002,114.335632,852800
2020-09-01,120.000000,120.000000,116.000000,116.849998,111.427177,1303880
2020-09-02,118.449997,120.699997,118.000000,120.300003,114.717079,544182
2020-09-03,121.000000,122.150002,120.550003,121.349998,115.718338,473043
2020-09-04,120.500000,121.000000,119.050003,120.250000,114.669395,461325
2020-09-07,120.500000,121.750000,117.800003,118.650002,113.143639,1160903
2020-09-08,118.650002,120.849998,118.099998,119.650002,114.097237,588715
2020-09-09,118.099998,121.300003,117.500000,119.849998,114.287949,721342
2020-09-10,120.400002,120.500000,118.400002,118.849998,113.334358,1115936
2020-09-11,119.150002,120.849998,118.500000,119.849998,114.287949,635756
2020-09-14,120.500000,124.500000,119.550003,120.199997,114.621712,1410543
2020-09-15,120.900002,121.500000,119.699997,120.150002,114.574036,418335
2020-09-16,119.000000,120.300003,117.000000,117.699997,112.237724,1950844
2020-09-17,118.000000,119.449997,117.750000,118.599998,113.095963,884803
2020-09-18,119.599998,120.349998,116.599998,119.150002,113.620445,1624302
2020-09-21,119.849998,119.849998,114.550003,115.099998,109.758392,1311310
2020-09-22,116.000000,116.000000,111.000000,111.900002,106.706902,2069566
2020-09-23,112.750000,114.150002,110.550003,111.449997,106.277779,618608
2020-09-24,111.449997,112.000000,106.199997,107.849998,102.844849,968400
2020-09-25,109.400002,111.750000,108.400002,109.849998,104.752037,1044870
2020-09-28,111.000000,112.900002,109.199997,109.500000,104.418282,1159860
2020-09-29,110.900002,110.900002,109.300003,109.849998,104.752037,1299206
2020-09-30,110.000000,110.500000,109.099998,109.349998,104.275246,424329
2020-10-01,109.800003,110.699997,109.349998,109.900002,104.799721,651677
2020-10-05,110.900002,113.300003,110.000000,110.449997,105.324188,867954
2020-10-06,110.900002,112.300003,110.500000,111.849998,106.659218,1014009
2020-10-07,111.900002,113.199997,110.500000,110.650002,105.514908,1095359
2020-10-08,111.400002,112.400002,110.050003,110.750000,105.610268,1288839
2020-10-09,111.349998,111.849998,110.000000,110.650002,105.514908,579263
2020-10-12,111.250000,111.300003,109.000000,109.199997,104.132202,1074767
2020-10-13,109.000000,110.099998,107.000000,107.199997,102.225014,1151213
2020-10-14,107.000000,107.599998,105.400002,105.800003,100.889999,888443
2020-10-15,106.699997,107.650002,104.000000,104.300003,99.459602,1355115
2020-10-16,104.750000,107.250000,104.750000,107.050003,102.081985,617259
2020-10-19,108.150002,112.250000,107.650002,111.599998,106.420822,836863
2020-10-20,111.550003,112.500000,110.699997,111.599998,106.420822,972877
2020-10-21,112.300003,112.849998,111.449997,111.949997,106.754578,554921
2020-10-22,112.050003,113.650002,110.699997,111.599998,106.420822,1482111
2020-10-23,112.300003,113.349998,108.800003,109.849998,104.752037,1500155
2020-10-26,110.599998,112.300003,109.099998,109.599998,104.513634,711749
2020-10-27,109.900002,111.300003,108.000000,108.699997,103.655403,1226240
2020-10-28,114.000000,120.400002,114.000000,116.050003,110.664307,10742929
2020-10-29,114.599998,116.000000,113.449997,114.750000,109.424637,1051288
2020-10-30,115.050003,116.500000,113.349998,114.000000,108.709442,777013
2020-11-02,115.000000,116.099998,111.050003,111.349998,106.182419,1241168
2020-11-03,112.300003,112.900002,111.000000,111.949997,106.754578,769757
2020-11-04,113.050003,115.500000,111.650002,112.949997,107.708168,950244
2020-11-05,112.000000,112.650002,110.400002,110.900002,108.147003,1350029
2020-11-06,111.250000,112.500000,111.000000,112.250000,109.463493,1080856
2020-11-09,113.349998,113.750000,112.000000,113.050003,110.243637,1081397
2020-11-10,113.500000,113.900002,112.000000,112.900002,110.097359,752421
2020-11-11,113.000000,114.849998,112.949997,113.849998,111.023773,1002286
2020-11-12,114.000000,114.650002,113.000000,113.250000,110.438667,1186789
2020-11-13,112.800003,115.599998,112.650002,115.050003,112.193985,2442617
2020-11-14,null,null,null,null,null,null
2020-11-17,117.500000,117.800003,115.400002,116.000000,113.120399,1718747
2020-11-18,116.449997,117.500000,116.000000,117.050003,114.144341,2218679
2020-11-19,116.849998,121.000000,115.800003,118.500000,115.558342,2572877
2020-11-20,119.500000,123.900002,119.000000,123.050003,119.995392,2999332
2020-11-23,123.699997,125.900002,123.199997,124.000000,120.921806,1749055
2020-11-24,124.099998,130.500000,124.099998,129.300003,126.090240,3698476
2020-11-25,130.600006,130.800003,125.150002,125.800003,122.677124,1820823
2020-11-26,125.500000,126.449997,123.199997,125.449997,122.335808,1147403
2020-11-27,125.500000,129.949997,123.900002,125.400002,122.287056,5512195
2020-12-01,127.949997,130.000000,126.550003,128.550003,125.358856,1261386
2020-12-02,129.300003,131.850006,128.949997,130.750000,127.504242,1457706
2020-12-03,129.449997,130.750000,128.350006,128.550003,125.358856,1504939
2020-12-04,129.600006,132.300003,129.000000,130.800003,127.553001,1619497
2020-12-07,131.850006,135.550003,131.500000,134.649994,131.307419,2116580
2020-12-08,134.899994,137.199997,133.250000,135.100006,131.746262,1867844
2020-12-09,135.300003,137.250000,134.449997,135.199997,131.843781,1413824
2020-12-10,135.000000,135.000000,130.500000,131.949997,128.674454,3057465
2020-12-11,132.300003,132.500000,129.600006,130.250000,127.016655,1394015
2020-12-14,130.600006,131.699997,127.550003,127.849998,124.676231,1118600
2020-12-15,128.699997,128.699997,125.500000,125.849998,122.725883,1117443
2020-12-16,126.900002,128.000000,125.900002,126.300003,123.164711,1281397
2020-12-17,126.800003,128.800003,126.349998,127.250000,124.091125,1361346
2020-12-18,128.199997,128.199997,125.400002,125.800003,122.677124,769035
2020-12-21,125.000000,126.900002,120.099998,122.000000,118.971451,2049781
2020-12-22,121.000000,124.000000,119.349998,120.800003,117.801247,1587420
2020-12-23,121.349998,124.300003,121.000000,123.699997,120.629250,1016358
2020-12-24,124.800003,125.900002,124.000000,124.400002,121.311874,838046
2020-12-28,124.849998,125.849998,121.750000,121.949997,118.922691,2030970
2020-12-29,122.900002,123.300003,121.550003,121.949997,118.922691,885907
2020-12-30,122.900002,125.750000,121.400002,123.550003,120.482979,3167185
2020-12-31,123.500000,125.150002,122.300003,123.050003,119.995392,1084815
2021-01-01,123.300003,124.400002,121.800003,122.000000,118.971451,2217829
2021-01-04,122.699997,124.000000,122.199997,123.050003,119.995392,2238367
2021-01-05,123.849998,125.099998,122.599998,124.349998,121.263115,1794026
2021-01-06,124.949997,127.300003,124.949997,125.849998,122.725883,2909512
2021-01-07,126.550003,128.649994,126.150002,128.100006,124.920036,2261978
2021-01-08,129.500000,130.000000,127.300003,128.750000,125.553894,1661310
2021-01-11,129.000000,129.350006,126.400002,127.550003,124.383682,2809813
2021-01-12,127.550003,130.449997,127.300003,128.050003,124.871269,3861716
2021-01-13,129.500000,130.649994,128.000000,129.250000,126.041481,1830352
2021-01-14,129.899994,131.250000,128.399994,131.050003,127.796799,1592694
2021-01-15,131.800003,131.800003,128.600006,129.800003,126.577827,1108864
2021-01-18,129.699997,129.949997,124.650002,128.750000,125.553894,1215276
2021-01-19,129.000000,129.399994,127.550003,128.500000,125.310097,1173668
2021-01-20,128.000000,129.199997,127.550003,128.350006,125.163826,713424
2021-01-21,128.600006,129.399994,125.000000,125.550003,122.433334,2739880
2021-01-22,125.000000,128.350006,124.800003,128.050003,124.871269,1811404
2021-01-25,128.899994,129.449997,125.500000,128.050003,124.871269,1090551
2021-01-27,127.699997,127.699997,123.050003,123.800003,120.726776,1932800
2021-01-28,123.000000,126.449997,122.599998,125.900002,122.774643,808187
2021-01-29,127.099998,128.750000,126.300003,128.199997,125.017540,1360412
2021-02-01,128.800003,129.000000,126.099998,126.599998,123.457260,1635312
2021-02-02,130.000000,134.350006,125.699997,126.800003,123.652298,5817800
2021-02-03,127.000000,129.850006,126.050003,129.100006,125.895210,2118457
2021-02-04,129.500000,132.199997,129.000000,130.899994,127.650513,1669919
