Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,150.000000,153.850006,144.500000,146.649994,146.236084,17150988
2020-06-09,148.500000,157.500000,146.199997,150.399994,149.975510,23273751
2020-06-10,151.000000,158.000000,150.199997,155.699997,155.260544,16033901
2020-06-11,156.949997,165.000000,150.000000,150.949997,150.523956,24325975
2020-06-12,139.000000,161.500000,139.000000,160.050003,159.598282,22227359
2020-06-15,160.050003,163.100006,152.100006,155.300003,154.861679,24109165
2020-06-16,161.000000,162.399994,151.199997,155.449997,155.011261,17576830
2020-06-17,155.000000,170.500000,153.199997,168.199997,167.725266,39969643
2020-06-18,168.199997,178.800003,168.199997,178.000000,177.497620,26257124
2020-06-19,179.000000,204.699997,179.000000,196.800003,196.244553,36814893
2020-06-22,201.000000,216.449997,199.500000,204.699997,204.122253,41613534
2020-06-23,206.449997,211.449997,196.550003,204.149994,203.573807,20313825
2020-06-24,209.149994,209.149994,194.550003,196.800003,196.244553,21457345
2020-06-25,192.699997,208.399994,190.100006,205.949997,205.368729,22336542
2020-06-26,210.000000,211.750000,200.000000,201.800003,201.230438,16997483
2020-06-29,200.000000,200.000000,188.500000,193.000000,192.455276,14791621
2020-06-30,197.699997,199.149994,187.800003,189.399994,188.865433,10328867
2020-07-01,190.000000,199.750000,187.000000,197.000000,196.443985,18253801
2020-07-02,199.899994,201.949997,192.100006,197.100006,196.543716,15050875
2020-07-03,198.000000,204.699997,194.399994,196.699997,196.144836,23042797
2020-07-06,200.000000,202.000000,196.649994,201.100006,200.532425,11026982
2020-07-07,202.000000,215.000000,200.149994,213.100006,212.498550,24006030
2020-07-08,214.800003,218.000000,203.500000,205.300003,204.720566,14664941
2020-07-09,208.850006,211.199997,204.699997,208.899994,208.310394,8810981
2020-07-10,208.000000,214.350006,206.000000,208.449997,207.861664,11878127
2020-07-13,210.000000,212.899994,204.350006,205.250000,204.670700,5680238
2020-07-14,200.000000,203.500000,195.800003,199.000000,198.438339,7388425
2020-07-15,203.000000,207.949997,200.600006,202.199997,201.629303,9959302
2020-07-16,205.000000,210.850006,198.000000,209.649994,209.058273,10210607
2020-07-17,210.000000,210.949997,204.199997,207.199997,206.615189,6669571
2020-07-20,207.199997,218.600006,207.050003,215.199997,214.592621,14157285
2020-07-21,216.750000,220.500000,211.550003,212.550003,211.950104,10686506
2020-07-22,212.000000,224.199997,207.050003,220.899994,220.276520,16591571
2020-07-23,221.300003,224.550003,218.500000,222.550003,221.921875,9687674
2020-07-24,218.050003,219.949997,212.000000,212.350006,211.750671,7770885
2020-07-27,213.000000,214.399994,207.000000,208.800003,208.210693,6443220
2020-07-28,210.899994,217.250000,209.500000,215.649994,215.041336,5420403
2020-07-29,214.699997,223.350006,213.600006,221.399994,220.775116,8270478
2020-07-30,220.899994,222.800003,209.550003,214.199997,213.595444,9165526
2020-07-31,216.199997,216.899994,200.500000,202.500000,201.928467,12415209
2020-08-03,200.949997,206.500000,197.500000,201.000000,200.432693,9877591
2020-08-04,203.000000,205.600006,198.699997,200.550003,199.983978,7460238
2020-08-05,202.399994,207.350006,202.050003,204.399994,203.823090,7426070
2020-08-06,206.000000,208.300003,202.050003,205.649994,205.069565,8134995
