Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,659.950012,668.799988,643.450012,650.799988,635.489197,587092
2020-06-02,654.000000,657.349976,616.099976,640.250000,625.187439,6441136
2020-06-03,647.000000,654.849976,626.000000,634.049988,619.133362,776872
2020-06-04,634.000000,647.400024,628.500000,638.099976,623.088074,330493
2020-06-05,643.950012,672.000000,640.049988,664.700012,649.062256,1275141
2020-06-08,669.900024,673.000000,650.000000,652.849976,637.491028,407343
2020-06-09,654.000000,660.400024,643.950012,657.750000,642.275757,264719
2020-06-10,658.000000,678.900024,658.000000,671.650024,655.848755,558399
2020-06-11,679.900024,679.900024,665.000000,672.299988,656.483459,283257
2020-06-12,651.150024,677.950012,645.750000,673.200012,657.362305,323658
2020-06-15,677.500000,692.000000,656.650024,662.950012,647.353455,565128
2020-06-16,670.000000,687.299988,667.349976,677.349976,661.414612,882670
2020-06-17,679.900024,726.450012,678.349976,721.599976,704.623596,1657155
2020-06-18,725.000000,747.000000,723.500000,740.349976,722.932495,984822
2020-06-19,748.000000,748.650024,704.250000,720.000000,703.061279,725117
2020-06-22,730.000000,741.900024,711.950012,732.500000,715.267151,384585
2020-06-23,729.849976,741.000000,713.849976,731.700012,714.486023,537065
2020-06-24,737.000000,751.000000,715.549988,734.000000,716.731934,646018
2020-06-25,734.000000,760.000000,723.150024,751.099976,733.429565,436629
2020-06-26,754.900024,768.799988,744.250000,757.349976,739.532532,508010
2020-06-29,760.000000,760.000000,743.000000,753.700012,735.968445,317233
2020-06-30,749.000000,762.000000,723.000000,755.750000,737.970154,530102
2020-07-01,755.950012,765.000000,745.150024,752.200012,734.503784,287294
2020-07-02,752.200012,766.500000,746.000000,752.400024,734.699036,487198
2020-07-03,755.650024,762.750000,745.000000,749.250000,731.623108,392553
2020-07-06,754.950012,758.799988,747.000000,749.650024,732.013733,359190
2020-07-07,753.950012,757.000000,736.849976,754.250000,736.505493,182325
2020-07-08,754.250000,778.900024,740.400024,745.799988,728.254333,577939
2020-07-09,746.000000,761.849976,746.000000,756.799988,738.995483,233654
2020-07-10,756.799988,761.000000,741.450012,749.000000,731.379028,217419
2020-07-13,752.000000,774.500000,746.000000,750.750000,733.087830,628123
2020-07-14,753.000000,772.000000,747.450012,768.299988,750.224915,355489
2020-07-15,778.000000,779.500000,752.349976,756.700012,738.897888,386356
2020-07-16,755.000000,778.000000,747.450012,772.700012,766.679749,381219
2020-07-17,776.900024,787.000000,770.049988,776.549988,770.499695,556156
2020-07-20,783.650024,804.000000,777.099976,796.150024,789.947021,596238
2020-07-21,805.700012,822.750000,801.549988,806.900024,800.613281,688836
2020-07-22,812.000000,819.400024,800.450012,813.099976,806.764954,352350
2020-07-23,820.000000,828.000000,787.000000,799.349976,793.122070,470743
2020-07-24,797.250000,818.900024,792.000000,799.549988,793.320496,682161
2020-07-27,824.000000,830.000000,768.700012,791.099976,784.936340,1262347
2020-07-28,792.799988,807.000000,772.000000,775.000000,768.961792,425674
2020-07-29,779.000000,787.950012,775.000000,780.349976,774.270081,436969
2020-07-30,788.000000,795.000000,768.000000,771.250000,765.241028,384336
2020-07-31,777.049988,783.900024,770.000000,780.099976,774.022034,372085
2020-08-03,780.099976,792.299988,778.000000,779.950012,773.873230,421776
2020-08-04,787.000000,788.900024,777.400024,780.950012,774.865479,401713
2020-08-05,787.799988,787.900024,775.799988,779.349976,773.277893,162694
2020-08-06,781.099976,804.349976,777.000000,798.750000,792.526733,514926
2020-08-07,806.750000,806.750000,784.000000,788.900024,782.753540,201697
2020-08-10,797.450012,808.750000,783.400024,792.349976,786.176575,389037
2020-08-11,798.700012,798.700012,777.000000,778.900024,772.831421,354111
2020-08-12,780.000000,782.000000,750.400024,765.950012,759.982300,522306
2020-08-13,772.299988,774.299988,744.549988,747.900024,742.072998,467972
2020-08-14,754.000000,779.599976,743.049988,752.099976,746.240173,663611
2020-08-17,755.900024,760.000000,725.549988,728.250000,722.576050,464744
2020-08-18,731.900024,744.000000,724.000000,729.650024,723.965149,573103
2020-08-19,736.700012,778.000000,731.299988,771.500000,765.489075,764463
2020-08-20,770.000000,783.900024,752.400024,760.299988,754.376343,634421
2020-08-21,770.599976,802.000000,762.250000,795.950012,789.748596,897959
2020-08-24,800.000000,806.000000,784.000000,795.400024,789.202881,295727
2020-08-25,803.000000,825.349976,790.099976,805.500000,799.224182,819794
2020-08-26,812.000000,823.000000,796.500000,804.900024,798.628845,1725950
2020-08-27,808.000000,809.849976,790.000000,801.950012,795.701843,252797
2020-08-28,808.000000,830.000000,802.000000,812.299988,805.971191,779095
2020-08-31,815.000000,818.000000,736.000000,760.049988,754.128296,599365
2020-09-01,762.000000,777.950012,733.599976,740.200012,734.432922,683232
2020-09-02,747.299988,760.000000,741.099976,757.549988,751.647766,303451
2020-09-03,761.900024,775.650024,752.799988,766.450012,760.478455,331273
2020-09-04,759.500000,759.500000,740.049988,743.950012,738.153748,552385
2020-09-07,749.950012,749.950012,728.150024,735.900024,730.166443,192192
2020-09-08,739.900024,739.900024,724.000000,729.299988,723.617859,177648
2020-09-09,722.000000,729.500000,696.000000,705.049988,699.556763,654089
2020-09-10,714.400024,733.150024,706.049988,729.049988,723.369812,381256
2020-09-11,731.349976,759.400024,713.500000,748.200012,742.370605,646199
2020-09-14,760.200012,798.000000,752.049988,790.400024,784.241821,748822
2020-09-15,797.000000,817.000000,775.000000,807.549988,801.258179,717115
2020-09-16,810.000000,838.950012,797.000000,823.299988,816.885498,991785
2020-09-17,823.000000,834.900024,801.000000,817.799988,811.428345,443071
2020-09-18,820.000000,821.049988,798.000000,810.099976,803.788330,2139318
2020-09-21,808.799988,819.000000,790.049988,800.000000,793.767029,805895
2020-09-22,794.000000,810.000000,732.150024,800.549988,794.312744,483101
2020-09-23,806.900024,809.049988,781.400024,787.500000,781.364441,409220
2020-09-24,770.549988,810.000000,755.750000,795.299988,789.103638,309637
2020-09-25,802.000000,808.950012,771.900024,789.549988,783.398438,540689
2020-09-28,793.000000,807.000000,790.750000,801.700012,795.453796,392308
2020-09-29,807.700012,809.950012,776.000000,793.250000,787.069641,572853
2020-09-30,799.000000,800.000000,766.250000,772.849976,766.828552,263981
2020-10-01,784.000000,801.900024,780.500000,792.799988,786.623108,218081
2020-10-05,792.799988,801.500000,761.950012,765.799988,759.833496,388886
2020-10-06,774.349976,774.750000,745.049988,749.950012,744.106995,508674
2020-10-07,752.000000,754.950012,715.549988,720.349976,714.737549,559928
2020-10-08,724.599976,736.150024,722.099976,732.950012,727.239441,543867
2020-10-09,736.400024,741.000000,718.049988,723.400024,717.763855,269783
2020-10-12,723.900024,731.450012,710.500000,711.799988,706.254211,228446
2020-10-13,713.950012,728.500000,705.000000,717.849976,712.257019,551169
2020-10-14,723.900024,737.900024,712.049988,718.549988,712.951599,565796
2020-10-15,725.000000,732.000000,707.000000,710.599976,705.063538,270669
2020-10-16,716.849976,717.099976,701.049988,704.400024,698.911865,264856
2020-10-19,705.000000,707.950012,682.000000,697.150024,691.718384,473418
2020-10-20,699.799988,706.500000,691.000000,694.900024,689.485901,787881
2020-10-21,693.000000,720.000000,693.000000,713.349976,707.792114,663583
2020-10-22,716.049988,729.000000,706.650024,720.450012,714.836853,365473
2020-10-23,726.799988,742.599976,718.250000,737.750000,732.002014,898093
2020-10-26,741.950012,744.700012,725.599976,729.599976,723.915527,161474
2020-10-27,725.599976,727.549988,703.049988,708.599976,703.079102,361655
2020-10-28,710.150024,729.799988,708.799988,725.099976,719.450562,389815
2020-10-29,722.000000,732.799988,707.049988,712.349976,706.799927,283519
2020-10-30,716.799988,730.000000,714.299988,726.549988,720.889282,450891
2020-11-02,725.000000,734.700012,700.000000,717.150024,711.562561,362121
2020-11-03,728.000000,745.049988,725.000000,733.349976,727.636292,590379
