Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,136.500000,142.500000,136.500000,141.800003,141.800003,1141743
2020-06-02,143.199997,144.899994,137.600006,139.500000,139.500000,852485
2020-06-03,142.000000,150.750000,139.600006,144.600006,144.600006,5245684
2020-06-04,144.000000,146.649994,136.350006,137.550003,137.550003,961555
2020-06-05,138.050003,139.949997,134.199997,135.800003,135.800003,1826640
2020-06-08,139.500000,141.000000,135.699997,136.000000,136.000000,1659775
2020-06-09,138.199997,139.699997,135.000000,135.500000,135.500000,869130
2020-06-10,136.500000,136.500000,133.550003,134.300003,134.300003,1206732
2020-06-11,134.399994,138.949997,134.050003,136.899994,136.899994,1122102
2020-06-12,126.000000,135.399994,126.000000,134.600006,134.600006,776952
2020-06-15,134.449997,136.649994,130.000000,132.000000,132.000000,724373
2020-06-16,134.300003,136.000000,128.000000,130.500000,130.500000,735468
2020-06-17,130.500000,133.500000,129.100006,132.949997,132.949997,1218523
2020-06-18,133.399994,137.899994,132.000000,136.800003,136.800003,766298
2020-06-19,133.000000,134.500000,122.449997,127.099998,127.099998,9838258
2020-06-22,130.000000,130.500000,125.800003,126.199997,126.199997,3407373
2020-06-23,127.500000,127.500000,124.099998,124.750000,124.750000,3646007
2020-06-24,125.000000,125.599998,119.300003,120.099998,120.099998,11054396
2020-06-25,120.099998,125.849998,118.199997,122.800003,122.800003,5128060
2020-06-26,123.699997,125.000000,122.500000,124.400002,124.400002,1507584
2020-06-29,124.900002,124.900002,120.500000,121.349998,121.349998,1382401
2020-06-30,123.050003,123.400002,120.300003,121.300003,121.300003,1489874
2020-07-01,121.400002,124.000000,120.699997,122.500000,122.500000,3899696
2020-07-02,122.900002,125.500000,122.500000,124.199997,124.199997,3107936
2020-07-03,124.199997,124.949997,122.750000,123.599998,123.599998,1051169
2020-07-06,123.500000,127.500000,123.500000,126.550003,126.550003,5216439
2020-07-07,127.199997,132.199997,126.000000,130.750000,130.750000,4206052
2020-07-08,132.000000,136.399994,131.399994,134.750000,134.750000,5688438
2020-07-09,135.399994,139.500000,135.000000,138.399994,138.399994,3658828
2020-07-10,138.399994,138.699997,131.449997,132.250000,132.250000,2650511
2020-07-13,133.050003,134.000000,127.349998,127.750000,127.750000,2093685
2020-07-14,128.149994,128.850006,123.500000,124.750000,124.750000,1833721
2020-07-15,126.000000,127.550003,120.599998,121.300003,121.300003,2689800
2020-07-16,122.800003,123.000000,119.750000,120.900002,120.900002,1650047
2020-07-17,121.400002,124.900002,121.050003,124.099998,124.099998,1449130
2020-07-20,125.500000,125.949997,122.550003,123.849998,123.849998,2148347
2020-07-21,124.250000,126.550003,124.250000,126.000000,126.000000,4116774
2020-07-22,126.500000,127.000000,124.000000,124.300003,124.300003,957864
