Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,570.000000,578.000000,561.549988,567.049988,567.049988,203614
2020-06-09,560.000000,572.000000,560.000000,564.799988,564.799988,89264
2020-06-10,561.000000,568.000000,561.000000,564.950012,564.950012,49621
2020-06-11,565.000000,578.049988,560.549988,565.500000,565.500000,124543
2020-06-12,550.549988,569.000000,550.549988,564.349976,564.349976,186587
2020-06-15,559.000000,569.200012,549.500000,559.650024,559.650024,294212
2020-06-16,575.000000,582.250000,563.000000,567.450012,567.450012,354345
2020-06-17,566.950012,575.000000,562.150024,569.849976,569.849976,200116
2020-06-18,570.299988,584.000000,565.049988,574.349976,574.349976,269832
2020-06-19,575.000000,605.700012,574.349976,599.650024,599.650024,633766
2020-06-22,600.049988,604.500000,585.200012,591.750000,591.750000,377184
2020-06-23,595.849976,679.750000,595.000000,665.700012,665.700012,683680
2020-06-24,662.000000,719.000000,659.799988,689.450012,689.450012,570380
2020-06-25,670.299988,720.000000,670.299988,708.950012,708.950012,311922
2020-06-26,710.000000,715.799988,691.049988,700.000000,700.000000,162064
2020-06-29,702.000000,717.000000,696.000000,699.599976,699.599976,118639
2020-06-30,708.650024,708.650024,663.500000,673.299988,673.299988,462820
2020-07-01,677.849976,700.650024,670.900024,697.299988,697.299988,105960
2020-07-02,700.000000,708.500000,685.000000,703.650024,703.650024,67777
2020-07-03,704.799988,739.849976,691.099976,715.849976,715.849976,120117
2020-07-06,725.849976,731.950012,711.950012,718.599976,718.599976,100349
2020-07-07,720.450012,725.000000,691.500000,719.849976,719.849976,83934
2020-07-08,718.000000,724.950012,701.000000,710.650024,710.650024,65488
2020-07-09,702.099976,710.000000,696.000000,698.700012,698.700012,86971
2020-07-10,708.000000,719.000000,693.000000,699.349976,699.349976,98674
2020-07-13,700.000000,708.000000,691.400024,697.450012,697.450012,219488
2020-07-14,695.000000,700.000000,681.200012,698.750000,698.750000,97204
2020-07-15,702.000000,705.000000,692.400024,702.349976,702.349976,75829
2020-07-16,705.799988,705.799988,685.000000,690.000000,690.000000,164074
2020-07-17,692.000000,711.700012,690.000000,707.049988,707.049988,87371
2020-07-20,707.049988,748.000000,706.500000,716.599976,716.599976,394197
2020-07-21,722.400024,728.000000,693.450012,702.599976,702.599976,208248
2020-07-22,692.000000,735.000000,692.000000,726.650024,726.650024,190439
2020-07-23,730.000000,753.000000,712.250000,720.450012,720.450012,157835
2020-07-24,719.450012,735.349976,702.000000,708.950012,708.950012,67961
2020-07-27,708.000000,720.849976,700.000000,709.250000,709.250000,61377
2020-07-28,715.000000,729.000000,710.549988,723.049988,723.049988,64628
2020-07-29,724.000000,743.950012,716.150024,718.750000,718.750000,46730
