Date,Open,High,Low,Close,Adj Close,Volume
2020-06-12,187.000000,204.899994,184.149994,203.100006,199.302002,698228
2020-06-15,203.000000,203.000000,193.350006,195.050003,191.402542,401348
2020-06-16,197.250000,199.850006,190.100006,193.500000,189.881516,251426
2020-06-17,192.850006,200.000000,190.000000,199.050003,195.327744,298794
2020-06-18,200.050003,204.850006,198.199997,200.550003,196.799683,655726
2020-06-19,202.000000,206.500000,199.000000,201.699997,197.928177,925425
2020-06-22,202.699997,206.000000,201.399994,203.750000,199.939835,1500944
2020-06-23,203.949997,229.500000,203.949997,224.750000,220.547150,3081878
2020-06-24,226.449997,229.000000,214.500000,218.899994,214.806534,1285318
2020-06-25,216.899994,224.000000,212.949997,220.550003,216.425690,951083
2020-06-26,223.050003,233.449997,214.199997,220.949997,216.818207,2740475
2020-06-29,219.899994,219.899994,204.500000,205.550003,201.706192,1691714
2020-06-30,205.899994,227.600006,205.899994,220.800003,216.671021,3270513
2020-07-01,219.000000,230.899994,215.000000,227.949997,223.687302,2568209
2020-07-02,228.300003,229.000000,219.100006,224.600006,220.399948,3534420
2020-07-03,224.000000,231.949997,224.000000,229.899994,225.600830,2219574
2020-07-06,229.899994,232.149994,226.500000,229.850006,225.551773,919775
2020-07-07,230.199997,236.399994,227.300003,233.000000,228.642853,4096635
2020-07-08,234.899994,237.300003,232.199997,234.550003,230.163895,1366737
2020-07-09,236.500000,240.000000,233.000000,236.550003,232.126480,2309959
2020-07-10,236.199997,236.800003,225.800003,231.899994,227.563431,1114363
2020-07-13,233.000000,248.500000,227.550003,245.199997,240.614716,1758930
2020-07-14,245.699997,250.449997,238.699997,245.899994,241.301636,1771310
2020-07-15,250.000000,250.399994,232.000000,236.199997,231.783020,2660187
2020-07-16,236.500000,241.000000,231.149994,233.500000,229.133514,645762
2020-07-17,233.500000,247.000000,233.500000,243.600006,239.044647,1187715
2020-07-20,243.000000,253.850006,242.000000,243.649994,239.093704,735753
2020-07-21,245.300003,248.949997,244.000000,246.800003,242.184799,757686
2020-07-22,246.899994,248.949997,240.149994,241.100006,236.591400,828056
2020-07-23,242.500000,247.000000,242.149994,244.149994,239.584351,1135179
2020-07-24,241.800003,246.199997,241.000000,244.100006,239.535294,382183
2020-07-27,243.000000,243.850006,235.550003,237.399994,232.960587,249160
2020-07-28,238.500000,245.399994,238.500000,242.250000,237.719894,358302
2020-07-29,245.000000,246.399994,237.949997,240.600006,236.100754,231539
2020-07-30,241.000000,243.000000,237.750000,238.699997,234.236282,203136
2020-07-31,238.699997,241.899994,237.500000,239.850006,235.364777,146820
2020-08-03,239.850006,243.899994,239.399994,241.100006,236.591400,392007
2020-08-04,243.699997,245.500000,238.000000,239.000000,234.530670,1114928
2020-08-05,236.199997,241.600006,236.199997,237.300003,232.862473,135704
2020-08-06,238.600006,239.000000,236.000000,238.100006,233.647507,163963
2020-08-07,238.850006,263.500000,237.300003,257.299988,252.488449,4431845
2020-08-10,265.000000,308.750000,265.000000,307.100006,301.357178,9852305
2020-08-11,311.149994,337.700012,311.000000,333.500000,327.263519,6066484
2020-08-12,333.500000,335.299988,320.000000,329.700012,323.534546,2212560
2020-08-13,332.200012,332.200012,308.500000,324.899994,318.824310,1096393
2020-08-14,325.000000,344.899994,317.100006,327.450012,321.326630,1141928
2020-08-17,329.899994,355.799988,322.000000,352.000000,345.417542,1427203
2020-08-18,353.399994,359.649994,339.000000,340.049988,333.691010,1358188
2020-08-19,342.049988,350.000000,342.049988,349.100006,342.571777,1091462
2020-08-20,347.500000,354.799988,340.100006,352.200012,345.613831,691077
2020-08-21,354.250000,362.950012,354.250000,357.200012,350.520294,844277
2020-08-24,359.950012,363.200012,353.049988,357.950012,351.256287,579264
2020-08-25,359.450012,361.000000,355.000000,356.399994,349.735260,1891511
2020-08-26,358.250000,383.000000,347.000000,355.000000,348.361450,719570
2020-08-27,355.149994,360.200012,349.049988,359.649994,352.924500,382516
2020-08-28,360.649994,362.799988,352.049988,353.799988,347.183868,471047
2020-08-31,356.000000,359.700012,338.149994,356.950012,350.274994,533067
2020-09-01,350.000000,365.000000,348.000000,360.600006,353.856750,310356
2020-09-02,364.899994,371.100006,355.100006,366.649994,359.793579,320708
2020-09-03,365.899994,371.299988,363.350006,369.049988,362.148682,308965
2020-09-04,352.649994,374.750000,352.649994,370.299988,363.375336,259064
2020-09-07,372.500000,374.750000,357.500000,358.700012,351.992279,169814
2020-09-08,359.950012,365.000000,351.000000,351.500000,344.926880,94816
2020-09-09,351.500000,365.000000,343.000000,362.850006,356.064667,341526
2020-09-10,364.149994,379.899994,360.100006,378.049988,370.980377,393435
2020-09-11,377.899994,392.899994,375.549988,383.500000,376.328491,951174
2020-09-14,383.500000,400.899994,381.250000,395.149994,387.760651,622682
2020-09-15,394.799988,407.549988,389.750000,397.600006,390.164825,779862
2020-09-16,397.600006,403.700012,382.500000,384.399994,377.211639,458257
2020-09-17,387.000000,389.549988,377.049988,381.250000,374.120575,325159
2020-09-18,385.200012,387.000000,363.000000,370.149994,363.228149,780535
2020-09-21,372.850006,372.850006,360.000000,362.799988,356.015564,199881
2020-09-22,364.049988,368.799988,346.700012,364.549988,357.732880,222247
2020-09-23,365.000000,374.100006,359.700012,367.100006,360.235199,233250
2020-09-24,373.799988,373.799988,350.000000,354.350006,347.723602,408419
2020-09-25,354.000000,358.350006,350.000000,351.899994,345.319397,237300
2020-09-28,352.500000,364.350006,350.100006,355.000000,348.361450,391825
2020-09-29,355.750000,359.799988,346.700012,351.350006,344.779724,431702
2020-09-30,352.000000,357.649994,349.299988,351.299988,344.730621,403930
2020-10-01,353.899994,355.299988,349.100006,350.350006,343.798401,354313
2020-10-05,351.049988,354.950012,347.700012,350.200012,343.651215,301797
2020-10-06,354.000000,355.000000,346.000000,348.600006,342.081116,257936
2020-10-07,350.000000,359.950012,348.350006,350.350006,343.798401,464493
2020-10-08,352.000000,354.500000,348.299988,353.450012,346.840454,217530
2020-10-09,355.750000,355.750000,341.600006,343.350006,336.929321,184524
2020-10-12,346.100006,349.549988,335.000000,338.649994,332.317169,127805
2020-10-13,337.000000,352.750000,334.700012,348.450012,341.933960,162908
2020-10-14,350.899994,350.899994,343.549988,347.399994,340.903564,232869
2020-10-15,348.450012,354.000000,334.399994,339.299988,332.955017,186660
2020-10-16,340.250000,350.000000,340.250000,347.450012,340.952637,104010
2020-10-19,352.000000,364.950012,346.750000,361.399994,354.641754,398059
2020-10-20,358.899994,368.350006,355.700012,363.399994,356.604370,580473
2020-10-21,364.899994,365.000000,358.100006,362.149994,355.377747,887421
2020-10-22,363.000000,363.899994,355.100006,361.950012,355.181519,786899
2020-10-23,360.549988,363.000000,357.299988,360.700012,353.954895,162227
2020-10-26,360.700012,362.700012,357.100006,359.399994,352.679169,129186
2020-10-27,360.000000,373.299988,358.049988,370.299988,363.375336,725977
2020-10-28,369.000000,379.600006,359.000000,363.500000,356.702515,424612
2020-10-29,358.250000,365.200012,353.100006,362.950012,356.162811,130564
2020-10-30,362.799988,369.250000,353.100006,361.950012,355.181519,257728
2020-11-02,361.000000,361.500000,344.600006,350.200012,343.651215,583051
2020-11-03,350.899994,389.000000,346.799988,372.649994,365.681366,472523
2020-11-04,377.750000,378.350006,365.350006,371.299988,364.356598,397137
2020-11-05,374.000000,382.000000,368.549988,375.149994,368.134613,1451005
2020-11-06,377.700012,379.000000,362.100006,370.950012,364.013214,1077093
2020-11-09,375.000000,380.000000,366.700012,378.500000,371.421997,1273066
2020-11-10,380.000000,380.799988,372.000000,378.600006,371.520142,840665
2020-11-11,378.000000,384.000000,374.250000,378.850006,371.765472,642041
2020-11-12,378.000000,385.500000,374.750000,383.750000,380.592194,622140
2020-11-13,383.750000,388.049988,376.399994,379.799988,376.674683,549822
2020-11-14,null,null,null,null,null,null
2020-11-17,385.399994,388.399994,377.350006,382.500000,379.352478,401021
2020-11-18,382.250000,384.649994,378.450012,382.100006,378.955780,189913
2020-11-19,383.000000,387.750000,378.500000,381.200012,378.063202,314691
2020-11-20,386.000000,399.799988,382.600006,396.200012,392.939758,1472178
2020-11-23,398.000000,402.850006,391.549988,400.500000,397.204376,717748
2020-11-24,401.100006,407.000000,399.049988,403.799988,400.477203,930204
2020-11-25,405.000000,432.950012,405.000000,415.649994,412.229706,1725600
2020-11-26,419.500000,430.000000,417.000000,426.000000,422.494537,629615
2020-11-27,422.000000,448.000000,420.399994,440.350006,436.726471,2104805
2020-12-01,455.250000,461.399994,439.000000,442.799988,439.156281,952633
2020-12-02,443.000000,448.399994,430.549988,434.850006,431.271729,661789
2020-12-03,435.000000,438.500000,426.200012,428.799988,425.271484,478226
2020-12-04,432.899994,433.000000,413.700012,418.100006,414.659546,780415
2020-12-07,420.899994,426.200012,418.549988,420.899994,417.436493,281185
