Date,Open,High,Low,Close,Adj Close,Volume
2020-06-16,847.000000,879.900024,842.099976,862.950012,862.950012,87067
2020-06-17,865.000000,869.950012,847.099976,851.400024,851.400024,85937
2020-06-18,851.400024,899.000000,841.549988,884.549988,884.549988,164431
2020-06-19,897.000000,902.000000,835.400024,856.299988,856.299988,185765
2020-06-22,854.950012,862.150024,826.250000,856.099976,856.099976,78506
2020-06-23,878.950012,900.000000,861.950012,894.650024,894.650024,265744
2020-06-24,907.799988,950.000000,890.000000,905.450012,905.450012,331463
2020-06-25,900.000000,935.000000,872.599976,886.299988,886.299988,240419
2020-06-26,917.000000,924.599976,890.000000,895.900024,895.900024,242850
2020-06-29,880.000000,894.849976,846.049988,867.549988,867.549988,119662
2020-06-30,880.000000,889.150024,864.750000,870.750000,870.750000,45996
2020-07-01,870.750000,884.799988,870.750000,877.000000,877.000000,53155
2020-07-02,879.000000,885.049988,856.200012,860.599976,860.599976,85673
2020-07-03,868.950012,879.799988,865.000000,877.450012,877.450012,53340
2020-07-06,892.000000,916.450012,880.950012,906.000000,906.000000,139626
2020-07-07,914.000000,938.549988,904.799988,930.450012,930.450012,110694
2020-07-08,935.000000,946.900024,901.000000,909.099976,909.099976,103633
2020-07-09,906.000000,923.599976,882.000000,897.000000,897.000000,39079
2020-07-10,897.000000,942.000000,882.000000,930.250000,930.250000,92369
2020-07-13,934.000000,945.299988,903.049988,913.250000,913.250000,86777
2020-07-14,915.000000,924.900024,880.099976,884.000000,884.000000,129524
2020-07-15,896.000000,904.950012,871.000000,889.450012,889.450012,89217
2020-07-16,890.000000,897.950012,864.549988,871.900024,871.900024,60478
2020-07-17,884.000000,915.000000,874.000000,889.049988,889.049988,100682
2020-07-20,900.000000,903.049988,867.950012,883.400024,883.400024,191922
2020-07-21,885.000000,900.349976,872.000000,886.299988,886.299988,239975
2020-07-22,887.099976,891.900024,869.000000,873.700012,873.700012,27652
2020-07-23,873.700012,889.900024,867.000000,884.450012,884.450012,37629
2020-07-24,884.000000,894.799988,874.150024,887.150024,887.150024,21872
2020-07-27,891.950012,894.849976,881.150024,891.099976,891.099976,42434
2020-07-28,893.000000,900.000000,884.000000,888.049988,888.049988,91455
2020-07-29,890.000000,950.000000,890.000000,931.500000,931.500000,81043
2020-07-30,940.000000,964.400024,907.000000,916.849976,916.849976,92022
2020-07-31,921.099976,924.900024,898.000000,905.549988,905.549988,40921
2020-08-03,906.000000,939.900024,905.000000,924.200012,924.200012,101379
2020-08-04,935.000000,944.950012,912.000000,924.049988,924.049988,32835
2020-08-05,924.250000,950.500000,905.000000,941.849976,941.849976,49603
2020-08-06,947.950012,974.900024,942.000000,952.650024,952.650024,105844
2020-08-07,954.000000,966.049988,948.200012,958.400024,958.400024,44169
2020-08-10,966.950012,999.000000,960.000000,966.150024,966.150024,47267
2020-08-11,974.950012,994.400024,968.000000,983.000000,983.000000,50273
2020-08-12,975.000000,1005.000000,970.000000,985.099976,985.099976,192975
2020-08-13,998.000000,1003.900024,941.200012,956.450012,956.450012,57986
2020-08-14,960.000000,968.000000,930.450012,960.250000,960.250000,47497
2020-08-17,960.250000,997.000000,955.200012,989.450012,989.450012,60459
2020-08-18,999.000000,1040.000000,995.000000,1021.500000,1021.500000,141064
2020-08-19,1022.000000,1050.000000,1022.000000,1046.949951,1046.949951,35964
2020-08-20,1046.949951,1061.000000,1023.599976,1050.699951,1050.699951,43570
2020-08-21,1060.000000,1080.150024,1015.900024,1040.300049,1040.300049,124394
2020-08-24,1044.000000,1080.000000,1035.000000,1076.949951,1076.949951,142737
2020-08-25,1070.000000,1072.000000,1053.949951,1067.900024,1067.900024,106835
2020-08-26,1090.000000,1175.000000,1083.000000,1158.699951,1158.699951,790571
2020-08-27,1164.949951,1180.000000,1085.199951,1095.849976,1095.849976,325538
2020-08-28,1110.000000,1137.949951,1095.050049,1126.400024,1126.400024,96307
2020-08-31,1132.050049,1136.800049,1088.000000,1099.199951,1099.199951,132079
2020-09-01,1099.500000,1108.449951,1048.000000,1061.750000,1061.750000,80484
2020-09-02,1068.000000,1090.199951,1019.950012,1084.650024,1084.650024,71876
2020-09-03,1094.000000,1100.949951,1060.150024,1074.150024,1074.150024,37647
2020-09-04,1060.000000,1087.449951,1045.349976,1061.650024,1061.650024,36536
2020-09-07,1062.000000,1083.900024,1051.000000,1055.050049,1055.050049,29114
2020-09-08,1058.300049,1091.000000,1045.250000,1080.300049,1080.300049,100421
2020-09-09,1079.000000,1079.000000,1031.500000,1071.300049,1071.300049,73500
2020-09-10,1060.050049,1093.349976,1060.050049,1078.250000,1078.250000,45736
2020-09-11,1090.000000,1093.000000,1058.150024,1080.900024,1080.900024,28094
2020-09-14,1095.000000,1150.000000,1070.050049,1146.400024,1146.400024,121739
2020-09-15,1152.900024,1170.000000,1115.150024,1129.449951,1129.449951,85817
2020-09-16,1140.000000,1140.000000,1111.000000,1121.099976,1121.099976,85061
2020-09-17,1121.000000,1145.949951,1110.000000,1138.000000,1138.000000,36307
2020-09-18,1130.000000,1156.000000,1125.150024,1144.300049,1144.300049,104959
2020-09-21,1150.050049,1164.949951,1077.949951,1086.750000,1086.750000,31677
2020-09-22,1084.000000,1119.699951,1025.000000,1079.849976,1079.849976,107622
2020-09-23,1082.099976,1101.050049,1055.000000,1061.349976,1061.349976,83348
2020-09-24,1061.400024,1098.949951,1032.000000,1057.800049,1057.800049,33778
2020-09-25,1059.949951,1105.000000,1041.550049,1062.800049,1062.800049,166549
2020-09-28,1068.150024,1098.500000,1053.000000,1086.699951,1086.699951,40757
2020-09-29,1090.000000,1141.000000,1080.000000,1109.349976,1109.349976,74694
2020-09-30,1113.900024,1166.900024,1107.650024,1152.300049,1152.300049,93160
2020-10-01,1174.949951,1178.300049,1120.000000,1133.449951,1133.449951,324302
2020-10-05,1152.150024,1159.000000,1125.000000,1136.050049,1136.050049,27039
2020-10-06,1139.949951,1158.300049,1129.000000,1136.050049,1136.050049,55206
2020-10-07,1140.000000,1149.750000,1070.000000,1092.250000,1092.250000,50390
2020-10-08,1108.300049,1114.800049,1071.500000,1077.500000,1077.500000,42652
2020-10-09,1073.000000,1100.000000,1062.500000,1079.699951,1079.699951,61881
2020-10-12,1092.000000,1118.949951,1069.099976,1108.150024,1108.150024,34466
2020-10-13,1117.000000,1121.900024,1075.000000,1092.300049,1092.300049,48301
2020-10-14,1080.000000,1120.000000,1075.000000,1110.300049,1110.300049,118528
2020-10-15,1110.000000,1119.000000,1090.000000,1103.400024,1103.400024,72869
