Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,21.049999,21.150000,20.750000,20.900000,20.900000,3912954
2020-01-02,20.950001,21.850000,20.850000,21.700001,21.700001,9363933
2020-01-03,21.650000,23.350000,21.500000,22.650000,22.650000,50588151
2020-01-06,22.500000,23.150000,21.850000,22.600000,22.600000,39107771
2020-01-07,22.799999,23.750000,22.799999,23.299999,23.299999,45950100
2020-01-08,22.850000,24.700001,22.799999,24.150000,24.150000,59948383
2020-01-09,24.650000,24.700001,23.900000,24.100000,24.100000,34139426
2020-01-10,24.400000,24.600000,23.650000,23.900000,23.900000,27086866
2020-01-13,24.049999,24.200001,23.600000,23.700001,23.700001,15190294
2020-01-14,23.650000,24.350000,23.500000,23.549999,23.549999,14548431
2020-01-15,23.549999,24.200001,23.500000,23.950001,23.950001,22873842
2020-01-16,24.049999,25.000000,23.750000,23.900000,23.900000,40680160
2020-01-17,24.000000,24.150000,23.450001,23.500000,23.500000,11369098
2020-01-20,23.600000,23.850000,23.000000,23.200001,23.200001,18481971
2020-01-21,23.000000,23.350000,22.900000,23.100000,23.100000,8661412
2020-01-22,23.100000,23.350000,22.950001,23.049999,23.049999,7686403
2020-01-23,23.150000,24.000000,23.000000,23.900000,23.900000,29146603
2020-01-24,24.000000,24.350000,23.750000,24.200001,24.200001,10734226
2020-01-27,24.000000,24.549999,23.650000,23.799999,23.799999,18677066
2020-01-28,24.000000,24.100000,23.600000,23.650000,23.650000,8664624
2020-01-29,23.750000,24.049999,23.700001,23.799999,23.799999,7357372
2020-01-30,23.799999,23.950001,23.049999,23.250000,23.250000,10157733
2020-01-31,23.400000,23.450001,22.400000,22.850000,22.850000,10571558
2020-02-03,21.200001,21.799999,21.049999,21.500000,21.500000,12952064
2020-02-04,21.750000,22.299999,21.450001,22.000000,22.000000,10606073
2020-02-05,22.250000,23.000000,22.100000,22.900000,22.900000,8874082
2020-02-06,23.100000,23.450001,22.750000,23.299999,23.299999,10554512
2020-02-07,23.350000,23.650000,23.200001,23.500000,23.500000,8667633
2020-02-10,23.350000,23.549999,23.150000,23.299999,23.299999,6355470
2020-02-11,23.500000,23.700001,23.000000,23.049999,23.049999,6207974
2020-02-12,23.150000,23.299999,22.750000,22.950001,22.950001,7911753
2020-02-13,23.049999,24.000000,22.900000,23.750000,23.750000,21090815
2020-02-14,23.900000,24.000000,22.799999,23.100000,23.100000,23943592
2020-02-17,23.150000,23.350000,22.400000,22.549999,22.549999,8594560
2020-02-18,22.950001,23.100000,22.000000,22.549999,22.549999,7161469
2020-02-19,22.750000,23.200001,22.549999,23.049999,23.049999,12202828
2020-02-20,23.400000,23.900000,23.000000,23.650000,23.650000,29860236
2020-02-24,26.000000,26.500000,24.299999,25.450001,25.450001,75911140
2020-02-25,25.650000,26.450001,25.400000,25.549999,25.549999,63975502
2020-02-26,25.450001,25.450001,24.200001,24.400000,24.400000,38602471
2020-02-27,24.500000,24.500000,22.650000,22.799999,22.799999,30500097
2020-02-28,21.650000,21.700001,19.750000,20.000000,20.000000,62039818
2020-03-02,20.700001,21.200001,19.600000,20.049999,20.049999,58358093
2020-03-03,20.600000,20.799999,19.750000,20.200001,20.200001,22558297
2020-03-04,20.350000,20.650000,19.250000,20.100000,20.100000,43148516
2020-03-05,20.350000,20.500000,19.799999,20.250000,20.250000,26902645
2020-03-06,18.500000,19.799999,18.350000,19.500000,19.500000,43137596
2020-03-09,18.900000,19.100000,18.100000,18.650000,18.650000,39801997
2020-03-11,18.650000,19.200001,18.100000,18.400000,18.400000,24446696
2020-03-12,17.700001,17.850000,15.300000,15.850000,15.850000,95414301
