Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,635.200012,657.599976,627.150024,633.299988,633.299988,2040611
2020-06-02,639.650024,647.700012,632.349976,639.549988,639.549988,1671735
2020-06-03,645.000000,673.950012,643.049988,658.700012,658.700012,2019006
2020-06-04,658.000000,670.750000,641.400024,655.200012,655.200012,2220699
2020-06-05,662.700012,663.950012,646.950012,649.900024,649.900024,976194
2020-06-08,659.000000,660.900024,643.849976,658.549988,658.549988,1108989
2020-06-09,660.000000,677.000000,652.000000,659.349976,659.349976,1239575
2020-06-10,665.000000,665.000000,626.400024,632.650024,632.650024,2075096
2020-06-11,633.000000,644.500000,610.400024,613.599976,613.599976,2014187
2020-06-12,600.000000,619.000000,591.250000,606.799988,606.799988,2084527
2020-06-15,611.099976,611.700012,596.349976,608.750000,608.750000,1878427
2020-06-16,615.000000,648.450012,615.000000,634.349976,634.349976,4979145
2020-06-17,628.000000,642.950012,621.099976,640.250000,640.250000,1503222
2020-06-18,640.000000,645.599976,619.700012,642.049988,642.049988,1415905
2020-06-19,643.250000,655.000000,637.150024,650.500000,650.500000,2439527
2020-06-22,655.900024,672.000000,653.349976,661.700012,661.700012,1991649
2020-06-23,664.000000,671.000000,650.049988,664.950012,664.950012,2304549
2020-06-24,671.250000,686.450012,668.049988,671.700012,671.700012,2289595
2020-06-25,671.700012,687.099976,669.450012,676.299988,676.299988,1924228
2020-06-26,680.000000,696.799988,679.000000,685.450012,685.450012,1515668
2020-06-29,687.000000,694.000000,683.299988,687.650024,687.650024,1506765
2020-06-30,687.650024,697.700012,687.200012,690.799988,690.799988,3278250
2020-07-01,695.000000,696.849976,685.049988,694.849976,694.849976,708593
2020-07-02,696.099976,700.000000,687.000000,696.900024,696.900024,890340
2020-07-03,701.000000,718.900024,695.150024,717.299988,717.299988,2286821
2020-07-06,719.900024,720.000000,702.099976,707.900024,707.900024,1312275
2020-07-07,720.000000,721.700012,690.400024,703.599976,703.599976,2861203
2020-07-08,708.400024,708.400024,693.400024,695.349976,695.349976,784395
