Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,141.899994,145.449997,138.550003,139.149994,138.440765,14504755
2020-06-02,140.899994,143.500000,138.850006,141.149994,140.430573,12836264
2020-06-03,142.899994,146.800003,142.300003,143.350006,142.619370,12470626
2020-06-04,143.300003,144.649994,138.350006,142.649994,141.922928,11358214
2020-06-05,143.800003,151.000000,143.399994,149.250000,148.489288,21825018
2020-06-08,155.000000,155.850006,145.500000,146.350006,145.604080,16211802
2020-06-09,148.000000,150.350006,141.199997,142.600006,141.873199,19223606
2020-06-10,143.899994,148.000000,141.800003,146.949997,146.201019,17278002
2020-06-11,145.899994,147.449997,142.449997,144.399994,143.664001,12532780
2020-06-12,138.000000,146.850006,136.199997,146.050003,145.305603,15804914
2020-06-15,149.050003,152.350006,143.750000,145.800003,145.056885,34911162
2020-06-16,149.899994,154.600006,146.899994,150.100006,149.334961,28477417
2020-06-17,149.699997,152.100006,147.199997,148.000000,147.245667,13573256
2020-06-18,148.449997,151.399994,147.300003,150.800003,150.031403,9854686
2020-06-19,152.350006,152.350006,148.500000,151.050003,150.280121,14631215
2020-06-22,150.899994,151.449997,149.000000,150.100006,149.334961,8037341
2020-06-23,152.899994,159.500000,150.600006,158.350006,157.542923,22570926
2020-06-24,159.399994,160.100006,150.449997,151.399994,150.628326,15907046
2020-06-25,149.000000,152.300003,144.600006,146.600006,145.852814,18500612
2020-06-26,149.000000,152.000000,148.199997,151.050003,150.280121,12107599
2020-06-29,149.449997,149.449997,143.300003,145.850006,145.106628,13110757
2020-06-30,148.000000,151.600006,145.199997,146.199997,145.454834,14655358
2020-07-01,147.500000,148.850006,144.500000,147.550003,146.797958,8255166
2020-07-02,148.899994,150.300003,146.750000,147.750000,146.996933,9519798
2020-07-03,148.600006,149.449997,144.550003,146.399994,145.653809,10780269
2020-07-06,147.800003,155.149994,147.100006,154.350006,153.563309,24254504
2020-07-07,155.000000,156.899994,151.800003,152.300003,151.523758,13160047
2020-07-08,152.750000,158.000000,152.399994,155.000000,154.209991,18306575
2020-07-09,157.000000,166.449997,156.899994,164.800003,163.960037,45180719
2020-07-10,163.699997,164.500000,160.350006,163.699997,162.865646,16256492
2020-07-13,165.300003,170.500000,164.100006,169.250000,168.387360,21894776
2020-07-14,167.699997,168.699997,161.949997,163.800003,162.965134,16396492
2020-07-15,166.350006,168.500000,164.500000,165.399994,164.556976,11233286
2020-07-16,164.899994,166.800003,161.050003,166.050003,165.203674,12766387
2020-07-17,166.500000,169.100006,161.149994,162.149994,161.323532,14372019
2020-07-20,162.199997,162.949997,159.649994,160.899994,160.079910,14067880
2020-07-21,162.850006,163.000000,157.550003,160.000000,159.184509,13098754
2020-07-22,160.550003,163.899994,157.399994,159.899994,159.085007,17455691
2020-07-23,160.699997,162.449997,159.699997,162.000000,161.174316,8258361
2020-07-24,159.949997,160.949997,154.300003,156.199997,155.403870,15793319
2020-07-27,157.000000,159.800003,154.600006,158.199997,157.393677,12745516
2020-07-28,158.550003,165.250000,158.550003,164.699997,163.860550,15539141
2020-07-29,164.300003,168.500000,163.300003,164.050003,163.213867,15845599
2020-07-30,164.949997,165.699997,160.000000,162.000000,161.174316,8980592
2020-07-31,161.899994,164.500000,159.600006,163.100006,162.268707,9872721
2020-08-03,163.100006,167.500000,160.750000,161.350006,160.527634,16525131
2020-08-04,162.000000,164.600006,160.750000,162.350006,161.522537,13653194
2020-08-05,163.899994,177.399994,163.500000,175.750000,174.854233,47894708
2020-08-06,178.000000,178.899994,174.199997,178.000000,177.092758,23198186
2020-08-07,176.449997,179.000000,175.350006,177.600006,176.694809,10117475
2020-08-10,176.899994,179.000000,174.399994,178.600006,177.689713,9378730
2020-08-11,180.000000,186.600006,178.000000,178.949997,178.037918,30405569
2020-08-12,177.350006,177.350006,172.699997,175.800003,174.903976,17437072
2020-08-13,178.000000,184.600006,178.000000,183.550003,182.614471,26526442
2020-08-14,184.350006,189.449997,180.600006,184.949997,184.007339,28520464
2020-08-17,185.149994,193.449997,184.250000,192.550003,191.568604,25968766
2020-08-18,193.199997,197.250000,192.050003,196.000000,195.001022,20401535
2020-08-19,196.850006,197.649994,194.300003,196.800003,195.796936,16328384
2020-08-20,193.050003,202.350006,192.449997,199.000000,197.985733,28491717
2020-08-21,201.750000,203.149994,195.350006,196.250000,195.249741,18332315
2020-08-24,197.449997,197.800003,192.449997,193.300003,192.314789,10628826
2020-08-25,195.399994,196.399994,190.050003,191.300003,190.324982,13439855
2020-08-26,192.000000,195.000000,191.250000,193.500000,192.513763,8427317
2020-08-27,193.500000,195.649994,192.600006,194.899994,193.906616,7659778
2020-08-28,195.100006,196.149994,193.000000,193.800003,192.812225,8153155
2020-08-31,195.000000,197.000000,184.250000,185.250000,184.305801,17662183
2020-09-01,185.199997,195.449997,185.000000,194.050003,193.060959,24334797
2020-09-02,194.000000,196.899994,192.550003,196.199997,195.199997,11183054
2020-09-03,196.149994,196.149994,191.550003,192.000000,192.000000,11310236
2020-09-04,188.050003,194.000000,184.850006,188.300003,188.300003,16804686
2020-09-07,188.300003,191.500000,186.600006,187.500000,187.500000,6839463
2020-09-08,188.199997,188.199997,179.550003,180.250000,180.250000,9202151
2020-09-09,177.350006,183.800003,171.750000,182.800003,182.800003,22609497
2020-09-10,185.000000,185.300003,173.350006,176.649994,176.649994,19154786
2020-09-11,178.699997,180.000000,174.800003,178.649994,178.649994,15780805
2020-09-14,179.000000,180.500000,174.600006,175.800003,175.800003,11605907
