Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,428.899994,430.799988,423.799988,425.250000,422.368347,523748
2020-01-02,426.299988,426.799988,419.500000,421.850006,418.991394,1274239
2020-01-03,422.299988,423.100006,412.250000,417.049988,414.223907,1925765
2020-01-06,415.500000,418.700012,410.350006,411.649994,408.860504,1352846
2020-01-07,413.149994,418.250000,412.049988,413.250000,410.449646,1144295
2020-01-08,407.500000,419.000000,407.000000,417.850006,415.018494,1552645
2020-01-09,421.549988,422.950012,417.450012,419.899994,417.054596,1070484
2020-01-10,420.000000,422.700012,416.200012,418.649994,415.813049,1075274
2020-01-13,418.700012,423.649994,418.700012,420.950012,418.097504,1210742
2020-01-14,421.950012,427.500000,420.000000,424.799988,421.921387,1073907
2020-01-15,426.649994,455.750000,425.100006,447.750000,444.715881,8374512
2020-01-16,453.000000,459.350006,445.600006,456.700012,453.605225,5708033
2020-01-17,454.000000,479.399994,452.250000,469.100006,465.921204,6428299
2020-01-20,470.149994,475.000000,464.000000,468.700012,465.523926,2512486
2020-01-21,465.000000,474.899994,464.250000,472.100006,468.900879,1820857
2020-01-22,475.000000,475.500000,469.000000,472.000000,468.801544,1122490
2020-01-23,470.500000,495.000000,470.500000,490.649994,487.325165,5368896
2020-01-24,489.000000,498.950012,488.500000,496.350006,492.986542,2310925
2020-01-27,495.200012,508.950012,493.200012,505.850006,502.422180,4178103
2020-01-28,504.850006,517.849976,500.399994,514.750000,511.261841,4045280
2020-01-29,514.000000,515.549988,506.549988,511.600006,508.133209,2641641
2020-01-30,510.000000,521.349976,503.649994,517.549988,514.042847,3260261
2020-01-31,516.400024,520.099976,504.350006,507.500000,504.060974,2183118
2020-02-03,504.899994,511.899994,502.299988,509.649994,506.196411,1608796
2020-02-04,509.649994,517.950012,507.899994,513.700012,510.218994,3153693
2020-02-05,515.200012,519.750000,509.299988,514.549988,511.063202,1503614
2020-02-06,515.000000,526.900024,514.549988,522.299988,518.760681,2586269
2020-02-07,529.799988,534.200012,503.049988,511.100006,507.636597,6644462
2020-02-10,511.000000,517.099976,503.600006,513.000000,509.523712,2043574
2020-02-11,516.200012,517.299988,506.049988,507.149994,503.713348,1737302
2020-02-12,507.700012,522.299988,507.149994,520.900024,517.370178,3164212
