Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,243.000000,255.800003,242.350006,250.550003,244.075836,10280755
2020-06-02,252.399994,258.399994,250.449997,253.649994,247.095734,10076456
2020-06-03,257.950012,263.500000,253.600006,255.350006,248.751816,7914676
2020-06-04,255.350006,259.450012,242.199997,245.149994,238.815369,8160213
2020-06-05,247.000000,263.399994,246.199997,261.850006,255.083847,10000963
2020-06-08,268.500000,271.299988,257.399994,260.899994,254.158386,6380150
2020-06-09,263.000000,268.299988,251.649994,253.600006,247.047028,6521805
2020-06-10,255.000000,268.000000,254.500000,266.200012,259.321442,6052747
2020-06-11,266.149994,279.350006,263.649994,271.649994,264.630615,11237839
2020-06-12,260.000000,283.000000,258.000000,281.149994,273.885132,8317404
2020-06-15,280.500000,282.049988,268.450012,270.399994,263.412903,7014477
2020-06-16,275.450012,295.350006,273.600006,283.899994,276.564087,15494794
2020-06-17,284.149994,296.399994,281.200012,292.149994,284.600891,9361234
2020-06-18,292.000000,292.000000,282.299988,284.000000,276.661499,5343597
2020-06-19,284.000000,287.850006,280.350006,284.750000,277.392120,7425907
2020-06-22,279.450012,279.450012,266.000000,268.549988,261.610718,15992731
2020-06-23,269.100006,276.299988,269.049988,273.100006,266.043152,7900028
2020-06-24,274.950012,279.450012,269.000000,270.399994,263.412903,7615988
2020-06-25,268.000000,271.799988,265.100006,268.399994,261.464600,5551852
2020-06-26,271.000000,278.200012,270.149994,270.899994,263.899994,7495596
2020-06-29,269.649994,271.350006,259.700012,264.549988,257.714081,5039824
2020-06-30,266.399994,273.350006,264.100006,265.049988,258.201141,5382919
2020-07-01,266.700012,278.350006,265.500000,276.500000,269.355286,7791843
2020-07-02,280.000000,283.799988,276.750000,282.250000,274.956726,6645045
2020-07-03,283.250000,284.000000,271.600006,274.350006,267.260864,4687954
2020-07-06,276.799988,278.500000,275.149994,276.700012,269.550140,2916405
2020-07-07,277.000000,280.899994,272.000000,278.299988,271.108765,4993325
2020-07-08,278.299988,292.500000,277.350006,281.750000,274.469635,13319466
2020-07-09,284.000000,286.649994,281.299988,282.950012,275.638641,4086426
2020-07-10,281.000000,285.250000,272.600006,275.850006,268.722107,4787129
2020-07-13,278.000000,281.899994,273.500000,274.850006,267.747925,2630469
2020-07-14,272.299988,273.500000,262.250000,263.600006,256.788635,4921174
2020-07-15,266.000000,268.799988,259.149994,259.950012,253.232956,3611211
2020-07-16,260.000000,266.299988,255.000000,265.500000,258.639526,3866084
2020-07-17,267.000000,269.850006,262.250000,265.950012,259.077911,3255388
2020-07-20,267.200012,272.500000,267.000000,267.899994,260.977509,2948189
2020-07-21,270.799988,275.500000,269.350006,269.799988,262.828400,3894086
2020-07-22,271.299988,275.899994,266.250000,270.750000,263.753876,5210927
2020-07-23,270.750000,275.399994,270.000000,273.950012,266.871185,2740824
2020-07-24,271.049988,277.899994,268.600006,272.600006,265.556061,3406322
2020-07-27,273.450012,273.700012,264.049988,266.750000,259.857239,3243724
2020-07-28,267.000000,270.000000,263.350006,268.549988,261.610718,2897287
2020-07-29,269.200012,278.450012,267.549988,273.450012,266.384125,4246595
2020-07-30,274.299988,276.500000,263.149994,263.899994,257.080872,3460957
2020-07-31,265.200012,266.700012,260.750000,262.500000,255.717056,3019404
2020-08-03,260.000000,262.200012,257.000000,257.700012,251.041092,2979034
2020-08-04,258.500000,262.500000,257.600006,258.299988,251.625565,3402215
2020-08-05,259.700012,261.899994,256.600006,257.000000,250.359177,4240866
2020-08-06,258.450012,262.799988,255.399994,258.399994,251.722992,3946025
2020-08-07,259.000000,265.000000,258.500000,259.549988,252.843262,6051680
2020-08-10,261.399994,265.799988,260.850006,263.100006,256.301544,3794629
2020-08-11,264.750000,272.899994,264.049988,267.149994,260.246887,6604571
2020-08-12,265.850006,269.700012,264.600006,267.299988,260.393005,2214402
2020-08-13,268.500000,272.100006,267.049988,270.950012,263.948730,4686161
2020-08-14,272.450012,273.299988,262.000000,264.149994,257.324402,3684940
2020-08-17,265.799988,269.000000,264.000000,267.000000,260.100769,2964726
2020-08-18,268.100006,269.250000,264.649994,268.250000,261.318481,2562562
2020-08-19,269.549988,282.500000,269.500000,277.500000,270.329468,10199063
2020-08-20,275.000000,283.250000,272.100006,278.049988,270.865234,5325786
2020-08-21,280.299988,282.899994,276.000000,276.750000,269.598846,2412691
2020-08-24,279.000000,281.500000,275.100006,276.600006,269.452728,3727665
2020-08-25,288.000000,309.000000,285.899994,299.000000,291.273895,43293454
2020-08-26,305.000000,305.000000,295.850006,298.049988,290.348419,7072976
2020-08-27,300.950012,304.799988,298.799988,303.850006,295.998596,6348149
2020-08-28,305.649994,319.000000,305.649994,314.299988,306.178528,10853555
2020-08-31,317.649994,323.299988,297.049988,301.299988,293.514465,8228913
2020-09-01,301.299988,308.850006,293.399994,303.299988,295.462769,5738207
2020-09-02,302.000000,306.250000,298.450012,302.950012,295.121857,2158546
2020-09-03,305.700012,308.850006,300.549988,303.399994,295.560211,2488465
2020-09-04,297.500000,301.799988,293.200012,295.350006,287.718231,2791594
2020-09-07,294.149994,297.549988,289.350006,293.950012,286.354401,3579749
2020-09-08,294.600006,303.500000,292.799988,294.399994,286.792755,4909735
2020-09-09,289.950012,292.399994,281.649994,286.750000,279.340424,3768735
2020-09-10,290.149994,298.200012,289.149994,295.700012,288.059174,3974409
