Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,765.299988,773.250000,765.299988,771.150024,766.156372,465429
2020-01-02,773.000000,780.349976,764.200012,775.599976,770.577454,867603
2020-01-03,775.900024,786.500000,770.000000,776.900024,771.869080,1110452
2020-01-06,771.000000,774.450012,756.000000,762.150024,757.214600,522118
2020-01-07,764.000000,772.599976,752.549988,757.549988,752.644348,824059
2020-01-08,752.000000,760.650024,750.099976,757.099976,752.197266,641773
2020-01-09,762.000000,767.299988,757.099976,758.900024,753.985657,778130
2020-01-10,763.150024,778.500000,757.500000,758.950012,754.035339,1820102
2020-01-13,756.500000,763.000000,740.500000,748.599976,743.752319,2327854
2020-01-14,752.700012,758.900024,750.450012,752.799988,747.925110,1213631
2020-01-15,752.000000,756.799988,746.700012,751.049988,746.186462,1220738
2020-01-16,751.500000,760.650024,751.500000,753.950012,749.067688,1284812
2020-01-17,753.000000,770.000000,751.450012,766.650024,761.685486,1336060
2020-01-20,760.000000,760.250000,730.099976,732.700012,727.955322,3214043
2020-01-21,733.000000,744.250000,727.250000,741.150024,736.350586,1619921
2020-01-22,743.250000,746.950012,734.650024,738.400024,733.618408,904533
2020-01-23,738.400024,743.950012,736.000000,737.849976,733.071960,718365
2020-01-24,737.299988,744.500000,735.700012,740.150024,735.357117,507047
2020-01-27,738.000000,759.900024,734.099976,751.900024,747.031006,1492976
2020-01-28,755.000000,756.700012,745.099976,747.400024,742.560120,1322275
2020-01-29,750.000000,752.750000,743.549988,744.849976,740.026611,867074
2020-01-30,745.900024,745.900024,725.549988,728.349976,723.633423,1153471
2020-01-31,734.000000,734.700012,716.000000,718.250000,713.598877,1117946
2020-02-03,708.349976,723.250000,698.799988,708.650024,704.061096,1106940
2020-02-04,717.650024,728.849976,711.000000,721.599976,716.927185,1129876
2020-02-05,721.099976,726.849976,716.500000,722.500000,717.821350,1189761
2020-02-06,731.500000,738.750000,706.000000,721.900024,717.225281,5687405
2020-02-07,708.000000,714.250000,695.000000,707.599976,703.017822,7357814
2020-02-10,705.950012,710.000000,696.299988,701.950012,697.404419,1841499
2020-02-11,713.799988,713.799988,698.549988,705.049988,700.484375,1862531
2020-02-12,708.000000,712.000000,698.500000,703.200012,698.646362,2266491
2020-02-13,706.400024,708.599976,699.549988,703.400024,698.845093,2356429
2020-02-14,704.500000,721.450012,704.500000,717.650024,713.002808,1845960
2020-02-17,718.500000,731.250000,710.599976,712.549988,707.935791,1402215
2020-02-18,710.799988,710.950012,694.000000,706.049988,701.477844,1225756
2020-02-19,705.000000,716.500000,704.400024,709.049988,704.458435,894396
2020-02-20,706.150024,708.099976,698.000000,699.599976,695.069641,1883153
2020-02-24,695.000000,697.000000,669.000000,672.849976,668.492859,1771815
2020-02-25,680.000000,680.000000,667.400024,669.150024,664.816833,2838451
2020-02-26,668.099976,676.000000,664.549988,669.799988,665.462585,2122196
2020-02-27,669.099976,671.299988,654.599976,662.799988,658.507935,1302115
2020-02-28,656.150024,659.400024,635.200012,640.000000,635.855591,2408425
2020-03-02,645.000000,652.299988,620.500000,629.799988,625.721619,2408228
2020-03-03,637.000000,660.549988,635.299988,649.599976,645.393433,2135990
2020-03-04,653.200012,667.250000,643.299988,664.400024,660.097595,2723269
2020-03-05,668.000000,686.650024,666.000000,676.549988,672.168884,2089837
2020-03-06,665.000000,673.799988,657.200012,663.500000,659.203430,3466958
2020-03-09,645.000000,664.549988,643.500000,651.150024,646.933411,1461377
2020-03-11,652.099976,659.599976,635.450012,638.799988,634.663330,1987343
2020-03-12,629.000000,629.000000,583.650024,593.799988,589.954773,4991398
2020-03-13,550.000000,615.950012,504.750000,605.849976,601.926697,1820676
2020-03-16,595.849976,632.849976,576.000000,599.000000,595.121094,2477918
2020-03-17,605.250000,646.250000,596.349976,616.099976,612.110352,2067269
2020-03-18,626.000000,637.349976,605.700012,612.900024,608.931091,2352295
2020-03-19,594.500000,654.000000,578.049988,635.000000,630.888000,2680525
2020-03-20,640.700012,665.099976,631.250000,641.950012,637.792969,2708797
2020-03-23,610.000000,631.950012,586.099976,592.150024,588.315491,1677165
2020-03-24,586.250000,628.000000,585.549988,592.200012,588.365173,1545462
2020-03-25,581.000000,599.250000,558.099976,566.500000,562.831543,3016481
2020-03-26,566.500000,569.099976,542.400024,558.650024,555.032410,3907851
2020-03-27,565.049988,591.599976,542.349976,548.099976,544.550659,4900000
2020-03-30,551.500000,573.500000,535.250000,560.599976,556.969727,2777231
2020-03-31,573.000000,594.400024,568.250000,589.650024,585.831665,3151209
2020-04-01,589.849976,590.799988,575.450012,579.049988,575.300293,1298954
2020-04-03,582.450012,665.900024,578.000000,655.849976,651.602905,6492775
2020-04-07,690.000000,738.650024,670.250000,700.049988,695.516724,8165523
2020-04-08,701.000000,734.450012,698.549988,705.599976,701.030762,6927854
2020-04-09,733.400024,798.000000,733.400024,790.150024,785.033325,13732376
2020-04-13,804.000000,848.799988,799.000000,826.049988,820.700806,10064797
2020-04-15,847.950012,854.000000,791.349976,810.400024,805.152161,7000858
2020-04-16,805.000000,832.500000,787.049988,825.900024,820.551819,3963315
2020-04-17,841.000000,845.000000,817.599976,822.250000,816.925415,3328045
2020-04-20,822.000000,822.000000,795.349976,809.750000,804.506348,2294941
2020-04-21,795.500000,845.500000,792.000000,812.500000,807.238525,5837165
2020-04-22,805.000000,829.599976,802.900024,806.599976,801.376709,3630813
2020-04-23,811.000000,837.299988,811.000000,822.349976,817.024719,3411965
2020-04-24,824.700012,891.000000,820.700012,877.349976,871.668579,14719795
2020-04-27,899.950012,906.000000,875.700012,896.799988,890.992615,6448879
2020-04-28,900.000000,901.000000,848.250000,854.349976,848.817505,4121427
2020-04-29,860.000000,872.700012,848.750000,854.400024,848.867249,3285831
2020-04-30,874.900024,878.200012,811.549988,835.299988,829.890869,7643181
2020-05-04,826.000000,865.799988,815.000000,841.650024,836.199829,5482297
2020-05-05,867.950012,867.950012,821.000000,826.799988,821.445923,3485068
2020-05-06,834.950012,840.650024,817.049988,827.200012,821.843384,2243112
2020-05-07,820.000000,836.599976,808.750000,813.299988,808.033386,2230759
2020-05-08,820.000000,839.650024,817.299988,835.000000,829.592834,2635460
2020-05-11,843.950012,857.700012,832.049988,849.299988,843.800232,3945910
2020-05-12,850.000000,860.599976,845.000000,851.849976,846.333740,2001722
2020-05-13,861.000000,863.000000,835.200012,839.250000,833.815308,2253401
2020-05-14,840.000000,866.400024,828.700012,863.049988,857.461182,3474044
2020-05-15,863.049988,863.049988,836.099976,841.799988,836.348816,1984358
2020-05-18,838.000000,862.950012,837.349976,856.849976,851.301331,2661106
2020-05-19,863.500000,870.000000,833.349976,840.349976,834.908203,3414397
2020-05-20,844.599976,878.000000,841.000000,873.200012,867.545471,3952756
2020-05-21,870.000000,889.950012,863.150024,885.750000,880.014221,2666556
2020-05-22,881.000000,898.000000,875.349976,892.750000,886.968872,2372742
2020-05-26,893.000000,919.200012,893.000000,905.950012,900.083435,5437014
2020-05-27,906.000000,909.950012,888.000000,894.549988,888.757202,2493163
2020-05-28,887.500000,890.799988,868.250000,881.150024,875.444031,3226522
2020-05-29,870.000000,881.799988,840.500000,869.799988,864.167480,9473461
2020-06-01,875.000000,876.000000,846.099976,849.700012,844.197693,5213799
2020-06-02,853.900024,873.950012,851.549988,871.250000,865.608093,4740216
2020-06-03,880.000000,885.849976,861.150024,867.450012,861.832703,3866831
2020-06-04,870.000000,913.000000,868.849976,907.599976,901.722717,6242195
2020-06-05,919.900024,923.900024,898.099976,902.349976,896.506714,3694033
2020-06-08,905.000000,911.900024,880.750000,900.299988,894.469971,2880744
2020-06-09,899.900024,930.799988,895.500000,919.400024,913.446350,4737507
2020-06-10,924.400024,936.950012,918.000000,928.349976,922.338318,3077038
2020-06-11,924.000000,931.799988,912.049988,918.299988,912.353394,1944883
2020-06-12,904.299988,920.500000,901.049988,911.900024,905.994873,2105897
2020-06-15,917.000000,956.000000,914.000000,943.950012,937.837341,6159384
2020-06-16,943.599976,948.099976,918.049988,925.750000,919.755188,2459099
2020-06-17,929.200012,938.950012,917.200012,928.950012,922.934448,1903488
2020-06-18,931.900024,937.000000,915.099976,919.349976,913.396606,1745711
2020-06-19,919.549988,926.900024,912.299988,914.450012,908.528381,2295673
2020-06-22,922.450012,950.000000,916.250000,935.250000,929.193665,2542504
2020-06-23,935.250000,943.549988,924.049988,937.900024,931.826538,1869848
2020-06-24,940.000000,944.700012,916.299988,921.400024,915.433411,1642404
2020-06-25,924.849976,946.299988,921.400024,935.250000,929.193665,2393857
2020-06-26,936.000000,943.700012,922.000000,926.750000,920.748718,1226064
2020-06-29,926.750000,935.950012,919.000000,924.599976,918.612610,1254935
2020-06-30,935.000000,935.000000,907.299988,911.799988,905.895508,1890864
2020-07-01,910.049988,910.950012,891.549988,903.400024,897.549927,2184216
2020-07-02,905.500000,913.250000,892.549988,895.000000,889.204285,2144667
2020-07-03,898.799988,904.200012,890.000000,900.049988,894.221619,2103089
2020-07-06,896.000000,899.450012,873.000000,875.549988,869.880249,2750613
2020-07-07,875.549988,884.400024,867.200012,870.500000,864.862976,2421820
2020-07-08,874.000000,889.650024,862.000000,865.400024,859.796021,3517313
2020-07-09,871.400024,882.000000,862.500000,867.049988,861.435303,2105983
2020-07-10,870.000000,874.900024,858.000000,861.099976,855.523804,1826593
2020-07-13,868.849976,877.000000,858.349976,869.799988,864.167480,1910103
2020-07-14,871.000000,883.299988,868.549988,873.000000,867.346802,2542417
2020-07-15,875.099976,878.900024,855.099976,857.150024,851.599426,1623972
2020-07-16,861.799988,881.000000,856.049988,879.549988,873.854370,1862973
2020-07-17,884.849976,903.750000,870.000000,897.400024,891.588806,3563919
2020-07-20,897.400024,900.700012,862.250000,864.250000,858.653442,2390319
2020-07-21,872.000000,872.450012,846.000000,851.700012,846.184692,2209965
2020-07-22,852.049988,869.799988,846.000000,850.750000,845.240845,1982870
2020-07-23,852.150024,864.900024,851.299988,863.000000,857.411560,1590020
2020-07-24,867.000000,873.400024,848.200012,853.799988,848.271118,2150236
2020-07-27,851.000000,853.450012,828.400024,845.400024,839.925537,1904586
2020-07-28,848.000000,854.450012,839.000000,841.200012,835.752686,1232300
2020-07-29,845.000000,862.750000,843.150024,859.299988,853.735474,2037689
2020-07-30,864.299988,894.450012,863.049988,890.400024,884.634155,4113177
2020-07-31,894.750000,931.000000,878.700012,926.549988,920.549988,5233499
2020-08-03,915.000000,946.500000,913.049988,927.650024,927.650024,3944365
2020-08-04,932.950012,947.500000,912.000000,940.799988,940.799988,2870818
2020-08-05,941.000000,954.599976,924.000000,928.000000,928.000000,3672601
2020-08-06,932.799988,945.799988,925.500000,936.250000,936.250000,3300867
2020-08-07,906.650024,918.400024,874.099976,879.849976,879.849976,12143243
2020-08-10,886.900024,999.400024,886.049988,957.950012,957.950012,14698270
2020-08-11,964.700012,969.549988,945.000000,957.500000,957.500000,6022988
2020-08-12,952.950012,952.950012,925.000000,940.200012,940.200012,2723715
2020-08-13,940.200012,946.000000,926.900024,930.500000,930.500000,2432952
2020-08-14,932.200012,1023.549988,932.200012,1018.200012,1018.200012,26833773
2020-08-17,1028.400024,1035.000000,994.500000,1003.650024,1003.650024,7593651
2020-08-18,998.000000,1022.900024,978.299988,981.700012,981.700012,6244582
2020-08-19,985.000000,1008.799988,975.200012,980.950012,980.950012,6124085
2020-08-20,984.000000,999.900024,978.299988,982.250000,982.250000,4884459
2020-08-21,998.700012,1004.000000,978.000000,981.400024,981.400024,4143775
2020-08-24,987.000000,992.500000,960.500000,970.099976,970.099976,4373228
2020-08-25,1000.000000,1017.150024,968.700012,972.150024,972.150024,7286500
2020-08-26,979.099976,986.200012,964.000000,978.750000,978.750000,3859285
2020-08-27,978.750000,994.500000,975.250000,983.200012,983.200012,3902056
2020-08-28,984.500000,991.750000,972.000000,976.099976,976.099976,2531186
2020-08-31,982.000000,990.000000,921.700012,927.549988,927.549988,5062616
2020-09-01,932.200012,954.900024,918.099976,949.900024,949.900024,3982915
2020-09-02,950.349976,970.000000,940.349976,962.000000,962.000000,3758078
2020-09-03,969.849976,972.500000,954.000000,961.700012,961.700012,2224188
2020-09-04,957.000000,966.599976,935.549988,945.000000,945.000000,2972431
2020-09-07,949.000000,953.299988,921.750000,925.299988,925.299988,2220516
2020-09-08,930.299988,937.750000,911.799988,919.549988,919.549988,1923221
2020-09-09,918.950012,947.400024,915.250000,941.099976,941.099976,3719749
2020-09-10,942.500000,966.000000,935.549988,962.500000,962.500000,3696881
2020-09-11,959.950012,973.000000,952.400024,967.650024,967.650024,2154611
2020-09-14,972.950012,972.950012,958.000000,968.000000,968.000000,1836317
2020-09-15,972.849976,1005.000000,967.000000,1000.849976,1000.849976,6025028
2020-09-16,1005.900024,1033.000000,995.849976,1028.650024,1028.650024,5342544
2020-09-17,1018.849976,1045.900024,1010.099976,1037.099976,1037.099976,3069437
2020-09-18,1075.000000,1122.300049,1070.400024,1085.900024,1085.900024,15274487
2020-09-21,1085.849976,1097.849976,1030.300049,1040.550049,1040.550049,4118958
2020-09-22,1040.550049,1053.550049,1017.799988,1039.750000,1039.750000,5220254
2020-09-23,1053.699951,1053.699951,1002.000000,1016.549988,1016.549988,3211053
2020-09-24,1009.000000,1019.000000,971.250000,979.599976,979.599976,2899900
2020-09-25,987.000000,1022.849976,978.000000,998.900024,998.900024,3803230
2020-09-28,1008.599976,1014.900024,981.000000,1008.950012,1008.950012,4089142
2020-09-29,1014.000000,1014.000000,994.000000,998.150024,998.150024,2642123
2020-09-30,1000.000000,1025.000000,992.250000,1007.400024,1007.400024,5227238
2020-10-01,1031.000000,1032.000000,1007.000000,1027.849976,1027.849976,4893786
2020-10-05,1028.349976,1048.000000,1012.650024,1038.199951,1038.199951,2928369
2020-10-06,1045.599976,1053.849976,1021.700012,1026.349976,1026.349976,2631466
2020-10-07,1031.599976,1038.949951,1018.400024,1025.900024,1025.900024,1833860
2020-10-08,1030.900024,1050.000000,1013.299988,1043.250000,1043.250000,2859013
2020-10-09,1048.650024,1055.849976,1025.000000,1029.199951,1029.199951,2443002
2020-10-12,1030.000000,1049.000000,1025.000000,1046.500000,1046.500000,2276510
2020-10-13,1050.000000,1087.800049,1045.300049,1055.199951,1055.199951,9418725
2020-10-14,1061.000000,1061.449951,1022.549988,1036.199951,1036.199951,3491057
2020-10-15,1036.199951,1042.000000,996.150024,1003.549988,1003.549988,2854331
2020-10-16,1003.549988,1045.900024,998.000000,1040.400024,1040.400024,4437148
2020-10-19,1044.900024,1046.000000,1010.000000,1014.200012,1014.200012,2712791
2020-10-20,1015.000000,1029.750000,1003.200012,1008.700012,1008.700012,2666057
