Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,147.000000,147.750000,145.250000,145.699997,143.264908,3444638
2020-01-02,146.000000,150.500000,145.649994,149.800003,147.296387,3343909
2020-01-03,149.800003,149.800003,146.850006,148.199997,145.723114,3017753
2020-01-06,147.550003,147.899994,140.100006,141.050003,138.692627,6206742
2020-01-07,143.000000,146.699997,142.500000,144.750000,142.330780,5843998
2020-01-08,141.000000,147.850006,140.649994,147.000000,144.543182,5289377
2020-01-09,148.000000,151.000000,145.649994,149.899994,147.394699,8331258
2020-01-10,149.899994,150.399994,146.699997,148.550003,146.067276,3832319
2020-01-13,149.399994,149.750000,145.000000,145.850006,143.412399,3773230
2020-01-14,145.750000,146.250000,140.550003,142.250000,139.872559,7654198
2020-01-15,142.000000,142.500000,137.800003,139.149994,136.824371,9551225
2020-01-16,139.899994,144.199997,139.500000,143.250000,140.855850,11043710
2020-01-17,143.199997,143.199997,139.250000,139.850006,137.512680,4628270
2020-01-20,140.250000,141.500000,137.100006,137.649994,135.349442,5105146
2020-01-21,136.399994,139.449997,134.000000,138.449997,136.136078,7541631
2020-01-22,138.850006,139.250000,136.500000,138.750000,136.431061,2938028
2020-01-23,138.399994,141.449997,138.000000,140.750000,138.397629,6616149
2020-01-24,140.149994,147.699997,140.149994,145.100006,142.674942,11540538
2020-01-27,144.399994,144.399994,140.300003,140.699997,138.348465,6172025
2020-01-28,140.949997,141.750000,138.300003,139.000000,136.676880,10087514
2020-01-29,139.800003,142.649994,139.699997,141.600006,139.233429,3971225
2020-01-30,141.350006,142.300003,137.300003,138.899994,136.578552,7126739
2020-01-31,139.500000,140.300003,131.149994,133.699997,131.465454,27535769
2020-02-03,128.000000,130.250000,124.250000,125.150002,123.058357,11707232
2020-02-04,126.750000,135.399994,125.750000,134.050003,131.809616,13743699
2020-02-05,135.000000,136.750000,130.899994,135.350006,133.087891,8161856
2020-02-06,135.699997,139.000000,135.050003,136.850006,134.562820,10996812
2020-02-07,137.000000,137.550003,132.000000,132.300003,130.088867,7373631
2020-02-10,132.000000,135.949997,121.349998,124.750000,122.665047,41957029
2020-02-11,126.000000,127.099998,124.050003,125.050003,122.960030,11518167
2020-02-12,125.400002,129.800003,125.150002,127.449997,125.319916,8301241
2020-02-13,128.149994,128.149994,124.150002,124.900002,122.812538,7939011
2020-02-14,124.900002,125.900002,122.699997,123.949997,121.878410,6351245
2020-02-17,124.050003,124.400002,122.099998,122.900002,120.845963,4565362
2020-02-18,121.849998,124.400002,116.500000,123.300003,121.239281,9936304
2020-02-19,124.500000,126.650002,119.650002,121.599998,119.567688,8194234
2020-02-20,121.000000,125.099998,120.300003,122.949997,120.895126,7018750
2020-02-24,121.500000,121.500000,113.949997,114.599998,112.684677,8237103
2020-02-25,114.000000,118.750000,112.750000,116.800003,114.847916,10764339
2020-02-26,113.000000,114.800003,110.699997,111.250000,109.390671,13259839
2020-02-27,110.949997,110.949997,106.550003,109.099998,107.276604,15128711
2020-02-28,103.500000,105.800003,101.650002,103.650002,101.917694,27096514
2020-03-02,105.800003,108.650002,98.599998,101.150002,99.459473,26144622
2020-03-03,104.000000,107.849998,102.349998,106.199997,104.425064,12389739
2020-03-04,105.300003,105.800003,98.400002,100.599998,98.918663,24451963
2020-03-05,102.000000,102.750000,97.500000,100.449997,98.771172,25839027
2020-03-06,95.449997,98.800003,93.699997,97.599998,95.968803,9462492
2020-03-09,94.900002,97.050003,90.300003,91.400002,89.872429,11791718
2020-03-11,89.500000,92.599998,88.300003,89.750000,88.250000,13638954
2020-03-12,85.849998,85.849998,66.800003,67.900002,67.900002,68378463
2020-03-13,61.150002,77.900002,50.950001,63.849998,63.849998,45540013
2020-03-16,63.500000,69.250000,59.000000,66.750000,66.750000,33806414
2020-03-17,67.050003,68.000000,60.200001,60.750000,60.750000,18224761
2020-03-18,62.299999,63.750000,59.150002,61.599998,61.599998,17768653
