Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,927.000000,929.000000,913.549988,923.799988,887.141235,131875
2020-01-02,923.799988,926.500000,890.500000,894.049988,858.571777,360884
2020-01-03,894.000000,900.799988,878.450012,883.700012,848.632507,235166
2020-01-06,883.000000,883.000000,868.049988,875.200012,840.469849,99636
2020-01-07,878.000000,898.599976,877.049988,885.799988,850.649170,781520
2020-01-08,884.799988,894.700012,877.000000,883.950012,848.872620,151534
2020-01-09,889.599976,889.700012,878.000000,883.299988,848.248352,388633
2020-01-10,883.299988,892.000000,870.000000,876.500000,841.718201,43647
2020-01-13,874.000000,891.000000,872.099976,882.500000,847.480164,104195
2020-01-14,889.000000,934.900024,883.400024,900.349976,864.621765,787576
2020-01-15,900.299988,910.000000,895.000000,901.400024,865.630127,75668
2020-01-16,906.950012,908.349976,885.000000,889.150024,853.866272,99901
2020-01-17,893.000000,904.500000,882.450012,898.099976,862.461060,85568
2020-01-20,898.099976,901.200012,883.250000,885.900024,850.745239,57759
2020-01-21,883.500000,886.799988,878.000000,880.000000,845.079346,731989
2020-01-22,886.000000,894.000000,880.049988,888.900024,853.626160,289067
2020-01-23,889.000000,914.049988,881.049988,911.099976,874.945190,178428
2020-01-24,915.000000,919.900024,900.150024,908.450012,872.400391,340980
2020-01-27,907.950012,909.450012,886.000000,891.099976,855.738831,56764
2020-01-28,890.000000,927.500000,890.000000,925.500000,888.773804,567745
2020-01-29,933.000000,949.700012,930.299988,936.599976,899.433289,140355
2020-01-30,933.000000,939.349976,911.150024,918.950012,882.483704,43631
2020-01-31,920.000000,932.000000,910.049988,929.849976,892.951172,51751
2020-02-03,920.099976,929.299988,884.000000,893.849976,858.379700,598456
2020-02-04,895.049988,924.599976,895.049988,913.349976,877.105896,82392
2020-02-05,920.000000,923.900024,913.349976,920.950012,884.404358,48743
2020-02-06,923.599976,947.900024,921.700012,942.950012,905.531311,169633
2020-02-07,949.049988,956.950012,918.200012,937.400024,900.201599,1380903
2020-02-10,938.700012,942.650024,925.500000,930.049988,893.143188,193759
