Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,59500.000000,62269.949219,59365.601563,61446.050781,61343.992188,11453
2020-06-02,61999.000000,63738.449219,61657.699219,62692.398438,62588.265625,11885
2020-06-03,63499.949219,64172.300781,61129.250000,61744.250000,61641.695313,14523
2020-06-04,61844.250000,62487.898438,60710.000000,61648.750000,61546.351563,11209
2020-06-05,61705.000000,63844.000000,61521.101563,63526.199219,63420.687500,13614
2020-06-08,63700.000000,65150.000000,63561.101563,64244.398438,64137.691406,15854
2020-06-09,64970.000000,64970.000000,63550.000000,63994.148438,63887.855469,12490
2020-06-10,63990.000000,64394.148438,63250.898438,63796.351563,63690.390625,7412
2020-06-11,63699.949219,64099.949219,62700.148438,62884.949219,62780.503906,7919
2020-06-12,61000.000000,64100.000000,59500.000000,63729.050781,63623.199219,11399
2020-06-15,64950.000000,65499.000000,62500.000000,62993.601563,62888.972656,16231
2020-06-16,63725.000000,64495.000000,62077.500000,62660.300781,62556.226563,9122
2020-06-17,62748.000000,63500.000000,62369.050781,62968.250000,62863.664063,7254
2020-06-18,62888.000000,63350.000000,62701.050781,62999.699219,62895.058594,4653
2020-06-19,63101.000000,63592.949219,62700.000000,62949.300781,62844.746094,7143
2020-06-22,63200.000000,65200.000000,63200.000000,64762.750000,64655.183594,11458
2020-06-23,65010.000000,65650.546875,64155.699219,64532.648438,64425.464844,8282
2020-06-24,65032.648438,65870.000000,63586.398438,64128.101563,64021.589844,9738
2020-06-25,64160.000000,65500.000000,63870.000000,64809.648438,64702.003906,7199
2020-06-26,65009.648438,67000.000000,65009.648438,66457.703125,66347.320313,15913
2020-06-29,66400.000000,66800.796875,64830.050781,65196.898438,65088.613281,19328
2020-06-30,66480.000000,67725.000000,65750.000000,67274.500000,67162.757813,24297
2020-07-01,66800.000000,66800.000000,65600.000000,65836.796875,65727.437500,13670
2020-07-02,66400.000000,66800.000000,65800.000000,66092.851563,65983.070313,9523
2020-07-03,66301.000000,66599.953125,65815.453125,66140.250000,66030.398438,8136
2020-07-06,66601.000000,67550.000000,66350.000000,67333.546875,67221.710938,10688
2020-07-07,67333.546875,67510.000000,65600.000000,66858.796875,66747.750000,11291
2020-07-08,67000.000000,67448.648438,65000.699219,65287.199219,65178.761719,16872
2020-07-09,65944.898438,66200.000000,65050.000000,65335.851563,65227.332031,11634
2020-07-10,65799.000000,65799.000000,64515.000000,64867.250000,64759.511719,12530
2020-07-13,65100.000000,65698.898438,64350.000000,64673.449219,64566.027344,8442
2020-07-14,64800.000000,64890.000000,63610.148438,64396.000000,64289.042969,10422
2020-07-15,64677.000000,65199.949219,63460.000000,63675.351563,63569.589844,12777
2020-07-16,64000.000000,64132.750000,62431.351563,63537.949219,63432.417969,11199
2020-07-17,63998.949219,65870.851563,63382.699219,65360.550781,65251.988281,13834
2020-07-20,65500.000000,65849.500000,64720.101563,65042.800781,64934.765625,10937
2020-07-21,65800.000000,65900.000000,65250.250000,65621.101563,65512.105469,10307
2020-07-22,65590.000000,65590.000000,64255.800781,64407.750000,64300.773438,14416
2020-07-23,64793.550781,64793.550781,63100.000000,63357.351563,63252.121094,13509
2020-07-24,63199.000000,63800.000000,62700.000000,62976.500000,62871.902344,15917
2020-07-27,63580.000000,63580.000000,61605.000000,61931.601563,61828.734375,14479
2020-07-28,62199.800781,63000.000000,62006.000000,62204.898438,62101.578125,14267
2020-07-29,62400.000000,62800.000000,61550.000000,61815.101563,61712.433594,9789
2020-07-30,62000.000000,62399.898438,60700.699219,61043.148438,60941.757813,12271
2020-07-31,61200.000000,61600.000000,60602.000000,61048.550781,60947.148438,11425
2020-08-03,61000.000000,61800.000000,60802.250000,60974.648438,60873.371094,9152
2020-08-04,61500.000000,61700.000000,61004.148438,61270.101563,61168.332031,15026
2020-08-05,61400.000000,61900.000000,61150.000000,61519.050781,61416.871094,9425
2020-08-06,61500.000000,61850.000000,61100.000000,61345.800781,61243.906250,4610
2020-08-07,61250.000000,63260.000000,61250.000000,62702.800781,62598.652344,29581
2020-08-10,62798.000000,63550.000000,61700.000000,61863.000000,61760.246094,9740
2020-08-11,62200.000000,62490.000000,61390.000000,61460.449219,61358.367188,9749
2020-08-12,61640.000000,61899.851563,61350.000000,61634.750000,61532.375000,11449
2020-08-13,61900.000000,64352.250000,61400.000000,63976.500000,63870.238281,29507
2020-08-14,64000.000000,64600.000000,61200.000000,61433.750000,61331.714844,49738
2020-08-17,62199.000000,62282.148438,59940.398438,60148.050781,60048.148438,32399
2020-08-18,60700.000000,60879.949219,60000.000000,60205.500000,60105.503906,21461
2020-08-19,60580.000000,60720.000000,59604.101563,59837.800781,59738.414063,25319
2020-08-20,59998.351563,60300.000000,59235.648438,59507.300781,59408.460938,27828
2020-08-21,59990.000000,60150.000000,59325.101563,59627.148438,59528.113281,31493
2020-08-24,60000.000000,60537.500000,59505.050781,59598.550781,59499.558594,22258
2020-08-25,59947.000000,60150.000000,59067.250000,59286.398438,59187.925781,23315
2020-08-26,59250.000000,59746.250000,59250.000000,59336.750000,59238.195313,19075
2020-08-27,59786.000000,59799.000000,59100.000000,59316.550781,59218.027344,12994
2020-08-28,59400.000000,59999.000000,59151.000000,59579.851563,59480.894531,16940
2020-08-31,59999.000000,59999.000000,57520.050781,57987.449219,57891.136719,17715
2020-09-01,58500.000000,58698.949219,57600.000000,58345.300781,58248.390625,14263
2020-09-02,58410.000000,59099.851563,58000.000000,58586.750000,58489.437500,12907
2020-09-03,58741.000000,58998.000000,58304.449219,58492.101563,58394.949219,8086
2020-09-04,58250.000000,58800.000000,57565.449219,58425.398438,58328.359375,11067
2020-09-07,58425.398438,58854.949219,58000.000000,58374.199219,58277.242188,12599
2020-09-08,58500.000000,58500.000000,58050.000000,58212.648438,58115.960938,9805
2020-09-09,58200.000000,59054.949219,57867.000000,58763.550781,58665.949219,12863
2020-09-10,58865.000000,59399.000000,58700.000000,59134.050781,59035.832031,9822
2020-09-11,59100.000000,59400.000000,58445.898438,59226.699219,59128.324219,14081
2020-09-14,59230.050781,59800.000000,58199.851563,58519.851563,58515.523438,17430
2020-09-15,58600.000000,59400.000000,58200.000000,58408.449219,58404.128906,40617
2020-09-16,58600.000000,59850.000000,58508.449219,59573.949219,59569.542969,23565
2020-09-17,59310.000000,59778.000000,59154.550781,59530.851563,59526.449219,12214
2020-09-18,59600.851563,59970.000000,58530.750000,58950.601563,58946.238281,17210
2020-09-21,58950.601563,59079.898438,57866.000000,58159.250000,58154.945313,23226
2020-09-22,58160.000000,58350.250000,57400.000000,57709.550781,57705.281250,9817
2020-09-23,58000.000000,58320.000000,56800.000000,57211.500000,57207.265625,11256
2020-09-24,56999.550781,57098.101563,55300.000000,55618.851563,55614.738281,10032
2020-09-25,55910.000000,58000.000000,55701.050781,57461.449219,57457.199219,12635
2020-09-28,57800.000000,59449.949219,57800.000000,59306.550781,59302.164063,12997
2020-09-29,59778.800781,59890.000000,58175.750000,59462.351563,59457.953125,17381
2020-09-30,59300.000000,60001.000000,58700.000000,59572.199219,59567.792969,16827
2020-10-01,59570.000000,60695.000000,59400.000000,60578.300781,60573.820313,15857
2020-10-05,60800.000000,61233.949219,60300.000000,60525.601563,60521.125000,16527
2020-10-06,60800.000000,61100.000000,60076.351563,60269.949219,60265.492188,9028
2020-10-07,60490.000000,61089.699219,59956.800781,60601.550781,60597.066406,10706
2020-10-08,60728.949219,61100.000000,59600.000000,60175.351563,60170.902344,9954
2020-10-09,60677.898438,60677.898438,58542.648438,58784.898438,58780.550781,12645
2020-10-12,59298.000000,59298.000000,58174.050781,58587.101563,58582.769531,9057
2020-10-13,58200.101563,59439.199219,58200.101563,58589.949219,58585.617188,15742
2020-10-14,58700.000000,59149.000000,58000.000000,58903.550781,58899.195313,16274
2020-10-15,59000.000000,59246.398438,58150.000000,58454.648438,58450.324219,9112
2020-10-16,58350.000000,58880.148438,57860.050781,58013.101563,58008.812500,7262
2020-10-19,58300.949219,60100.000000,58100.000000,60009.851563,60005.410156,21961
2020-10-20,59251.000000,60347.300781,59251.000000,59927.351563,59922.917969,14375
2020-10-21,60000.000000,61599.000000,60000.000000,61042.449219,61037.937500,32354
2020-10-22,61042.449219,62442.601563,60834.648438,62250.351563,62245.746094,24154
2020-10-23,62250.000000,63985.000000,62130.699219,63619.101563,63614.394531,31802
2020-10-26,63800.000000,64319.898438,62863.949219,63280.449219,63275.765625,30884
2020-10-27,64546.000000,69608.453125,63502.101563,68202.601563,68197.562500,88721
2020-10-28,68202.601563,68202.601563,65360.050781,66844.546875,66839.601563,46839
2020-10-29,66000.000000,68917.453125,65160.898438,67298.351563,67293.367188,50267
2020-10-30,67748.000000,68450.000000,64600.050781,65303.250000,65298.417969,51521
2020-11-02,65500.000000,66637.203125,64760.050781,66226.046875,66221.148438,32674
2020-11-03,66645.000000,67999.000000,66567.648438,67676.250000,67671.242188,29445
2020-11-04,67320.250000,69250.000000,67223.500000,68449.851563,68444.789063,33722
2020-11-05,69000.000000,69890.101563,68208.046875,68568.500000,68563.429688,32905
2020-11-06,69250.000000,69900.000000,68139.851563,68516.851563,68511.781250,47996
2020-11-09,69100.000000,70325.703125,68665.601563,69841.046875,69835.882813,36658
2020-11-10,70444.000000,70736.296875,68973.953125,69367.000000,69361.875000,36190
2020-11-11,69480.000000,70490.000000,67919.148438,68589.148438,68584.078125,43328
2020-11-12,68999.000000,69579.750000,68650.000000,69386.898438,69381.773438,20708
2020-11-13,69500.000000,72499.000000,69450.000000,71826.203125,71820.890625,48897
2020-11-14,null,null,null,null,null,null
2020-11-17,72288.000000,74650.000000,71926.000000,74095.453125,74089.968750,48299
2020-11-18,74095.453125,75400.000000,72374.296875,75041.000000,75038.484375,62263
2020-11-19,74500.000000,77399.000000,74106.953125,76831.351563,76828.781250,64112
2020-11-20,76959.000000,79500.000000,76800.000000,79069.398438,79066.750000,80370
2020-11-23,81160.000000,81249.398438,79200.046875,80114.500000,80111.812500,60161
2020-11-24,80300.000000,80950.000000,79100.546875,79840.148438,79837.476563,56578
2020-11-25,80800.000000,80800.000000,75653.000000,76311.750000,76309.195313,52953
2020-11-26,77000.000000,77543.953125,74305.250000,75820.046875,75817.507813,77903
2020-11-27,76500.000000,79228.953125,75300.000000,77738.648438,77736.046875,281075
2020-12-01,79400.000000,80102.351563,77777.500000,79564.296875,79561.632813,57627
2020-12-02,79800.000000,80000.000000,78631.953125,79781.250000,79778.578125,38286
2020-12-03,79773.296875,79800.000000,78500.000000,78894.648438,78892.007813,28657
2020-12-04,79399.953125,79600.000000,78200.000000,78698.148438,78695.515625,35870
2020-12-07,77887.296875,79995.000000,77887.296875,79527.648438,79524.984375,25469
2020-12-08,79600.000000,79984.296875,78862.796875,79161.796875,79159.148438,23532
2020-12-09,79495.000000,79600.796875,78000.046875,78371.296875,78368.671875,18683
2020-12-10,78499.000000,78745.351563,77350.101563,77615.203125,77612.601563,22452
2020-12-11,77990.000000,78396.703125,77300.000000,77878.351563,77875.742188,20832
2020-12-14,78400.000000,78400.000000,77300.000000,77547.648438,77545.046875,15865
2020-12-15,77547.648438,77800.000000,76800.000000,77286.351563,77283.765625,14509
2020-12-16,77383.000000,79180.398438,77380.000000,78618.851563,78616.218750,29876
2020-12-17,78625.000000,79166.296875,77000.000000,77291.148438,77288.562500,19833
2020-12-18,77900.000000,78190.000000,76850.000000,77571.546875,77568.945313,34069
2020-12-21,77638.000000,77793.148438,74545.453125,75277.703125,75275.179688,24201
2020-12-22,75477.000000,76709.851563,73777.750000,76096.351563,76093.804688,27697
2020-12-23,76000.000000,76850.000000,75406.398438,75854.851563,75852.312500,15368
2020-12-24,76400.000000,76549.953125,75550.000000,75892.351563,75889.812500,14445
2020-12-28,76100.000000,76840.203125,75008.851563,75366.703125,75364.179688,18088
2020-12-29,75899.000000,76000.000000,74860.000000,75677.546875,75675.015625,14694
2020-12-30,75561.046875,77672.750000,75300.000000,76925.101563,76922.523438,16171
2020-12-31,76600.000000,77339.953125,75310.148438,75750.453125,75747.914063,28028
2021-01-01,76000.000000,76334.351563,75550.000000,76021.648438,76019.101563,13254
2021-01-04,76200.648438,78900.000000,75900.000000,78402.203125,78399.578125,28145
2021-01-05,77800.000000,79373.000000,77700.000000,79053.000000,79050.351563,25539
2021-01-06,79053.000000,79800.000000,77619.203125,78752.250000,78749.609375,30427
2021-01-07,79500.000000,79500.000000,77000.000000,77332.601563,77330.007813,21765
2021-01-08,77780.000000,81399.000000,77600.000000,80602.101563,80599.398438,31729
2021-01-11,80700.000000,83000.000000,80500.000000,82507.898438,82505.132813,48475
2021-01-12,82400.000000,87000.000000,81712.398438,85746.898438,85744.023438,87936
2021-01-13,86200.000000,87399.953125,85300.000000,85642.296875,85639.429688,57619
2021-01-14,86300.000000,89938.101563,85785.000000,88749.648438,88746.671875,55671
2021-01-15,89150.000000,89823.898438,86401.296875,87551.750000,87548.820313,57495
2021-01-18,87800.000000,88165.601563,85111.250000,85661.851563,85658.984375,30785
2021-01-19,86150.000000,88005.703125,86150.000000,87197.546875,87194.625000,21305
2021-01-20,87800.000000,94120.148438,87600.601563,93081.500000,93078.382813,80494
