Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,23350.000000,23799.000000,23241.099609,23602.150391,23316.621094,16716
2020-01-02,23622.000000,23849.000000,23400.000000,23587.000000,23301.654297,17276
2020-01-03,23520.000000,23640.800781,23205.250000,23281.949219,23000.294922,14078
2020-01-06,23263.599609,23263.599609,22616.000000,22908.099609,22630.966797,21088
2020-01-07,22910.000000,23175.000000,22619.500000,22830.849609,22554.652344,25378
2020-01-08,22682.050781,23000.000000,22450.000000,22831.400391,22555.197266,38756
2020-01-09,23000.000000,23660.000000,22941.000000,23544.849609,23260.015625,58676
2020-01-10,23512.000000,23860.199219,23392.849609,23727.849609,23440.800781,41097
2020-01-13,23799.000000,23799.050781,23011.150391,23156.550781,22876.414063,33606
2020-01-14,23202.000000,24250.000000,23202.000000,23919.550781,23630.183594,58627
2020-01-15,23820.000000,24370.000000,23700.050781,24296.449219,24002.521484,23480
2020-01-16,24379.900391,25580.000000,24161.050781,25473.500000,25165.332031,51493
2020-01-17,25440.000000,25997.000000,25234.050781,25854.849609,25542.068359,27398
2020-01-20,26010.000000,26388.800781,25208.000000,25377.849609,25070.839844,38562
2020-01-21,25377.849609,25600.000000,25160.599609,25299.949219,24993.880859,79781
2020-01-22,25320.250000,25750.000000,25311.250000,25428.199219,25120.580078,16828
2020-01-23,25350.000000,25990.000000,25350.000000,25851.550781,25538.810547,20683
2020-01-24,25874.000000,26882.599609,25700.500000,26214.500000,25897.367188,42596
2020-01-27,26199.000000,26738.400391,26054.000000,26307.150391,25988.898438,32530
2020-01-28,26440.000000,26564.900391,25070.000000,25145.449219,24841.251953,43686
2020-01-29,25220.000000,25399.199219,24670.000000,25039.150391,24736.236328,43899
2020-01-30,25144.050781,25144.050781,24300.099609,24425.199219,24129.714844,36054
2020-01-31,24580.000000,24737.849609,24120.000000,24437.750000,24142.113281,22781
2020-02-03,23600.000000,24500.000000,23599.800781,24324.650391,24030.380859,31743
2020-02-04,24520.000000,24989.000000,24300.000000,24667.500000,24369.083984,27751
