Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,117.650002,118.849998,117.250000,118.400002,102.777962,4243195
2020-01-02,118.699997,120.300003,118.099998,119.849998,104.036644,2825976
2020-01-03,119.550003,121.250000,118.099998,118.750000,103.081779,3218434
2020-01-06,117.300003,118.099998,111.800003,112.900002,98.003647,4876125
2020-01-07,114.000000,118.800003,114.000000,116.949997,101.519279,5495135
2020-01-08,114.099998,116.599998,113.599998,116.050003,100.738029,3736437
2020-01-09,117.199997,119.900002,116.650002,119.500000,103.732819,3356743
2020-01-10,120.000000,122.800003,119.599998,121.650002,105.599144,4727024
2020-01-13,122.349998,125.400002,121.849998,125.000000,108.507133,5983829
2020-01-14,124.949997,124.949997,122.250000,122.750000,106.554008,3338713
2020-01-15,122.900002,125.500000,121.199997,124.650002,108.203316,4457519
2020-01-16,124.650002,125.050003,122.199997,123.349998,107.074837,2021597
2020-01-17,123.000000,123.400002,121.599998,121.949997,105.859558,1900992
2020-01-20,116.949997,117.300003,111.699997,112.349998,97.526215,16284063
2020-01-21,112.099998,112.650002,106.199997,106.650002,92.578285,13825454
2020-01-22,106.849998,111.900002,103.849998,108.849998,94.488014,44317545
2020-01-23,109.000000,116.150002,108.099998,113.099998,98.177254,93638290
2020-01-24,115.550003,118.349998,114.199997,116.349998,100.998444,13764798
2020-01-27,115.449997,118.699997,115.000000,115.849998,100.564415,6742629
2020-01-28,116.300003,117.400002,111.900002,116.000000,100.694618,11549591
2020-01-29,116.699997,119.500000,116.599998,118.099998,102.517540,11566055
2020-01-30,118.500000,120.300003,116.550003,119.500000,103.732819,10608180
2020-01-31,120.000000,120.199997,114.750000,116.650002,101.258865,9455973
2020-02-03,110.449997,114.599998,108.349998,113.949997,98.915100,6376289
2020-02-04,115.000000,117.000000,114.599998,116.050003,100.738029,4706293
2020-02-05,117.300003,124.550003,117.300003,122.900002,106.684212,14069624
2020-02-06,123.650002,124.500000,121.699997,123.699997,107.378654,7232172
2020-02-07,122.949997,126.000000,122.599998,125.349998,108.810951,6417744
2020-02-10,125.650002,127.500000,124.849998,125.750000,109.158173,6107164
2020-02-11,126.650002,128.000000,124.250000,125.349998,108.810951,4617984
2020-02-12,124.500000,127.349998,121.650002,126.650002,109.939430,16717668
2020-02-13,126.500000,127.199997,122.099998,126.050003,109.418594,14373889
2020-02-14,126.400002,130.699997,126.000000,126.650002,109.939430,13977719
2020-02-17,127.400002,130.149994,125.650002,126.449997,109.765816,7987532
2020-02-18,126.050003,128.250000,123.150002,127.650002,110.807487,7190254
2020-02-19,128.500000,130.600006,127.250000,129.600006,112.500206,5611653
2020-02-20,129.250000,133.399994,128.350006,132.250000,114.800545,8741766
2020-02-24,131.649994,133.149994,129.000000,129.399994,112.326584,6075291
2020-02-25,130.000000,130.949997,127.449997,128.850006,111.849159,4289748
2020-02-26,127.900002,130.250000,126.750000,127.199997,110.416855,7187251
2020-02-27,127.449997,127.849998,122.199997,125.099998,108.593941,12270327
2020-02-28,112.000000,112.000000,108.650002,109.449997,102.816666,18767230
2020-03-02,110.199997,114.300003,110.099998,111.599998,104.836365,11356547
2020-03-03,112.199997,114.849998,110.349998,113.250000,106.386360,16973247
2020-03-04,113.250000,114.599998,111.050003,113.550003,106.668182,9045800
2020-03-05,114.000000,115.500000,112.699997,113.050003,106.198486,4899636
2020-03-06,109.000000,112.099998,108.000000,110.500000,103.803032,7606458
2020-03-09,107.000000,108.349998,102.699997,104.300003,97.978790,5930234
2020-03-11,103.000000,106.250000,102.000000,102.800003,96.569702,7329584
2020-03-12,98.000000,98.849998,86.500000,90.400002,84.921211,7613471
2020-03-13,84.500000,103.949997,82.800003,102.449997,96.240906,12876713
2020-03-16,96.449997,97.500000,91.449997,92.300003,86.706062,4392408
2020-03-17,92.599998,99.199997,89.300003,90.250000,84.780304,8893430
2020-03-18,92.400002,95.300003,88.099998,93.599998,87.927269,8936970
2020-03-19,90.000000,94.349998,84.300003,89.099998,83.699997,7675504
2020-03-20,91.400002,94.800003,88.150002,91.750000,86.189392,5924163
2020-03-23,84.500000,86.500000,78.500000,81.400002,76.466667,4417506
2020-03-24,84.400002,86.800003,78.750000,79.500000,74.681816,6542372
2020-03-25,79.949997,86.900002,79.000000,86.250000,81.022728,4677571
2020-03-26,86.050003,94.199997,83.000000,92.400002,86.800003,6775122
2020-03-27,92.900002,96.750000,86.349998,88.250000,82.901512,4978809
2020-03-30,87.800003,92.550003,85.150002,88.750000,83.371208,3676713
2020-03-31,91.000000,94.250000,89.599998,91.949997,86.377266,3269543
2020-04-01,91.599998,94.199997,87.800003,88.900002,83.512123,5203910
2020-04-03,89.300003,90.400002,85.699997,86.250000,81.022728,3154782
2020-04-07,89.000000,90.400002,86.500000,89.400002,83.981819,3908629
2020-04-08,89.000000,94.650002,88.000000,91.099998,85.578789,4906215
2020-04-09,91.500000,92.849998,89.099998,90.699997,85.203026,4224306
2020-04-13,91.000000,91.400002,86.849998,88.300003,82.948486,3453484
2020-04-15,88.500000,91.800003,86.699997,88.449997,83.089394,7944438
2020-04-16,88.000000,91.199997,87.000000,89.900002,84.451515,4994942
2020-04-17,91.849998,97.800003,91.150002,93.650002,87.974243,11221882
2020-04-20,94.599998,95.000000,88.699997,89.300003,83.887878,6761725
2020-04-21,87.949997,88.849998,86.349998,87.449997,82.149994,3465704
2020-04-22,87.349998,87.699997,85.300003,87.099998,81.821213,4724381
2020-04-23,88.000000,92.500000,87.599998,91.800003,86.236366,5517980
2020-04-24,90.699997,94.349998,89.599998,91.050003,85.531822,7988140
2020-04-27,91.500000,92.650002,90.199997,91.900002,86.330307,3560256
2020-04-28,91.599998,92.849998,90.199997,90.750000,85.250000,3842246
2020-04-29,92.000000,97.400002,91.400002,94.849998,89.101517,13212762
2020-04-30,95.849998,96.599998,93.099998,95.400002,89.618179,7003372
2020-05-04,93.199997,93.199997,90.099998,91.300003,85.766670,3625888
2020-05-05,91.949997,93.849998,90.349998,90.699997,85.203026,7496264
2020-05-06,90.699997,91.400002,88.400002,89.900002,84.451515,5726081
2020-05-07,89.500000,90.750000,87.000000,87.349998,82.056061,4633480
2020-05-08,88.050003,88.849998,83.349998,84.050003,78.956062,7313248
2020-05-11,84.900002,86.150002,82.000000,84.050003,78.956062,7671512
2020-05-12,83.250000,83.650002,81.650002,82.699997,77.687874,4773417
2020-05-13,88.000000,92.199997,84.699997,89.650002,84.216667,18352966
2020-05-14,90.000000,92.699997,85.300003,85.800003,80.600006,13479649
2020-05-15,85.199997,86.599998,84.000000,84.150002,79.050003,6640817
2020-05-18,84.150002,84.699997,80.300003,81.250000,76.325760,5857623
2020-05-19,82.699997,82.849998,79.500000,80.300003,75.433334,5019349
2020-05-20,80.699997,81.599998,79.800003,81.000000,76.090912,5222207
2020-05-21,81.199997,81.400002,78.849998,79.099998,74.306061,5402312
2020-05-22,78.000000,78.449997,74.699997,74.849998,70.313637,10245618
2020-05-26,75.099998,76.199997,74.550003,75.099998,70.548485,3794151
2020-05-27,75.900002,77.150002,74.150002,76.900002,72.239395,9029660
2020-05-28,76.500000,78.150002,75.650002,77.300003,72.615150,6493182
2020-05-29,76.500000,79.400002,74.349998,75.199997,70.642418,26500157
2020-06-01,76.199997,82.949997,75.849998,81.699997,76.748482,22903105
2020-06-02,82.500000,84.199997,81.400002,82.500000,77.500000,8408943
2020-06-03,82.699997,84.900002,81.300003,81.949997,76.983330,11927844
2020-06-04,82.250000,83.250000,80.449997,80.750000,75.856064,4906562
2020-06-05,81.000000,87.199997,81.000000,86.050003,80.834854,14129062
2020-06-08,87.750000,89.449997,84.949997,85.599998,80.412117,11134328
2020-06-09,86.500000,86.699997,82.500000,82.849998,77.828789,9269785
2020-06-10,83.400002,85.800003,81.550003,85.400002,80.224243,10206443
2020-06-11,85.500000,87.000000,82.449997,82.849998,77.828789,11515344
2020-06-12,80.000000,84.000000,79.400002,83.599998,78.533333,11058836
2020-06-15,83.500000,84.349998,81.750000,82.599998,77.593941,9183250
2020-06-16,83.949997,86.650002,81.699997,82.800003,77.781822,12201830
2020-06-17,82.199997,85.800003,81.300003,83.750000,78.674240,12712118
2020-06-18,83.400002,85.849998,82.599998,85.599998,80.412117,9662066
2020-06-19,86.500000,86.849998,84.800003,85.199997,80.036362,9018979
2020-06-22,86.000000,91.300003,85.400002,90.599998,85.109093,20965625
2020-06-23,91.349998,91.500000,89.000000,89.199997,83.793938,9897102
2020-06-24,90.000000,91.949997,87.000000,87.949997,82.619698,10500612
2020-06-25,86.699997,91.699997,86.400002,90.000000,84.545456,13560718
2020-06-26,91.199997,91.599998,89.150002,90.099998,84.639389,5561165
2020-06-29,89.800003,89.849998,86.650002,87.150002,81.868179,3635612
2020-06-30,87.699997,88.500000,82.900002,84.000000,78.909088,10983684
2020-07-01,84.650002,85.500000,83.550003,84.650002,79.519699,5254933
2020-07-02,85.699997,85.900002,84.349998,85.000000,79.848488,4046963
2020-07-03,85.699997,85.849998,83.849998,84.199997,79.096970,4568234
2020-07-06,84.550003,88.500000,84.300003,87.699997,82.384842,19163107
