Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,10060.000000,10189.849609,10052.950195,10078.549805,9805.977539,5816
2020-06-09,10100.000000,10136.950195,9900.000000,9933.799805,9665.141602,4470
2020-06-10,9900.000000,9995.049805,9900.000000,9953.200195,9684.017578,1988
2020-06-11,9990.000000,9990.000000,9917.049805,9968.750000,9699.146484,1412
2020-06-12,9802.049805,9979.000000,9800.000000,9960.400391,9691.022461,2738
2020-06-15,9866.299805,10049.900391,9866.299805,10000.000000,9729.551758,8090
2020-06-16,10002.000000,10100.000000,9885.950195,9909.950195,9641.936523,11660
2020-06-17,9939.700195,10050.000000,9840.650391,9987.400391,9717.291992,5920
2020-06-18,9980.000000,10040.000000,9900.000000,10006.650391,9736.022461,2357
2020-06-19,10020.000000,10055.450195,9773.950195,9839.000000,9572.905273,10164
2020-06-22,9949.000000,9949.000000,9851.000000,9877.099609,9609.975586,15029
2020-06-23,9895.849609,9940.000000,9878.000000,9919.750000,9651.471680,22063
2020-06-24,9971.000000,10050.000000,9790.650391,9953.549805,9684.358398,9382
2020-06-25,9851.299805,10098.000000,9850.000000,9929.200195,9660.666992,15190
2020-06-26,9930.049805,10239.900391,9859.500000,10168.000000,9893.007813,5492
2020-06-29,10168.000000,10200.000000,9999.000000,10175.099609,9899.916016,2474
2020-06-30,10177.000000,10199.950195,10100.049805,10151.650391,9877.100586,1673
2020-07-01,10016.000000,10294.950195,10016.000000,10233.400391,9956.640625,4146
2020-07-02,10320.000000,10385.000000,10120.000000,10238.000000,9961.114258,4465
2020-07-03,10343.950195,10376.700195,10185.599609,10348.200195,10068.334961,2758
2020-07-06,10367.000000,10399.900391,10211.799805,10319.650391,10040.557617,3837
2020-07-07,10319.650391,10391.950195,10225.599609,10352.799805,10072.809570,2548
2020-07-08,10350.000000,11352.750000,10041.000000,10970.500000,10673.804688,29829
2020-07-09,10688.000000,10790.150391,10538.000000,10622.900391,10335.605469,7292
2020-07-10,10646.000000,10646.000000,10325.049805,10382.099609,10101.317383,3949
2020-07-13,10412.000000,10646.000000,10250.200195,10339.700195,10060.065430,5555
2020-07-14,10330.000000,10525.000000,10100.000000,10150.799805,9876.273438,6793
2020-07-15,10295.000000,10443.400391,10120.000000,10249.549805,9972.352539,15092
2020-07-16,10397.000000,10479.849609,10171.000000,10293.950195,10015.551758,6262
2020-07-17,10299.950195,10512.000000,10201.000000,10486.700195,10203.089844,6769
2020-07-20,10511.950195,10899.000000,10281.700195,10678.099609,10389.311523,9873
2020-07-21,10678.150391,10777.950195,10501.000000,10701.250000,10411.835938,4762
2020-07-22,10750.000000,10789.950195,10536.150391,10713.750000,10423.998047,4365
2020-07-23,10620.000000,10844.750000,10620.000000,10722.599609,10432.608398,6669
2020-07-24,10722.599609,10897.950195,10655.000000,10809.299805,10516.963867,19769
2020-07-27,10810.000000,10859.950195,10655.000000,10691.750000,10402.593750,2171
2020-07-28,10615.200195,10820.049805,10475.000000,10514.750000,10230.380859,3542
2020-07-29,10501.000000,10524.500000,10280.049805,10329.450195,10050.092773,8399
2020-07-30,10335.000000,10488.000000,10150.000000,10333.000000,10053.544922,9498
2020-07-31,10364.450195,10424.000000,10251.049805,10351.849609,10071.885742,2265
2020-08-03,10389.950195,10450.500000,10225.049805,10381.500000,10100.734375,3275
2020-08-04,10480.000000,10480.000000,10291.000000,10299.349609,10020.805664,2447
2020-08-05,10299.349609,10428.200195,10250.000000,10291.400391,10013.070313,3514
2020-08-06,10299.950195,10365.000000,10251.250000,10290.549805,10012.244141,1007
2020-08-07,10320.000000,10425.000000,10251.250000,10311.400391,10032.530273,12864
2020-08-10,10301.000000,10380.000000,10175.000000,10268.849609,9991.130859,3070
2020-08-11,10341.549805,10341.599609,10185.000000,10198.250000,9922.440430,13363
2020-08-12,10198.299805,10248.000000,10151.500000,10174.349609,9899.185547,2799
2020-08-13,10210.000000,10230.000000,10125.500000,10152.650391,9878.073242,1588
2020-08-14,10278.000000,10278.000000,9987.000000,10044.900391,9773.237305,18382
2020-08-17,10111.000000,10300.000000,10015.150391,10053.049805,9781.166992,3837
2020-08-18,10010.049805,10098.950195,10010.049805,10039.349609,9767.836914,3854
2020-08-19,10039.349609,10110.950195,9927.500000,9948.349609,9679.298828,11194
2020-08-20,9998.900391,10200.000000,9925.000000,10081.400391,9808.750977,20807
2020-08-21,10154.000000,10269.700195,10074.349609,10168.299805,9893.299805,16894
2020-08-24,10249.000000,10249.000000,9991.049805,10161.900391,9887.073242,15208
2020-08-25,10200.000000,10450.000000,10030.000000,10301.599609,10022.995117,29767
2020-08-26,10707.099609,10707.099609,10111.000000,10242.150391,9965.153320,10518
2020-08-27,10345.000000,10391.950195,10096.549805,10124.849609,9851.024414,20718
2020-08-28,10199.000000,10238.950195,10100.150391,10133.250000,9859.198242,18826
2020-08-31,10270.000000,10270.000000,9949.799805,9986.849609,9716.756836,8543
2020-09-01,10095.000000,10095.000000,9950.099609,9999.099609,9728.676758,2228
2020-09-02,9999.000000,10180.000000,9975.000000,10107.200195,9833.852539,71637
2020-09-03,10194.599609,10250.000000,10100.000000,10167.750000,9892.764648,3481
2020-09-04,10005.000000,10233.000000,10005.000000,10076.599609,9804.079102,3955
2020-09-07,10016.049805,10170.650391,10005.500000,10092.400391,9819.453125,4719
2020-09-08,10092.400391,10160.000000,10042.049805,10088.750000,9815.901367,2038
2020-09-09,10086.950195,10169.900391,10032.049805,10160.799805,9886.002930,3370
2020-09-10,10160.000000,10184.799805,9950.200195,10108.950195,9835.554688,5260
2020-09-11,10082.000000,10173.750000,10005.000000,10026.000000,9754.848633,2770
2020-09-14,10100.000000,10134.950195,9980.000000,9997.500000,9727.118164,5382
2020-09-15,10000.049805,10150.000000,10000.049805,10081.650391,9808.994141,4904
2020-09-16,10129.950195,10161.950195,10010.049805,10038.250000,9766.767578,3694
2020-09-17,10099.000000,10099.950195,9960.049805,9976.549805,9706.735352,2797
2020-09-18,10038.400391,10038.400391,9861.250000,9902.549805,9634.737305,4118
2020-09-21,9895.000000,9948.549805,9737.250000,9870.500000,9603.554688,8602
2020-09-22,9868.000000,9974.000000,9691.400391,9943.650391,9674.726563,4498
2020-09-23,10000.000000,10100.000000,9840.099609,9959.049805,9689.708984,1951
2020-09-24,9959.049805,9959.049805,9812.799805,9854.700195,9588.180664,5191
2020-09-25,9856.299805,9970.000000,9761.000000,9896.299805,9628.656250,7343
2020-09-28,9940.000000,9976.049805,9864.500000,9887.450195,9620.045898,2380
2020-09-29,9907.799805,10010.099609,9867.900391,9871.549805,9604.575195,8426
2020-09-30,9950.000000,9969.000000,9880.099609,9946.700195,9677.693359,2622
2020-10-01,9935.150391,9987.900391,9780.549805,9866.500000,9599.663086,7698
2020-10-05,9910.000000,10000.000000,9832.299805,9894.250000,9626.662109,5266
2020-10-06,9946.099609,9946.200195,9825.000000,9872.250000,9605.257813,15731
2020-10-07,9946.000000,9949.849609,9861.400391,9935.299805,9666.601563,13808
2020-10-08,9932.000000,9976.450195,9860.049805,9942.700195,9673.801758,7318
2020-10-09,9976.000000,9990.000000,9862.299805,9971.450195,9701.773438,2539
2020-10-12,9961.150391,10026.049805,9938.000000,10001.250000,9730.767578,2936
2020-10-13,10040.000000,10168.000000,9961.150391,10127.549805,9853.652344,4474
2020-10-14,10122.000000,10148.349609,10018.000000,10098.049805,9824.950195,4296
2020-10-15,10135.000000,10135.000000,9973.349609,10074.099609,9801.647461,8392
2020-10-16,10069.950195,10159.000000,10018.450195,10112.500000,9839.008789,5043
2020-10-19,10180.000000,10180.000000,10076.099609,10149.549805,9875.056641,1420
2020-10-20,10096.049805,10168.700195,10000.000000,10083.900391,9811.182617,4007
2020-10-21,10042.299805,10180.000000,10042.299805,10152.900391,9878.317383,4902
2020-10-22,10144.400391,10325.000000,10041.150391,10269.299805,9991.568359,4693
2020-10-23,10300.000000,10325.000000,10191.049805,10309.900391,10031.070313,6592
2020-10-26,10301.000000,10460.000000,10209.900391,10383.700195,10102.875000,3905
2020-10-27,10459.950195,10459.950195,10242.099609,10388.549805,10107.593750,2939
2020-10-28,10444.950195,10444.950195,10247.799805,10361.500000,10081.274414,2333
2020-10-29,10349.900391,10425.049805,10300.000000,10388.900391,10107.934570,3158
2020-10-30,10399.950195,10400.000000,10100.200195,10197.099609,9921.320313,1751
2020-11-02,10200.000000,10395.849609,10145.049805,10209.150391,9933.045898,3803
2020-11-03,10210.000000,10329.700195,10141.049805,10200.200195,9924.336914,22504
2020-11-04,10100.099609,10271.849609,10100.099609,10186.349609,9910.862305,9500
2020-11-05,10186.349609,10350.000000,10111.049805,10177.500000,9902.250977,1850
2020-11-06,10180.000000,10290.000000,10160.900391,10261.599609,9984.075195,1517
2020-11-09,10260.799805,10364.000000,10223.299805,10240.450195,9963.500000,1656
2020-11-10,10229.000000,11716.000000,9981.000000,11318.599609,11012.490234,67479
2020-11-11,11493.000000,11493.000000,10650.000000,10989.299805,10692.096680,35295
2020-11-12,10955.049805,10970.000000,10740.500000,10786.500000,10494.781250,6803
2020-11-13,10778.000000,10821.000000,10640.000000,10707.700195,10520.523438,3638
2020-11-14,null,null,null,null,null,null
2020-11-17,10899.900391,10927.349609,10580.000000,10618.700195,10433.079102,5047
2020-11-18,10645.049805,10754.400391,10500.000000,10580.549805,10395.595703,2835
2020-11-19,10700.200195,10700.200195,10453.000000,10482.750000,10299.504883,3767
2020-11-20,10482.750000,10617.000000,10361.000000,10500.349609,10316.796875,37128
2020-11-23,10600.000000,10799.950195,10556.000000,10678.650391,10491.981445,7817
2020-11-24,10678.650391,10774.000000,10570.000000,10602.950195,10417.603516,18308
2020-11-25,10575.000000,10818.700195,10575.000000,10663.750000,10477.341797,12579
2020-11-26,10675.750000,10726.700195,10540.750000,10646.200195,10460.097656,9320
2020-11-27,10565.200195,10800.000000,10494.299805,10519.900391,10336.006836,13732
2020-12-01,10619.200195,10719.500000,10548.299805,10659.950195,10473.608398,8053
2020-12-02,10659.950195,10700.000000,10511.000000,10560.099609,10375.502930,9588
2020-12-03,10651.950195,11429.500000,10490.349609,10949.099609,10757.703125,26378
2020-12-04,10997.000000,11261.000000,10696.650391,10940.650391,10749.401367,10222
2020-12-07,11000.000000,11050.000000,10851.150391,10960.049805,10768.461914,4042
2020-12-08,10990.000000,11011.549805,10870.000000,10934.700195,10743.554688,6289
2020-12-09,10930.000000,10993.099609,10870.000000,10901.200195,10710.640625,4105
2020-12-10,10900.000000,11380.000000,10845.599609,11197.450195,11001.711914,10499
2020-12-11,11198.000000,11398.750000,11155.799805,11333.900391,11135.776367,12437
2020-12-14,11206.000000,11456.099609,11206.000000,11403.450195,11204.111328,6620
2020-12-15,11403.450195,11544.000000,11250.000000,11375.500000,11176.649414,7929
2020-12-16,11302.000000,11449.900391,11160.299805,11205.549805,11009.669922,5202
2020-12-17,11156.000000,11368.450195,11055.299805,11179.549805,10984.124023,7041
2020-12-18,11148.000000,11229.000000,10977.849609,10998.049805,10805.796875,5851
2020-12-21,11069.049805,11069.150391,10920.049805,10959.150391,10767.578125,23534
2020-12-22,10959.000000,11031.150391,10755.049805,10903.849609,10713.243164,14999
2020-12-23,11000.000000,11119.150391,10959.950195,11033.250000,10840.381836,2273
2020-12-24,11055.849609,11198.000000,10922.099609,11086.950195,10893.143555,5290
2020-12-28,11250.950195,11900.000000,10743.349609,10969.900391,10778.139648,86747
2020-12-29,11041.000000,11315.700195,10920.099609,11064.200195,10870.791992,35679
2020-12-30,11199.799805,11344.000000,11011.000000,11183.049805,10987.563477,19796
2020-12-31,11300.000000,11323.000000,10960.000000,11072.299805,10878.750000,13284
2021-01-01,11167.000000,11248.950195,10950.000000,11012.400391,10819.896484,10688
2021-01-04,11175.000000,11175.000000,10960.000000,10998.200195,10805.945313,15091
2021-01-05,11000.000000,11125.000000,10965.000000,11106.950195,10912.793945,7814
2021-01-06,11042.000000,11266.049805,11042.000000,11236.500000,11040.079102,9145
2021-01-07,11290.000000,11350.000000,11202.900391,11229.299805,11033.004883,5398
2021-01-08,11291.400391,11320.000000,11089.549805,11257.049805,11060.270508,4725
2021-01-11,11260.000000,11350.000000,11130.000000,11256.299805,11059.533203,12010
2021-01-12,11201.049805,11350.000000,11201.049805,11315.849609,11118.041992,6451
2021-01-13,11358.000000,11375.549805,11300.000000,11340.849609,11142.604492,5353
2021-01-14,11347.650391,11399.000000,11234.349609,11357.400391,11158.866211,4491
2021-01-15,11399.000000,11484.900391,11331.000000,11370.549805,11171.786133,14205
2021-01-18,11330.000000,11426.400391,11235.400391,11316.049805,11118.238281,9900
2021-01-19,11250.000000,11449.000000,11250.000000,11375.750000,11176.894531,5458
2021-01-20,11390.000000,11434.450195,11262.000000,11350.000000,11151.595703,4192
2021-01-21,11310.000000,11400.000000,11152.849609,11228.849609,11032.562500,9045
2021-01-22,11360.000000,11400.000000,11250.049805,11289.500000,11092.152344,3854
2021-01-25,11340.400391,11389.950195,11139.400391,11273.950195,11076.874023,3022
2021-01-27,11348.950195,11348.950195,11151.750000,11229.250000,11032.956055,5923
2021-01-28,11219.950195,11350.099609,11196.099609,11263.700195,11066.803711,6986
2021-01-29,11320.400391,11370.000000,11202.099609,11306.150391,11108.512695,3926
2021-02-01,11307.000000,11350.549805,11150.200195,11296.150391,11098.686523,3877
2021-02-02,11289.950195,11354.049805,11100.000000,11120.750000,10926.352539,20784
2021-02-03,11211.849609,11443.950195,11100.000000,11359.849609,11161.273438,9983
2021-02-04,12319.849609,12600.000000,11800.000000,12292.849609,12077.963867,131452
2021-02-05,12401.000000,12454.450195,12100.000000,12356.650391,12140.649414,23783
2021-02-08,12356.650391,12799.000000,12355.650391,12708.799805,12486.642578,15820
2021-02-09,12800.000000,12985.400391,12735.000000,12762.950195,12539.846680,39465
2021-02-10,12780.000000,12885.250000,12501.000000,12533.700195,12397.167969,7296
2021-02-11,12600.000000,13173.250000,12600.000000,13022.549805,12880.692383,34527
2021-02-12,13180.000000,13600.000000,13000.000000,13454.450195,13307.887695,19946
2021-02-15,13455.000000,13799.950195,13450.400391,13529.849609,13382.465820,11080
2021-02-16,13530.000000,13800.000000,13006.549805,13109.349609,12966.546875,9423
2021-02-17,13323.000000,13478.349609,12855.099609,13224.250000,13080.195313,11865
2021-02-18,13398.000000,13499.000000,13140.000000,13232.349609,13088.207031,6951
2021-02-19,13232.000000,13348.750000,12850.000000,12926.700195,12785.886719,11608
2021-02-22,12980.000000,13150.000000,12850.250000,13051.250000,12909.080078,8869
2021-02-23,13139.799805,13139.799805,12870.000000,12977.049805,12835.687500,7409
