Date,Open,High,Low,Close,Adj Close,Volume
2020-06-08,35.500000,35.500000,32.250000,32.599998,32.599998,103763917
2020-06-09,33.000000,33.500000,31.500000,31.799999,31.799999,63883963
2020-06-10,32.000000,34.099998,31.650000,33.849998,33.849998,83659985
2020-06-11,34.500000,35.200001,32.549999,32.799999,32.799999,97137720
2020-06-12,31.000000,33.200001,30.900000,33.049999,33.049999,51625110
2020-06-15,33.000000,34.150002,32.049999,33.650002,33.650002,50672408
2020-06-16,34.500000,34.849998,31.900000,33.150002,33.150002,62031926
2020-06-17,32.900002,33.900002,32.500000,33.150002,33.150002,48129227
2020-06-18,33.099998,34.200001,32.900002,33.900002,33.900002,41940209
2020-06-19,34.500000,34.650002,33.900002,34.500000,34.500000,47807176
2020-06-22,35.849998,36.000000,35.000000,35.799999,35.799999,89826409
2020-06-23,36.000000,37.900002,35.900002,37.450001,37.450001,83901309
2020-06-24,38.000000,38.400002,36.250000,36.500000,36.500000,70619520
2020-06-25,36.299999,37.599998,35.549999,37.099998,37.099998,57452358
2020-06-26,37.650002,37.950001,36.400002,36.599998,36.599998,37644978
2020-06-29,36.200001,36.400002,35.150002,35.349998,35.349998,29067559
2020-06-30,35.799999,36.150002,34.549999,34.750000,34.750000,22906001
2020-07-01,35.000000,36.549999,34.500000,36.400002,36.400002,39413754
2020-07-02,36.599998,37.049999,36.099998,36.250000,36.250000,26984117
2020-07-03,36.500000,36.549999,35.799999,35.950001,35.950001,19474324
2020-07-06,36.250000,37.299999,36.000000,37.099998,37.099998,36388175
2020-07-07,37.299999,37.349998,36.099998,36.799999,36.799999,33765918
2020-07-08,36.650002,38.750000,36.599998,37.250000,37.250000,81536214
2020-07-09,37.799999,38.000000,36.849998,37.099998,37.099998,38093561
2020-07-10,35.849998,36.099998,34.599998,35.049999,35.049999,101789230
2020-07-13,35.400002,35.450001,34.299999,34.549999,34.549999,28822642
2020-07-14,34.400002,34.450001,33.400002,33.549999,33.549999,22087745
2020-07-15,33.700001,34.150002,32.750000,33.000000,33.000000,22966651
2020-07-16,33.000000,33.450001,32.250000,33.250000,33.250000,17806805
2020-07-17,33.450001,33.799999,33.200001,33.599998,33.599998,15740313
2020-07-20,33.900002,34.750000,33.599998,34.549999,34.549999,19422869
2020-07-21,34.950001,35.200001,34.299999,34.750000,34.750000,25336284
2020-07-22,34.849998,35.099998,33.900002,34.250000,34.250000,26175681
2020-07-23,34.099998,34.700001,34.049999,34.299999,34.299999,18325343
2020-07-24,34.099998,34.200001,33.150002,33.549999,33.549999,20991861
2020-07-27,33.650002,33.650002,32.250000,32.299999,32.299999,22869574
2020-07-28,32.349998,32.650002,31.750000,32.099998,32.099998,24366835
2020-07-29,32.099998,33.549999,32.099998,32.750000,32.750000,28066086
2020-07-30,32.799999,33.099998,31.650000,31.750000,31.750000,26795059
2020-07-31,31.900000,32.150002,31.250000,31.950001,31.950001,30715605
2020-08-03,32.000000,33.349998,31.850000,32.900002,32.900002,36462460
2020-08-04,32.849998,32.900002,32.049999,32.500000,32.500000,21120742
2020-08-05,32.650002,33.150002,32.450001,32.599998,32.599998,17765292
2020-08-06,32.599998,32.900002,32.250000,32.349998,32.349998,21224081
2020-08-07,32.500000,32.950001,32.250000,32.799999,32.799999,18254674
2020-08-10,33.000000,33.299999,32.700001,32.849998,32.849998,18269324
2020-08-11,32.799999,33.099998,32.500000,32.849998,32.849998,16076250
2020-08-12,33.000000,34.700001,33.000000,33.799999,33.799999,60046401
2020-08-13,34.000000,34.299999,32.900002,33.250000,33.250000,24293216
2020-08-14,33.500000,33.500000,31.950001,32.250000,32.250000,27201356
2020-08-17,32.549999,32.599998,31.850000,32.450001,32.450001,21850726
2020-08-18,32.549999,33.000000,32.200001,32.849998,32.849998,25200592
2020-08-19,34.250000,34.599998,33.700001,34.200001,34.200001,64987250
2020-08-20,34.000000,35.250000,33.599998,35.099998,35.099998,45593468
2020-08-21,35.250000,36.700001,35.250000,35.650002,35.650002,68760804
2020-08-24,36.450001,36.599998,34.900002,35.299999,35.299999,38104044
2020-08-25,35.299999,35.650002,35.099998,35.200001,35.200001,24142450
2020-08-26,35.650002,35.700001,35.200001,35.400002,35.400002,18538663
2020-08-27,35.400002,36.450001,35.150002,35.299999,35.299999,44653828
2020-08-28,35.500000,37.400002,35.500000,37.049999,37.049999,85959987
2020-08-31,38.200001,38.599998,34.700001,35.049999,35.049999,75996857
2020-09-01,35.200001,35.750000,33.799999,34.700001,34.700001,42207150
2020-09-02,35.000000,35.150002,34.150002,34.799999,34.799999,29193200
2020-09-03,34.900002,35.049999,34.400002,34.500000,34.500000,13929020
2020-09-04,33.799999,34.200001,33.500000,33.650002,33.650002,20522901
2020-09-07,33.849998,34.049999,33.500000,33.799999,33.799999,16504375
2020-09-08,33.799999,34.000000,33.400002,33.650002,33.650002,13245081
2020-09-09,33.000000,33.299999,32.549999,32.900002,32.900002,14722712
2020-09-10,33.200001,33.650002,33.150002,33.549999,33.549999,13592699
2020-09-11,33.299999,33.849998,33.299999,33.700001,33.700001,11540634
2020-09-14,33.799999,34.049999,33.349998,33.599998,33.599998,13826555
2020-09-15,33.950001,33.950001,33.000000,33.299999,33.299999,23921967
2020-09-16,33.349998,33.700001,32.750000,33.599998,33.599998,26126290
2020-09-17,33.250000,33.549999,33.000000,33.250000,33.250000,14159296
2020-09-18,33.349998,33.450001,32.349998,32.599998,32.599998,26475003
2020-09-21,32.549999,32.599998,30.400000,30.650000,30.650000,28356034
2020-09-22,30.750000,30.799999,29.500000,30.049999,30.049999,30887287
2020-09-23,30.500000,30.500000,28.900000,29.350000,29.350000,37098972
2020-09-24,28.950001,29.100000,27.950001,28.049999,28.049999,26290043
2020-09-25,28.250000,29.250000,27.650000,29.049999,29.049999,31735862
2020-09-28,29.500000,30.250000,29.200001,30.150000,30.150000,20887757
2020-09-29,30.200001,30.400000,28.700001,29.100000,29.100000,30263021
2020-09-30,29.000000,29.000000,28.299999,28.549999,28.549999,26580672
2020-10-01,27.799999,29.000000,27.700001,28.000000,28.000000,62176969
2020-10-05,28.400000,28.850000,28.049999,28.299999,28.299999,35375815
2020-10-06,28.450001,28.600000,28.100000,28.350000,28.350000,25184933
2020-10-07,28.350000,28.549999,27.650000,27.750000,27.750000,33248097
2020-10-08,28.049999,28.700001,27.750000,27.799999,27.799999,31575254
2020-10-09,28.000000,29.000000,27.650000,28.900000,28.900000,41073470
2020-10-12,29.299999,29.750000,28.250000,28.450001,28.450001,33394203
2020-10-13,28.400000,28.500000,27.750000,27.850000,27.850000,25015960
2020-10-14,27.799999,28.350000,27.500000,28.150000,28.150000,32332343
2020-10-15,28.350000,28.549999,27.500000,27.700001,27.700001,18354893
2020-10-16,27.799999,27.950001,27.350000,27.450001,27.450001,17640916
2020-10-19,27.750000,28.049999,27.600000,27.950001,27.950001,23518488
2020-10-20,27.900000,27.900000,27.250000,27.350000,27.350000,19887927
2020-10-21,27.500000,27.799999,27.049999,27.200001,27.200001,22428270
2020-10-22,27.200001,27.400000,27.150000,27.200001,27.200001,11303327
2020-10-23,27.400000,27.500000,27.200001,27.400000,27.400000,10787905
2020-10-26,27.549999,28.250000,27.450001,28.000000,28.000000,32461849
2020-10-27,28.000000,28.000000,27.049999,27.350000,27.350000,37298613
2020-10-28,27.450001,27.650000,26.950001,27.100000,27.100000,29350576
2020-10-29,27.000000,27.000000,26.299999,26.600000,26.600000,33996026
2020-10-30,26.799999,27.200001,26.500000,26.750000,26.750000,25772525
2020-11-02,27.100000,28.400000,26.750000,27.950001,27.950001,53642960
2020-11-03,28.049999,28.350000,27.299999,27.799999,27.799999,72403902
2020-11-04,27.900000,27.950001,26.950001,27.450001,27.450001,46812632
2020-11-05,27.700001,28.150000,27.400000,27.700001,27.700001,34167763
2020-11-06,27.750000,28.200001,27.600000,27.750000,27.750000,32382743
2020-11-09,27.950001,28.900000,27.850000,28.600000,28.600000,48174136
2020-11-10,28.900000,29.799999,28.600000,29.600000,29.600000,46493213
2020-11-11,29.799999,30.299999,28.850000,29.250000,29.250000,49278768
2020-11-12,29.250000,29.500000,28.900000,29.100000,29.100000,27200167
2020-11-13,29.150000,29.549999,28.350000,29.500000,29.500000,33735974
2020-11-14,null,null,null,null,null,null
2020-11-17,29.600000,30.200001,29.400000,29.850000,29.850000,30880948
2020-11-18,29.799999,31.250000,29.600000,30.850000,30.850000,78369100
2020-11-19,30.850000,30.850000,29.750000,30.000000,30.000000,29648439
2020-11-20,29.950001,30.200001,29.549999,29.799999,29.799999,23624084
2020-11-23,29.950001,30.150000,29.750000,30.049999,30.049999,21909692
2020-11-24,30.299999,30.600000,29.799999,30.400000,30.400000,30470938
2020-11-25,30.650000,32.599998,30.549999,31.350000,31.350000,99621016
2020-11-26,31.400000,32.200001,30.900000,32.049999,32.049999,48077667
2020-11-27,32.150002,34.150002,32.049999,33.450001,33.450001,71951138
2020-12-01,33.900002,34.650002,33.299999,34.450001,34.450001,58487858
2020-12-02,34.549999,35.049999,33.500000,33.950001,33.950001,77155079
2020-12-03,34.349998,36.049999,34.150002,35.799999,35.799999,90403528
2020-12-04,36.250000,36.700001,34.750000,35.650002,35.650002,120208081
2020-12-07,35.599998,36.400002,35.400002,35.750000,35.750000,82840809
2020-12-08,36.000000,41.099998,35.900002,40.599998,40.599998,227310533
2020-12-09,42.200001,42.650002,39.150002,39.400002,39.400002,216961308
2020-12-10,39.400002,39.400002,38.099998,38.400002,38.400002,63379052
2020-12-11,38.599998,41.400002,38.599998,40.500000,40.500000,116536838
2020-12-14,41.000000,41.500000,40.700001,41.250000,41.250000,52117435
2020-12-15,41.250000,41.299999,39.700001,40.599998,40.599998,56929480
