Date,Open,High,Low,Close,Adj Close,Volume
2020-06-16,165.699997,166.250000,161.449997,162.699997,152.187927,7859719
2020-06-17,160.850006,161.800003,158.350006,159.500000,149.194672,15958699
2020-06-18,160.699997,166.300003,159.500000,165.449997,154.760254,11093064
2020-06-19,165.850006,172.300003,165.050003,171.399994,160.325806,12137298
2020-06-22,176.399994,179.750000,170.649994,178.600006,167.060638,18584856
2020-06-23,181.500000,189.000000,179.050003,187.449997,175.338837,19292670
2020-06-24,186.750000,188.399994,177.000000,178.500000,166.967087,18512175
2020-06-25,178.399994,183.300003,174.350006,179.350006,167.762177,23011764
2020-06-26,180.949997,182.100006,178.149994,179.199997,167.621841,6724171
2020-06-29,178.000000,180.300003,177.149994,178.250000,166.733246,4245300
2020-06-30,179.000000,179.949997,174.000000,174.850006,163.552917,6687893
2020-07-01,175.000000,175.399994,171.899994,173.449997,162.243347,8555581
2020-07-02,173.500000,176.800003,172.600006,175.100006,163.786758,8708121
2020-07-03,176.000000,179.399994,175.100006,177.600006,166.125244,12780027
2020-07-06,178.399994,178.699997,175.800003,178.000000,166.499390,6595019
2020-07-07,178.500000,178.500000,171.699997,173.100006,161.915985,11731266
2020-07-08,173.000000,174.649994,168.800003,169.750000,158.782425,9460434
2020-07-09,170.500000,172.500000,169.500000,171.550003,160.466141,9061924
2020-07-10,171.600006,173.750000,169.500000,172.600006,161.448288,13392727
2020-07-13,172.600006,174.199997,168.199997,169.100006,158.174438,6077138
2020-07-14,168.500000,168.800003,163.000000,163.350006,152.795944,9162522
2020-07-15,165.050003,166.300003,163.100006,163.550003,152.983017,8472074
2020-07-16,164.500000,164.500000,159.500000,162.199997,151.720230,8695671
2020-07-17,161.649994,163.850006,161.649994,163.300003,152.749146,7712963
2020-07-20,163.300003,164.250000,162.350006,163.500000,152.936234,4719698
2020-07-21,164.100006,174.449997,164.100006,173.649994,162.430435,18966124
2020-07-22,174.000000,181.399994,173.800003,179.649994,168.042786,25917938
2020-07-23,178.000000,182.550003,177.449997,181.750000,170.007095,10540237
2020-07-24,179.500000,183.250000,178.649994,182.000000,170.240952,8121883
2020-07-27,181.300003,181.550003,178.750000,180.899994,169.212021,6715552
2020-07-28,180.199997,182.850006,178.699997,181.899994,170.147415,6690234
2020-07-29,181.300003,184.500000,180.500000,181.750000,170.007095,7501498
2020-07-30,182.500000,183.250000,175.600006,176.850006,165.423706,13497260
2020-07-31,176.600006,179.350006,176.199997,178.300003,166.780014,8074445
2020-08-03,179.000000,179.500000,174.100006,178.550003,167.013855,7031808
2020-08-04,177.850006,179.050003,175.600006,178.250000,166.733246,5415896
2020-08-05,177.050003,177.949997,175.149994,175.949997,164.581848,5950011
2020-08-06,176.649994,177.750000,175.399994,175.899994,164.535065,4817284
2020-08-07,175.800003,177.949997,175.250000,175.949997,164.581848,4515135
2020-08-10,176.850006,178.800003,176.250000,177.250000,165.797836,4368455
2020-08-11,178.149994,182.350006,175.550003,176.850006,165.423706,12281375
2020-08-12,176.199997,179.449997,173.199997,178.050003,166.546158,10932556
2020-08-13,179.949997,180.300003,176.399994,178.750000,167.200943,5985571
2020-08-14,180.649994,180.649994,174.100006,175.399994,164.067368,9635687
2020-08-17,176.000000,182.500000,175.600006,178.649994,167.107391,9769553
2020-08-18,179.850006,179.899994,176.550003,177.750000,166.265549,7813201
2020-08-19,178.500000,179.399994,177.050003,177.350006,165.891388,6975364
2020-08-20,177.199997,188.100006,176.449997,181.199997,169.492645,24785430
