Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,385.049988,411.700012,385.049988,406.649994,402.711884,5731680
2020-06-02,406.649994,424.899994,404.000000,414.799988,410.782959,4117920
2020-06-03,418.200012,422.000000,400.000000,402.549988,398.651581,2616589
2020-06-04,407.399994,407.399994,393.799988,405.450012,401.523529,2701306
2020-06-05,406.000000,415.950012,400.250000,402.149994,398.255463,2756531
2020-06-08,409.000000,410.250000,389.049988,391.850006,388.055237,2719271
2020-06-09,394.000000,408.000000,386.850006,389.299988,385.529907,3729746
2020-06-10,391.000000,393.649994,382.000000,386.000000,382.261871,2040296
2020-06-11,387.049988,404.899994,380.799988,384.149994,380.429779,6315582
2020-06-12,374.950012,385.000000,372.100006,380.799988,377.112213,3913080
2020-06-15,383.000000,386.500000,369.149994,373.450012,369.833435,3372873
2020-06-16,381.000000,384.399994,368.000000,374.750000,371.120819,3010217
2020-06-17,376.000000,386.700012,374.100006,385.549988,381.816223,2636514
2020-06-18,383.750000,399.399994,382.149994,395.350006,391.521332,3147202
2020-06-19,397.100006,409.000000,391.549988,398.250000,394.393250,3035851
2020-06-22,401.000000,412.350006,397.000000,403.700012,399.790466,2997776
2020-06-23,406.000000,409.700012,403.049988,405.549988,401.622528,1411792
2020-06-24,407.600006,417.750000,395.100006,396.950012,393.105835,3210048
2020-06-25,393.799988,416.799988,386.799988,413.700012,409.693634,4436100
2020-06-26,419.700012,427.000000,409.299988,421.200012,417.121002,4673344
2020-06-29,402.100006,420.000000,394.299988,397.399994,393.551453,4392487
2020-06-30,395.000000,410.750000,392.500000,403.350006,399.443848,5374002
2020-07-01,406.000000,413.799988,400.350006,402.049988,398.156433,2129535
2020-07-02,408.000000,409.000000,399.600006,401.100006,397.215637,1638708
2020-07-03,405.000000,407.549988,397.700012,399.750000,395.878723,1338646
2020-07-06,403.799988,404.750000,396.049988,399.000000,395.135986,1576656
2020-07-07,401.500000,403.000000,386.649994,389.600006,385.827026,2910131
2020-07-08,390.000000,396.750000,386.750000,390.500000,386.718292,3669212
2020-07-09,392.000000,402.000000,390.649994,400.850006,396.968079,2916165
2020-07-10,399.899994,400.000000,387.500000,389.250000,385.480408,1926565
2020-07-13,390.799988,396.850006,387.700012,390.250000,386.470703,3610534
2020-07-14,389.899994,398.000000,387.100006,391.000000,387.213440,3095986
2020-07-15,394.250000,396.250000,375.200012,379.149994,375.478210,1887878
2020-07-16,380.000000,381.899994,372.500000,380.299988,376.617065,815018
2020-07-17,381.450012,387.500000,380.250000,382.549988,378.845276,782106
2020-07-20,385.000000,387.350006,381.000000,382.700012,378.993835,579003
2020-07-21,384.200012,385.799988,380.000000,381.700012,378.003540,591895
2020-07-22,383.700012,383.700012,374.000000,379.950012,376.270477,760108
2020-07-23,380.000000,384.299988,376.350006,377.500000,373.844177,820675
2020-07-24,375.100006,379.950012,373.000000,375.649994,372.012085,908437
2020-07-27,377.450012,381.000000,373.549988,379.250000,375.577240,822388
2020-07-28,382.000000,390.750000,372.000000,388.549988,384.787170,2771961
2020-07-29,391.000000,393.200012,381.750000,387.149994,383.400726,2118683
2020-07-30,385.100006,393.500000,382.500000,386.450012,382.707520,1391503
2020-07-31,389.899994,395.549988,385.500000,386.899994,383.153137,1445030
2020-08-03,386.000000,395.200012,383.399994,385.450012,381.717224,1231509
2020-08-04,387.799988,392.000000,387.200012,389.450012,385.678467,704895
2020-08-05,391.000000,402.600006,388.299988,395.500000,391.669861,2496771
2020-08-06,400.899994,405.600006,394.049988,396.350006,392.511658,2394603
2020-08-07,398.700012,402.600006,392.950012,394.350006,390.531006,937639
2020-08-10,396.000000,399.649994,392.000000,398.049988,394.195160,851388
2020-08-11,400.000000,407.500000,395.250000,397.000000,393.155334,3209863
2020-08-12,397.850006,402.600006,394.000000,401.899994,398.007874,1143626
2020-08-13,401.899994,411.000000,398.250000,405.649994,401.721558,1833673
2020-08-14,412.000000,412.000000,395.250000,400.149994,396.274841,2402412
2020-08-17,412.000000,444.700012,408.399994,426.250000,422.122070,18645433
2020-08-18,426.000000,436.799988,419.350006,434.250000,430.044617,3943838
2020-08-19,438.000000,440.000000,430.750000,437.850006,433.609741,1860982
2020-08-20,432.000000,475.399994,430.500000,471.049988,466.488220,8296107
2020-08-21,475.750000,478.750000,463.250000,474.549988,469.954315,4352787
2020-08-24,476.600006,486.600006,465.450012,469.500000,464.953247,3877787
2020-08-25,473.750000,490.750000,470.000000,479.700012,475.054474,3969326
2020-08-26,481.000000,488.500000,476.000000,485.100006,480.402161,2645689
2020-08-27,488.899994,494.500000,480.049988,481.700012,477.035095,2126371
2020-08-28,484.600006,487.100006,475.250000,476.649994,472.033997,1251773
2020-08-31,481.700012,483.100006,443.450012,452.600006,448.216919,2502228
2020-09-01,453.299988,471.950012,449.100006,466.299988,461.784210,2761811
2020-09-02,466.299988,481.750000,464.049988,479.200012,474.559326,1804924
2020-09-03,482.850006,488.600006,473.049988,477.049988,472.430115,2749618
2020-09-04,463.000000,486.700012,463.000000,476.500000,471.885437,1762822
2020-09-07,480.649994,484.700012,469.000000,481.350006,476.688477,1646899
2020-09-08,482.250000,487.000000,470.950012,474.299988,469.706726,1764522
2020-09-09,464.200012,473.899994,457.950012,464.450012,459.952148,2095676
2020-09-10,470.850006,501.700012,469.000000,480.549988,475.896210,6740392
2020-09-11,479.000000,492.399994,475.899994,486.899994,482.184723,2959390
2020-09-14,489.000000,508.250000,489.000000,499.350006,494.514160,2679303
2020-09-15,502.950012,505.950012,494.649994,495.850006,491.048065,1831936
2020-09-16,496.500000,497.799988,462.200012,479.049988,474.410736,5616275
2020-09-17,479.049988,483.700012,470.149994,474.049988,469.459167,1532215
2020-09-18,478.000000,488.299988,475.399994,484.500000,479.807983,2100693
2020-09-21,489.950012,506.899994,470.500000,474.600006,470.003845,5494689
2020-09-22,478.049988,483.850006,451.700012,479.899994,475.252502,2881478
2020-09-23,484.000000,488.399994,455.500000,460.700012,456.238464,2708332
2020-09-24,450.000000,450.000000,439.299988,442.700012,438.412781,2770070
2020-09-25,445.250000,459.899994,440.600006,458.000000,453.564606,2272670
2020-09-28,463.149994,470.200012,458.500000,467.649994,463.121155,2115480
2020-09-29,470.100006,475.750000,465.500000,470.899994,466.339661,2337638
2020-09-30,473.000000,478.450012,463.700012,465.649994,461.140503,1627929
2020-10-01,471.500000,479.299988,463.000000,466.250000,461.734711,1592807
2020-10-05,464.899994,468.600006,456.500000,460.450012,455.990906,2512054
2020-10-06,463.000000,468.500000,459.600006,467.049988,462.526947,1187339
2020-10-07,469.500000,472.149994,461.000000,463.450012,458.961853,1843976
2020-10-08,466.500000,476.399994,463.299988,466.600006,462.081329,2462879
2020-10-09,467.000000,472.799988,456.549988,460.049988,455.594757,1202994
2020-10-12,464.049988,466.000000,447.200012,449.600006,445.245972,1282622
2020-10-13,449.600006,450.000000,440.049988,442.600006,438.313751,1093347
2020-10-14,441.000000,445.799988,432.600006,439.450012,435.194275,1239393
2020-10-15,439.500000,449.500000,429.649994,431.549988,427.370758,1609882
2020-10-16,433.600006,439.149994,428.750000,434.799988,430.589264,1014322
2020-10-19,436.000000,440.350006,425.000000,427.000000,422.864807,1142401
2020-10-20,422.850006,433.649994,422.200012,428.750000,424.597870,1489051
2020-10-21,431.700012,434.899994,418.899994,426.899994,422.765778,1694712
2020-10-22,426.899994,437.000000,425.049988,430.250000,426.083344,2302197
2020-10-23,431.000000,434.750000,425.000000,428.399994,424.251251,940354
