Date,Open,High,Low,Close,Adj Close,Volume
2020-06-17,512.599976,531.849976,510.000000,524.400024,523.510620,156771
2020-06-18,521.000000,537.000000,521.000000,527.349976,526.455566,152299
2020-06-19,532.549988,575.000000,528.700012,569.900024,568.933472,682705
2020-06-22,573.000000,597.299988,558.000000,586.349976,585.355469,490506
2020-06-23,594.799988,687.700012,578.099976,657.349976,656.235107,2031589
2020-06-24,668.000000,678.000000,630.000000,665.250000,664.121704,1708609
2020-06-25,657.549988,697.500000,633.099976,686.099976,684.936340,1476229
2020-06-26,680.000000,707.000000,680.000000,687.400024,686.234131,1419224
2020-06-29,680.000000,694.150024,641.349976,651.599976,650.494812,640433
2020-06-30,652.000000,662.000000,606.599976,615.299988,614.256409,470205
2020-07-01,615.000000,635.500000,610.000000,614.349976,613.307983,365909
2020-07-02,616.049988,630.000000,606.849976,610.450012,609.414673,163804
2020-07-03,614.000000,624.700012,613.599976,619.500000,618.449280,165455
2020-07-06,624.000000,634.000000,621.150024,630.000000,628.931519,498167
2020-07-07,634.049988,634.049988,622.000000,629.950012,628.881592,331418
2020-07-08,629.950012,644.049988,622.599976,627.750000,626.685303,306679
2020-07-09,626.599976,633.000000,618.500000,621.700012,620.645569,184662
2020-07-10,628.000000,635.000000,618.000000,628.900024,627.833374,324407
2020-07-13,625.049988,627.450012,608.549988,613.450012,612.409546,693431
2020-07-14,614.950012,632.000000,607.000000,629.750000,628.681885,1047616
2020-07-15,632.299988,634.400024,613.000000,620.900024,619.846924,416285
2020-07-16,612.650024,619.700012,602.200012,610.549988,609.514465,305408
2020-07-17,612.900024,629.900024,611.000000,622.450012,621.394287,220410
2020-07-20,622.450012,626.750000,611.000000,613.700012,612.659119,264058
2020-07-21,620.000000,621.950012,604.549988,610.250000,609.214966,131917
2020-07-22,610.250000,612.000000,596.500000,603.349976,602.326660,168754
2020-07-23,602.650024,612.000000,584.000000,589.599976,588.599976,250171
2020-07-24,588.700012,591.750000,575.000000,577.450012,577.450012,114137
2020-07-27,579.900024,582.799988,540.599976,550.200012,550.200012,478235
2020-07-28,551.250000,555.099976,545.049988,549.500000,549.500000,207540
2020-07-29,550.000000,568.900024,542.000000,554.450012,554.450012,223641
2020-07-30,556.900024,574.400024,546.750000,550.450012,550.450012,242203
2020-07-31,554.250000,577.650024,550.150024,558.099976,558.099976,597377
2020-08-03,561.500000,564.700012,550.549988,553.500000,553.500000,118226
2020-08-04,556.000000,564.799988,550.049988,560.500000,560.500000,179406
2020-08-05,564.900024,568.299988,544.150024,548.599976,548.599976,181575
2020-08-06,548.700012,561.000000,548.700012,558.099976,558.099976,160486
2020-08-07,558.099976,597.799988,558.099976,578.650024,578.650024,648775
2020-08-10,583.450012,596.500000,577.000000,582.349976,582.349976,239496
2020-08-11,582.500000,583.200012,554.000000,555.549988,555.549988,415198
2020-08-12,555.549988,569.650024,552.000000,554.599976,554.599976,412643
2020-08-13,555.099976,589.500000,555.099976,575.099976,575.099976,696163
2020-08-14,570.000000,588.000000,555.299988,566.049988,566.049988,349724
2020-08-17,566.000000,570.000000,557.650024,560.099976,560.099976,145048
2020-08-18,561.000000,594.900024,561.000000,589.450012,589.450012,742841
2020-08-19,595.150024,628.500000,582.200012,616.450012,616.450012,895461
2020-08-20,605.000000,624.599976,602.650024,613.250000,613.250000,623528
2020-08-21,618.000000,619.799988,604.000000,606.049988,606.049988,269591
2020-08-24,611.400024,666.000000,606.000000,622.750000,622.750000,1638842
2020-08-25,626.349976,665.500000,624.400024,646.700012,646.700012,1326031
2020-08-26,651.549988,684.000000,646.799988,649.900024,649.900024,1608981
2020-08-27,653.000000,672.799988,647.049988,648.799988,648.799988,1026226
2020-08-28,653.000000,661.000000,646.000000,650.450012,650.450012,599634
2020-08-31,655.349976,659.299988,610.450012,639.200012,639.200012,636917
2020-09-01,627.599976,641.650024,625.000000,638.549988,638.549988,396263
2020-09-02,638.200012,658.000000,634.250000,651.750000,651.750000,361767
2020-09-03,658.000000,660.849976,645.000000,651.799988,651.799988,434219
2020-09-04,635.000000,658.500000,635.000000,649.950012,649.950012,441470
2020-09-07,650.000000,658.799988,642.549988,647.150024,647.150024,476964
2020-09-08,642.799988,657.849976,630.099976,635.200012,635.200012,327992
2020-09-09,630.000000,657.799988,627.000000,651.400024,651.400024,901726
2020-09-10,655.900024,688.500000,652.250000,679.799988,679.799988,1118620
2020-09-11,679.950012,705.000000,667.349976,695.299988,695.299988,1101946
2020-09-14,698.900024,749.000000,690.549988,695.400024,695.400024,1791778
2020-09-15,700.099976,755.599976,700.049988,747.849976,747.849976,2001624
2020-09-16,758.650024,769.000000,735.299988,755.400024,755.400024,983695
2020-09-17,742.200012,749.299988,710.000000,713.500000,713.500000,575002
2020-09-18,718.000000,726.750000,671.000000,682.000000,682.000000,4548300
2020-09-21,687.200012,694.000000,641.599976,649.250000,649.250000,1529079
2020-09-22,642.150024,647.950012,613.950012,634.299988,634.299988,320614
2020-09-23,640.000000,650.000000,602.000000,626.099976,626.099976,361354
2020-09-24,610.099976,631.950012,605.599976,625.099976,625.099976,227266
2020-09-25,632.000000,643.200012,623.250000,633.000000,633.000000,224220
2020-09-28,641.000000,674.700012,638.049988,665.700012,665.700012,322362
2020-09-29,680.000000,685.000000,650.000000,662.650024,662.650024,493294
2020-09-30,683.950012,683.950012,665.049988,671.900024,671.900024,854301
2020-10-01,680.000000,683.000000,661.650024,673.349976,673.349976,307303
2020-10-05,670.000000,675.950012,640.000000,669.400024,669.400024,277727
2020-10-06,669.400024,683.950012,669.400024,678.650024,678.650024,680272
2020-10-07,680.000000,682.049988,666.250000,675.400024,675.400024,1716812
2020-10-08,674.000000,698.900024,673.099976,690.299988,690.299988,1441647
2020-10-09,689.799988,689.799988,675.000000,679.500000,679.500000,761422
2020-10-12,679.500000,712.750000,676.849976,701.950012,701.950012,832527
2020-10-13,704.650024,704.650024,683.000000,692.950012,692.950012,823729
2020-10-14,689.900024,690.750000,626.799988,670.099976,670.099976,593606
2020-10-15,644.950012,674.549988,638.049988,653.900024,653.900024,400907
2020-10-16,655.099976,675.000000,655.099976,662.849976,662.849976,128640
2020-10-19,668.500000,668.500000,642.299988,646.500000,646.500000,139154
2020-10-20,642.500000,664.950012,637.150024,640.400024,640.400024,233194
2020-10-21,645.799988,662.250000,631.500000,634.799988,634.799988,175206
