Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,24.049999,25.900000,24.000000,25.500000,25.500000,6981967
2020-06-02,25.500000,25.850000,25.150000,25.650000,25.650000,3592260
2020-06-03,26.000000,28.850000,26.000000,27.900000,27.900000,14205413
2020-06-04,28.000000,30.500000,28.000000,29.150000,29.150000,13887365
2020-06-05,30.000000,30.600000,29.400000,30.350000,30.350000,8522437
2020-06-08,31.299999,31.700001,29.299999,29.549999,29.549999,9682131
2020-06-09,29.799999,30.299999,28.049999,28.400000,28.400000,8140153
2020-06-10,28.650000,29.700001,28.350000,29.299999,29.299999,5551984
2020-06-11,29.500000,29.650000,28.549999,28.750000,28.750000,6408707
2020-06-12,27.549999,28.799999,27.100000,28.650000,28.650000,4618964
2020-06-15,28.650000,29.950001,28.150000,29.250000,29.250000,8309644
2020-06-16,30.150000,30.400000,27.850000,28.900000,28.900000,6255832
2020-06-17,28.850000,29.250000,28.100000,29.000000,29.000000,4026677
2020-06-18,28.950001,29.650000,28.900000,29.400000,29.400000,3798169
2020-06-19,29.799999,31.700001,29.299999,30.700001,30.700001,14607168
2020-06-22,31.000000,33.299999,31.000000,32.799999,32.799999,15635325
2020-06-23,33.849998,36.549999,33.500000,35.950001,35.950001,24991472
2020-06-24,36.500000,36.500000,32.299999,32.900002,32.900002,23197023
2020-06-25,32.650002,33.500000,31.799999,33.299999,33.299999,6228569
2020-06-26,33.799999,35.400002,33.250000,33.849998,33.849998,6842752
2020-06-29,33.549999,33.549999,32.349998,32.750000,32.750000,4223319
2020-06-30,33.049999,33.299999,31.700001,31.799999,31.799999,3493404
2020-07-01,32.000000,32.599998,31.549999,32.500000,32.500000,4275027
2020-07-02,32.500000,32.950001,32.099998,32.400002,32.400002,3526830
2020-07-03,32.700001,32.750000,32.000000,32.049999,32.049999,2757251
2020-07-06,32.349998,32.500000,32.099998,32.200001,32.200001,2888852
2020-07-07,32.400002,32.400002,32.000000,32.150002,32.150002,2295839
2020-07-08,32.299999,34.000000,32.150002,32.500000,32.500000,13531643
2020-07-09,32.799999,33.150002,32.500000,32.700001,32.700001,3649853
2020-07-10,32.500000,32.599998,31.750000,32.049999,32.049999,3550490
2020-07-13,32.099998,32.450001,31.350000,31.549999,31.549999,2943667
2020-07-14,31.200001,31.400000,30.250000,30.450001,30.450001,3246712
2020-07-15,30.700001,31.000000,30.100000,30.150000,30.150000,2398475
2020-07-16,30.150000,30.200001,29.600000,29.900000,29.900000,2581989
2020-07-17,29.900000,31.650000,29.750000,31.299999,31.299999,4796816
2020-07-20,31.549999,31.700001,30.850000,31.049999,31.049999,4122366
2020-07-21,31.650000,31.850000,31.000000,31.150000,31.150000,2655547
2020-07-22,31.250000,31.350000,30.549999,30.799999,30.799999,2256504
2020-07-23,30.750000,31.250000,30.600000,30.850000,30.850000,2760242
2020-07-24,30.700001,30.750000,30.299999,30.549999,30.549999,2084425
2020-07-27,30.400000,30.549999,29.500000,29.549999,29.549999,3252249
2020-07-28,29.500000,29.850000,28.900000,29.200001,29.200001,2759742
2020-07-29,29.500000,30.450001,29.200001,29.700001,29.700001,4300467
2020-07-30,30.000000,30.100000,29.150000,29.299999,29.299999,2010269
2020-07-31,29.000000,29.350000,28.799999,29.000000,29.000000,2359190
2020-08-03,29.000000,29.400000,28.900000,29.049999,29.049999,2520814
2020-08-04,29.400000,29.400000,29.000000,29.100000,29.100000,1649935
2020-08-05,29.150000,30.100000,29.100000,29.450001,29.450001,2796376
2020-08-06,29.400000,29.700001,29.100000,29.400000,29.400000,2329028
2020-08-07,29.250000,29.600000,29.049999,29.400000,29.400000,2388288
2020-08-10,29.500000,29.799999,29.299999,29.500000,29.500000,1664354
2020-08-11,29.700001,31.000000,29.250000,30.700001,30.700001,6911725
2020-08-12,31.799999,31.799999,30.700001,30.850000,30.850000,12782399
2020-08-13,30.950001,31.100000,30.200001,30.250000,30.250000,3301370
2020-08-14,30.400000,30.400000,29.299999,29.500000,29.500000,3342798
2020-08-17,29.600000,29.950001,29.100000,29.350000,29.350000,3174028
2020-08-18,29.549999,29.549999,29.250000,29.400000,29.400000,2600180
2020-08-19,29.600000,30.150000,29.600000,29.900000,29.900000,5537764
2020-08-20,29.850000,30.150000,29.549999,29.900000,29.900000,3400627
2020-08-21,30.200001,30.900000,30.150000,30.450001,30.450001,6899257
2020-08-24,31.799999,32.200001,30.799999,30.900000,30.900000,13938959
2020-08-25,31.000000,31.150000,30.500000,30.549999,30.549999,5621927
2020-08-26,30.500000,30.700001,30.350000,30.500000,30.500000,3000489
2020-08-27,30.500000,30.950001,30.500000,30.549999,30.549999,3868068
2020-08-28,30.750000,31.850000,30.600000,31.400000,31.400000,13615067
2020-08-31,32.450001,32.450001,30.000000,30.200001,30.200001,9254039
2020-09-01,30.150000,30.400000,29.250000,29.900000,29.900000,4425447
2020-09-02,29.900000,29.950001,29.350000,29.600000,29.600000,2558654
2020-09-03,29.650000,30.000000,29.500000,29.750000,29.750000,1956816
2020-09-04,29.299999,29.600000,29.049999,29.350000,29.350000,2488925
2020-09-07,29.250000,29.400000,28.850000,28.950001,28.950001,2554911
2020-09-08,29.049999,29.100000,28.650000,28.750000,28.750000,1536880
2020-09-09,28.100000,28.500000,27.850000,28.250000,28.250000,1994113
2020-09-10,28.350000,29.150000,28.350000,28.799999,28.799999,2103326
2020-09-11,28.799999,29.150000,28.400000,28.650000,28.650000,2030705
2020-09-14,28.700001,28.950001,28.500000,28.600000,28.600000,2105705
2020-09-15,28.900000,28.900000,27.799999,28.150000,28.150000,2724141
2020-09-16,28.200001,28.350000,27.299999,27.900000,27.900000,2894231
2020-09-17,27.750000,27.799999,27.200001,27.500000,27.500000,2489430
2020-09-18,27.650000,27.700001,26.650000,26.850000,26.850000,4313508
2020-09-21,26.850000,27.950001,25.700001,26.049999,26.049999,6731905
2020-09-22,26.000000,26.200001,24.950001,25.500000,25.500000,4098199
2020-09-23,25.549999,25.900000,24.950001,25.150000,25.150000,2912368
2020-09-24,25.000000,25.049999,24.549999,24.850000,24.850000,2209015
2020-09-25,24.850000,24.850000,23.650000,24.250000,24.250000,8063214
2020-09-28,24.500000,24.950001,24.250000,24.799999,24.799999,4283956
2020-09-29,24.950001,25.299999,24.450001,24.700001,24.700001,2378567
2020-09-30,24.700001,24.700001,24.299999,24.350000,24.350000,1622254
2020-10-01,24.400000,24.850000,23.900000,24.250000,24.250000,2583274
2020-10-05,24.500000,25.049999,24.350000,24.549999,24.549999,2170845
2020-10-06,24.600000,24.750000,24.350000,24.450001,24.450001,1386792
2020-10-07,24.500000,24.600000,24.200001,24.350000,24.350000,1337626
2020-10-08,24.500000,24.850000,24.350000,24.450001,24.450001,3341770
2020-10-09,24.549999,25.000000,24.200001,24.900000,24.900000,3820599
2020-10-12,25.100000,25.650000,24.799999,24.900000,24.900000,2125431
2020-10-13,24.850000,24.950001,24.150000,24.250000,24.250000,1850280
2020-10-14,24.400000,24.400000,23.900000,24.100000,24.100000,4388115
2020-10-15,24.100000,24.299999,23.299999,23.400000,23.400000,3905520
2020-10-16,23.549999,23.750000,23.100000,23.250000,23.250000,2538978
2020-10-19,23.400000,23.950001,23.250000,23.799999,23.799999,3254527
2020-10-20,23.850000,23.850000,23.450001,23.549999,23.549999,1722272
2020-10-21,23.600000,24.600000,23.600000,24.400000,24.400000,4188208
2020-10-22,24.100000,24.350000,24.000000,24.150000,24.150000,1758051
2020-10-23,24.200001,24.500000,24.049999,24.350000,24.350000,1200783
2020-10-26,24.350000,24.750000,24.150000,24.299999,24.299999,1367337
2020-10-27,24.299999,24.350000,23.900000,24.000000,24.000000,1285814
2020-10-28,23.950001,24.250000,23.750000,23.850000,23.850000,2804362
2020-10-29,24.000000,24.000000,23.450001,23.600000,23.600000,1750345
2020-10-30,23.600000,24.250000,23.500000,24.049999,24.049999,1331467
2020-11-02,24.100000,24.650000,23.799999,23.950001,23.950001,4090621
2020-11-03,24.400000,24.400000,23.650000,23.850000,23.850000,3249018
2020-11-04,23.950001,24.150000,23.600000,23.799999,23.799999,2411301
2020-11-05,24.000000,24.299999,23.900000,24.100000,24.100000,2921335
2020-11-06,24.500000,24.650000,24.250000,24.500000,24.500000,4706645
2020-11-09,25.200001,25.450001,24.700001,24.850000,24.850000,5102910
2020-11-10,25.200001,25.250000,24.799999,25.150000,25.150000,5218662
2020-11-11,25.150000,25.600000,24.850000,24.950001,24.950001,4427176
2020-11-12,24.850000,25.150000,24.700001,24.750000,24.750000,2966687
2020-11-13,24.500000,24.799999,24.450001,24.700001,24.700001,2719941
2020-11-14,null,null,null,null,null,null
2020-11-17,25.000000,25.200001,24.850000,24.900000,24.900000,3785057
2020-11-18,24.850000,25.750000,24.850000,25.650000,25.650000,5456921
2020-11-19,25.450001,25.750000,25.200001,25.250000,25.250000,3752436
2020-11-20,25.299999,25.750000,25.200001,25.549999,25.549999,4671815
2020-11-23,25.850000,25.950001,25.450001,25.600000,25.600000,3738338
2020-11-24,25.700001,25.850000,25.600000,25.700001,25.700001,2435588
2020-11-25,26.000000,27.150000,26.000000,26.700001,26.700001,12786008
2020-11-26,26.950001,27.350000,26.650000,27.250000,27.250000,7434235
2020-11-27,27.450001,28.200001,27.299999,28.000000,28.000000,9118979
2020-12-01,28.299999,29.250000,28.250000,28.900000,28.900000,10355127
2020-12-02,29.250000,29.750000,29.000000,29.400000,29.400000,10974145
2020-12-03,29.600000,31.250000,29.600000,30.950001,30.950001,14547960
2020-12-04,31.450001,31.950001,30.049999,31.150000,31.150000,15159912
2020-12-07,31.250000,31.600000,31.000000,31.299999,31.299999,8100266
2020-12-08,31.549999,34.200001,31.200001,33.849998,33.849998,33110725
2020-12-09,34.599998,35.299999,33.700001,33.950001,33.950001,24187588
2020-12-10,34.000000,34.000000,32.200001,32.700001,32.700001,10845010
2020-12-11,32.700001,33.849998,32.700001,33.150002,33.150002,10405596
2020-12-14,34.200001,34.500000,33.599998,33.849998,33.849998,10476417
