Date,Open,High,Low,Close,Adj Close,Volume
2020-06-18,2080.000000,2135.050049,2070.000000,2113.149902,2103.096680,55989
2020-06-19,2075.000000,2099.000000,2030.000000,2044.650024,2034.922852,165277
2020-06-22,2064.000000,2064.000000,2034.500000,2050.050049,2040.297119,61292
2020-06-23,2050.000000,2074.449951,2038.750000,2064.550049,2054.728271,35827
2020-06-24,2079.000000,2095.000000,2048.149902,2060.899902,2051.095215,45791
2020-06-25,2040.000000,2067.000000,2019.949951,2045.400024,2035.669312,52513
2020-06-26,2060.000000,2065.000000,2030.000000,2043.300049,2033.579224,107566
2020-06-29,2040.000000,2052.199951,2005.650024,2024.300049,2014.669678,76346
2020-06-30,2025.000000,2094.000000,2025.000000,2074.800049,2064.929199,22296
2020-07-01,2052.000000,2089.000000,2041.000000,2050.949951,2041.192749,26681
2020-07-02,2068.000000,2188.000000,2050.050049,2102.300049,2092.298584,116739
2020-07-03,2118.949951,2172.949951,2104.000000,2157.500000,2147.235840,64492
2020-07-06,2175.000000,2309.949951,2166.100098,2265.899902,2255.120117,204303
2020-07-07,2269.000000,2280.000000,2181.000000,2187.649902,2177.242432,60773
2020-07-08,2200.000000,2264.449951,2190.050049,2214.350098,2203.815430,54644
2020-07-09,2235.000000,2249.949951,2205.199951,2224.100098,2213.519287,17727
2020-07-10,2230.000000,2248.649902,2176.100098,2189.250000,2178.834961,28494
2020-07-13,2215.000000,2221.949951,2185.000000,2192.449951,2182.019775,18186
2020-07-14,2185.000000,2202.949951,2146.350098,2175.000000,2164.652588,41536
2020-07-15,2175.000000,2200.000000,2165.050049,2191.600098,2181.173828,22923
2020-07-16,2200.000000,2214.949951,2176.100098,2191.449951,2181.024170,24965
2020-07-17,2192.199951,2275.000000,2180.000000,2252.600098,2241.883545,56226
2020-07-20,2287.000000,2287.000000,2250.000000,2252.000000,2241.286377,37434
2020-07-21,2286.000000,2286.000000,2250.000000,2265.000000,2254.224609,36173
2020-07-22,2260.000000,2264.800049,2245.550049,2251.699951,2240.987793,22089
2020-07-23,2236.350098,2291.000000,2236.350098,2268.449951,2257.657959,55111
2020-07-24,2270.000000,2283.949951,2215.000000,2225.449951,2214.862549,33681
