Date,Open,High,Low,Close,Adj Close,Volume
2020-06-01,187.750000,192.399994,184.100006,185.899994,185.648270,26450211
2020-06-02,186.000000,202.800003,185.300003,198.949997,198.680603,40657814
2020-06-03,204.949997,205.199997,192.699997,195.699997,195.434998,24965757
2020-06-04,195.000000,207.800003,187.199997,205.600006,205.321609,47567706
2020-06-05,207.000000,210.449997,202.350006,206.199997,205.920776,36525490
2020-06-08,209.300003,210.500000,194.350006,197.050003,196.783173,27555715
2020-06-09,199.000000,202.300003,190.800003,192.399994,192.139465,27072444
2020-06-10,193.000000,194.600006,188.100006,189.800003,189.542999,17134647
2020-06-11,190.750000,191.149994,174.800003,175.949997,175.711746,21395919
2020-06-12,172.000000,172.000000,162.149994,168.550003,168.321777,36209159
2020-06-15,168.550003,177.000000,163.500000,165.500000,165.275894,46155429
2020-06-16,170.600006,171.949997,161.100006,163.899994,163.678055,25973471
2020-06-17,163.949997,169.399994,161.699997,165.000000,164.776581,24989870
2020-06-18,166.500000,175.449997,165.500000,174.399994,174.163834,37916748
2020-06-19,176.800003,178.199997,169.350006,172.949997,172.715805,27707425
2020-06-22,175.000000,180.000000,174.000000,177.050003,176.810257,20654498
2020-06-23,176.899994,186.899994,176.050003,181.949997,181.703613,21410683
2020-06-24,184.899994,185.350006,172.500000,174.100006,173.864258,21627394
2020-06-25,172.000000,176.399994,168.800003,172.350006,172.116623,17818855
2020-06-26,175.500000,180.750000,174.149994,176.250000,176.011337,17933470
2020-06-29,174.899994,175.100006,167.800003,172.050003,171.817032,14623425
2020-06-30,174.000000,175.800003,169.600006,171.100006,170.868317,10279602
2020-07-01,167.000000,178.000000,165.050003,175.399994,175.162491,24691168
2020-07-02,177.000000,179.250000,173.000000,174.399994,174.163834,13114899
2020-07-03,176.600006,177.350006,171.300003,172.250000,172.016754,10083203
2020-07-06,173.800003,177.899994,172.199997,175.050003,174.812973,12011426
2020-07-07,174.000000,181.750000,170.850006,180.300003,180.055862,25072998
2020-07-08,181.000000,183.300003,171.199997,172.149994,171.916885,26968168
2020-07-09,174.649994,174.649994,169.750000,171.899994,171.667221,18343908
2020-07-10,171.899994,173.600006,167.100006,170.100006,169.869675,17017294
2020-07-13,172.800003,174.899994,170.600006,173.750000,173.514725,15282350
2020-07-14,172.449997,172.500000,165.500000,166.300003,166.074814,15350736
2020-07-15,168.000000,168.800003,158.399994,160.250000,160.033005,23665774
2020-07-16,161.550003,162.000000,154.600006,157.399994,157.186859,18749239
2020-07-17,157.000000,159.800003,155.050003,157.399994,157.186859,17283895
2020-07-20,159.000000,159.000000,154.199997,154.750000,154.540451,16709174
2020-07-21,155.699997,156.250000,152.000000,153.750000,153.541809,21967320
2020-07-22,154.000000,158.949997,149.050003,157.000000,156.787399,40102718
2020-07-23,161.000000,167.750000,157.699997,158.949997,158.734756,65194067
2020-07-24,158.949997,158.949997,150.500000,151.699997,151.494583,38315940
2020-07-27,148.100006,155.100006,144.600006,145.399994,145.203110,39921647
2020-07-28,146.899994,148.000000,141.100006,144.399994,144.204468,28327411
2020-07-29,145.000000,147.199997,141.500000,142.350006,142.157257,22048600
2020-07-30,143.750000,145.550003,138.100006,140.199997,140.010147,24878872
2020-07-31,140.899994,141.050003,138.100006,138.750000,138.562119,17792928
2020-08-03,138.750000,139.699997,134.649994,134.949997,134.767258,14721260
2020-08-04,135.800003,144.899994,135.600006,143.350006,143.155899,48864403
2020-08-05,144.600006,147.350006,141.699997,145.550003,145.352921,27773529
2020-08-06,146.500000,152.600006,146.000000,148.750000,148.548584,36848744
2020-08-07,149.449997,151.300003,148.750000,150.100006,149.896759,13680936
2020-08-10,150.600006,154.000000,149.000000,151.199997,150.995255,13342848
2020-08-11,152.699997,160.949997,152.550003,159.750000,159.533676,46604254
2020-08-12,158.149994,164.300003,156.250000,161.250000,161.031647,38666779
2020-08-13,161.649994,164.149994,160.100006,162.300003,162.080231,19407436
2020-08-14,163.800003,167.500000,158.199997,161.199997,160.981720,37388916
2020-08-17,163.500000,171.000000,162.899994,170.100006,169.869675,40616135
2020-08-18,170.000000,179.100006,165.300003,173.949997,173.714447,59453332
2020-08-19,172.500000,200.000000,169.250000,196.800003,196.533524,144862587
2020-08-20,195.000000,207.000000,192.500000,199.449997,199.179916,165958795
2020-08-21,199.399994,204.000000,189.149994,192.050003,191.789948,82295320
2020-08-24,195.000000,203.850006,193.449997,201.600006,201.327026,74692814
2020-08-25,203.850006,204.500000,197.750000,199.949997,199.679245,32295919
2020-08-26,201.899994,213.399994,197.750000,211.500000,211.213608,69274346
2020-08-27,211.500000,216.500000,205.100006,209.550003,209.266251,59247772
2020-08-28,211.149994,218.500000,210.850006,213.850006,213.560425,43106461
2020-08-31,215.850006,217.750000,201.050003,203.550003,203.274384,40765822
2020-09-01,205.000000,207.100006,196.250000,201.800003,201.526749,35361139
2020-09-02,203.800003,221.000000,202.199997,218.149994,217.854599,64986844
2020-09-03,218.149994,225.350006,214.800003,220.250000,219.951767,53032493
2020-09-04,215.399994,223.800003,210.600006,220.399994,220.101547,48959203
2020-09-07,220.399994,225.850006,215.850006,223.949997,223.646744,42979193
2020-09-08,223.649994,225.449997,212.100006,213.750000,213.460556,33660775
2020-09-09,212.000000,223.500000,207.449997,221.550003,221.250000,52807559
2020-09-10,220.500000,228.899994,219.500000,223.149994,223.149994,46078546
2020-09-11,220.949997,224.750000,216.199997,218.100006,218.100006,27198663
2020-09-14,222.000000,224.699997,214.100006,216.199997,216.199997,23005269
2020-09-15,218.500000,220.199997,216.300003,217.449997,217.449997,17216230
2020-09-16,218.500000,219.350006,213.649994,215.850006,215.850006,14876075
2020-09-17,215.449997,224.649994,215.250000,221.100006,221.100006,38032583
2020-09-18,223.399994,226.649994,219.199997,220.300003,220.300003,24882963
2020-09-21,221.750000,224.800003,204.350006,210.699997,210.699997,29829409
2020-09-22,212.350006,212.350006,193.350006,197.100006,197.100006,54161220
2020-09-23,200.100006,203.050003,177.399994,191.800003,191.800003,65002891
2020-09-24,185.000000,195.800003,182.850006,190.350006,190.350006,76316695
2020-09-25,197.550003,201.500000,183.199997,198.199997,198.199997,61556634
2020-09-28,198.750000,209.750000,197.199997,208.750000,208.750000,34075362
2020-09-29,210.000000,214.600006,204.300003,207.800003,207.800003,45045643
2020-09-30,209.000000,213.000000,206.149994,208.899994,208.899994,31201535
2020-10-01,211.000000,215.000000,210.500000,214.000000,214.000000,19069858
2020-10-05,214.500000,215.000000,207.500000,208.199997,208.199997,22137202
2020-10-06,211.000000,219.550003,208.449997,216.899994,216.899994,26397296
2020-10-07,217.600006,218.500000,203.800003,205.949997,205.949997,33782509
2020-10-08,209.899994,212.949997,204.149994,205.899994,205.899994,24845156
2020-10-09,207.149994,208.100006,198.000000,200.550003,200.550003,23605416
2020-10-12,196.350006,198.000000,186.550003,189.850006,189.850006,47814117
2020-10-13,190.500000,192.350006,181.550003,182.449997,182.449997,29409570
2020-10-14,183.000000,188.199997,178.600006,186.199997,186.199997,35731823
2020-10-15,187.000000,188.399994,178.699997,179.949997,179.949997,20008464
2020-10-16,181.500000,182.949997,173.500000,175.699997,175.699997,29518460
2020-10-19,176.699997,177.899994,173.500000,174.199997,174.199997,20655435
2020-10-20,174.199997,183.800003,173.000000,183.000000,183.000000,32493833
2020-10-21,185.000000,189.199997,176.050003,180.550003,180.550003,30221784
